sigma,N,dim,kernel,eps,top_q,m,pre,eig,precond,solve,mean,total,iters,relres,converged,hit_maxiter,eepm_train,eepm_new,rms,rmse_ex,solve_s_total,n_iter,n_matvec,t_matvec_total,t_matvec_avg,n_precond,t_precond_total,t_precond_avg,t_cg_overhead
0.1,3000000,2,Mat32,1e-05,0,94,0.45,0,0,19.307,0.131,19.888,2809,9.62e-06,TRUE,FALSE,,,0.1,,19.307,2809,2810,18.427,0.006558,0,0,0,0.881
0.1,3000000,2,Mat32,1e-05,32,94,0.45,0.531,0.001,9.157,0.136,10.275,1229,8.41e-06,TRUE,FALSE,,,0.1,,9.157,1229,1230,8.204,0.00667,1229,0.578,0.0004705,0.375
0.1,3000000,2,Mat32,1e-05,48,94,0.45,0.904,0.002,7.76,0.066,9.183,987,9.52e-06,TRUE,FALSE,,,0.1,,7.76,987,988,6.514,0.006593,987,0.914,0.0009255,0.333
0.1,3000000,2,Mat32,1e-05,64,94,0.45,1.441,0.003,6.502,0.067,8.463,775,9.33e-06,TRUE,FALSE,,,0.1,,6.502,775,776,5.132,0.006613,775,1.105,0.001426,0.264
0.1,3000000,2,Mat32,1e-07,0,346,0.681,0,0,1946.368,0.144,1947.193,9595,8.45e-08,TRUE,FALSE,,,0.1,,1946.368,9595,9596,1919.656,0.2,0,0,0,26.712
0.1,3000000,2,Mat32,1e-07,32,346,0.681,17.226,0.027,1031.658,0.14,1049.732,4718,9.63e-08,TRUE,FALSE,,,0.1,,1031.658,4718,4719,946.253,0.2005,4718,71.277,0.01511,14.127
0.1,3000000,2,Mat32,1e-07,48,346,0.681,27.579,0.041,842.032,0.149,870.482,3742,9.91e-08,TRUE,FALSE,,,0.1,,842.032,3742,3743,749.666,0.2003,3742,81.455,0.02177,10.911
0.1,3000000,2,Mat32,1e-07,64,346,0.681,39.236,0.054,681.338,0.126,721.435,2950,9.79e-08,TRUE,FALSE,,,0.1,,681.338,2950,2951,590.367,0.2001,2950,83.252,0.02822,7.719
0.1,10000000,2,Mat32,1e-05,0,94,1.366,0,0,18.941,0.123,20.43,2745,9.78e-06,TRUE,FALSE,,,0.1,,18.941,2745,2746,17.962,0.006541,0,0,0,0.979
0.1,10000000,2,Mat32,1e-05,32,94,1.366,0.55,0.001,9.345,0.079,11.34,1243,9.68e-06,TRUE,FALSE,,,0.1,,9.345,1243,1244,8.207,0.006597,1243,0.582,0.0004678,0.556
0.1,10000000,2,Mat32,1e-05,48,94,1.366,0.946,0.002,7.45,0.126,9.89,930,9.77e-06,TRUE,FALSE,,,0.1,,7.45,930,931,6.155,0.006611,930,0.863,0.000928,0.432
0.1,10000000,2,Mat32,1e-05,64,94,1.366,1.468,0.005,6.443,0.137,9.419,754,7.87e-06,TRUE,FALSE,,,0.1,,6.443,754,755,4.999,0.006621,754,1.08,0.001433,0.365
0.1,10000000,2,Mat32,1e-07,0,346,1.762,0,0,3199.715,0.127,3201.604,15826,8.77e-08,TRUE,FALSE,,,0.1,,3199.715,15826,15827,3157.657,0.1995,0,0,0,42.058
0.1,10000000,2,Mat32,1e-07,32,346,1.762,17.349,0.027,1651.672,0.104,1670.915,7594,9.97e-08,TRUE,FALSE,,,0.1,,1651.672,7594,7595,1514.539,0.1994,7594,114.629,0.01509,22.504
0.1,10000000,2,Mat32,1e-07,48,346,1.762,27.471,0.042,1364.19,0.137,1393.602,6033,8.52e-08,TRUE,FALSE,,,0.1,,1364.19,6033,6034,1210.295,0.2006,6033,132.18,0.02191,21.715
0.1,10000000,2,Mat32,1e-07,64,346,1.762,39.211,0.055,1092.865,0.124,1134.017,4731,8.65e-08,TRUE,FALSE,,,0.1,,1092.865,4731,4732,946.404,0.2,4731,133.679,0.02826,12.782
0.1,30000000,2,Mat32,1e-05,0,94,3.783,0,0,14.192,0.15,18.126,2057,9.88e-06,TRUE,FALSE,,,0.1,,14.192,2057,2058,13.41,0.006516,0,0,0,0.782
0.1,30000000,2,Mat32,1e-05,32,94,3.783,0.519,0.001,6.583,0.12,11.006,877,9.71e-06,TRUE,FALSE,,,0.1,,6.583,877,878,5.788,0.006593,877,0.383,0.0004369,0.412
0.1,30000000,2,Mat32,1e-05,48,94,3.783,0.942,0.002,5.256,0.124,10.107,656,9.89e-06,TRUE,FALSE,,,0.1,,5.256,656,657,4.343,0.00661,656,0.634,0.0009661,0.279
0.1,30000000,2,Mat32,1e-05,64,94,3.783,1.45,0.006,4.95,0.075,10.264,576,7.43e-06,TRUE,FALSE,,,0.1,,4.95,576,577,3.824,0.006627,576,0.826,0.001434,0.3
0.1,30000000,2,Mat32,1e-07,0,346,5.126,0,0,4662.36,0.125,4667.612,23009,9.76e-08,TRUE,FALSE,,,0.1,,4662.36,23009,23010,4600.469,0.1999,0,0,0,61.891
0.1,30000000,2,Mat32,1e-07,32,346,5.115,17.099,0.026,2539.075,0.124,2561.439,11699,9.3e-08,TRUE,FALSE,,,0.1,,2539.075,11699,11700,2334.775,0.1996,11699,172.411,0.01474,31.89
