sigma,N,dim,kernel,eps,top_q,m,pre,eig,precond,solve,mean,total,iters,relres,converged,hit_maxiter,eepm_train,eepm_new,rms,rmse_ex,solve_s_total,n_iter,n_matvec,t_matvec_total,t_matvec_avg,n_precond,t_precond_total,t_precond_avg,t_cg_overhead
0.1,3000000,2,Mat32,1e-05,0,55,0.509349999949336,0.0,0.0,4.744086700025946,0.04418760002590716,5.297624300001189,2218,8.922176845204061e-06,True,False,nan,nan,0.10003702980895125,nan,4.744086700025946,2218,2219,3.7538054059259593,0.0016916653474204413,0,0.0,0.0,0.9902812940999866
0.1,3000000,2,Mat32,1e-05,16,55,0.509349999949336,0.11544060008600354,0.00011729984544217587,4.149897800059989,0.04478190001100302,4.819587599951774,1360,8.62513161923833e-06,True,False,nan,nan,0.10003712394186462,nan,4.149897800059989,1360,1361,2.3485310953110456,0.0017255922816392694,1360,1.1516568004153669,0.0008468064708936522,0.6497099043335766
0.1,3000000,2,Mat32,1e-05,32,55,0.509349999949336,0.20214570011012256,0.0001689000055193901,3.986235399963334,0.04311149986460805,4.74101149989292,1042,9.700942171769148e-06,True,False,nan,nan,0.10003724870902364,nan,3.986235399963334,1042,1043,1.7880695979110897,0.0017143524428677754,1042,1.687615999020636,0.001619593089271244,0.5105498030316085
0.1,3000000,2,Mat32,1e-05,48,55,0.509349999949336,0.34536470007151365,0.00021270010620355606,4.124824400059879,0.04444630001671612,5.024198100203648,839,9.994826627745942e-06,True,False,nan,nan,0.10003718816396684,nan,4.124824400059879,839,840,1.475362604483962,0.0017563840529570976,839,2.2273584997747093,0.0026547777112928598,0.4221032958012074
0.1,3000000,2,Mat32,1e-07,0,204,0.544711799826473,0.0,0.0,331.0298492999282,0.049385600024834275,331.6239466997795,8922,8.512575853835868e-08,True,False,nan,nan,0.10021610216488754,nan,331.0298492999282,8922,8923,310.5420346937608,0.034802424598650766,0,0.0,0.0,20.487814606167376
0.1,3000000,2,Mat32,1e-07,16,204,0.544711799826473,2.5968583000358194,0.0001259001437574625,325.4282293000724,0.054249699926003814,328.62417500000447,6185,8.786531686475999e-08,True,False,nan,nan,0.10021610301578465,nan,325.4282293000724,6185,6186,216.82810300262645,0.035051423052477604,6185,93.04573620203882,0.01504377303185753,15.554390095407143
0.1,3000000,2,Mat32,1e-07,32,204,0.544711799826473,4.708083100151271,0.0001354999840259552,289.9357518001925,0.05267070000991225,295.2413529001642,4498,9.939798046158622e-08,True,False,nan,nan,0.10021610349461878,nan,289.9357518001925,4498,4499,156.50509249442257,0.034786639807606705,4498,121.91891229245812,0.027105138348701225,11.511747013311833
0.1,3000000,2,Mat32,1e-07,48,204,0.544711799826473,8.143395199906081,0.00013060006313025951,267.69440110004507,0.05022240011021495,276.43286109995097,3455,8.996672249885167e-08,True,False,nan,nan,0.10021610451038444,nan,267.69440110004507,3455,3456,120.83667531143874,0.03496431577298575,3455,137.7018894001376,0.03985582905937412,9.155836388468742
0.18257418583505539,10000000,2,Mat32,1e-05,0,55,1.4427466001361609,0.0,0.0,4.68906749994494,0.04471339983865619,6.176527499919757,2232,9.364914116378975e-06,True,False,nan,nan,0.18265357666320997,nan,4.68906749994494,2232,2233,3.696499900193885,0.0016553962831141447,0,0.0,0.0,0.9925675997510552
0.18257418583505539,10000000,2,Mat32,1e-05,16,55,1.4427466001361609,0.13705460005439818,6.330013275146484e-05,4.60897079994902,0.04254120006226003,6.231376500334591,1495,9.998629992355924e-06,True,False,nan,nan,0.1826535628227948,nan,4.60897079994902,1495,1496,2.616185492137447,0.001748787093674764,1495,1.2608609946910292,0.0008433852807297854,0.731924313120544
0.18257418583505539,10000000,2,Mat32,1e-05,32,55,1.4427466001361609,0.18575619999319315,0.00012019998393952847,4.102699100039899,0.04338050005026162,5.7747026002034545,1085,9.510758083580917e-06,True,False,nan,nan,0.18265355469602498,nan,4.102699100039899,1085,1086,1.8749804007820785,0.0017265012898545842,1085,1.699410103727132,0.001566276593296896,0.5283085955306888
0.18257418583505539,10000000,2,Mat32,1e-05,48,55,1.4427466001361609,0.35889850021339953,0.00016039982438087463,4.104080599965528,0.044328799936920404,5.950214900076389,839,8.027373356897054e-06,True,False,nan,nan,0.18265358374976645,nan,4.104080599965528,839,840,1.4629781036637723,0.001741640599599729,839,2.2202029020991176,0.002646248989391082,0.4208995942026377
0.18257418583505539,10000000,2,Mat32,1e-07,0,204,1.6826983999926597,0.0,0.0,344.16818879987113,0.05089040007442236,345.9017775999382,9096,8.673294766492999e-08,True,False,nan,nan,0.18275099151347313,nan,344.16818879987113,9096,9097,322.33799819275737,0.03543343939680745,0,0.0,0.0,21.830190607113764
0.18257418583505539,10000000,2,Mat32,1e-07,16,204,1.6826983999926597,3.065965199843049,0.00012110010720789433,327.63261959981173,0.0534963000100106,332.43490059976466,6026,9.055756860309036e-08,True,False,nan,nan,0.18275099021266075,nan,327.63261959981173,6026,6027,213.5759719936177,0.035436530943026005,6026,97.52111280453391,0.016183390774068024,16.535534801660106
0.18257418583505539,10000000,2,Mat32,1e-07,32,204,1.6826983999926597,4.677672399906442,0.0001097000204026699,291.62112710019574,0.052622999995946884,298.0342306001112,4465,8.369140111077799e-08,True,False,nan,nan,0.18275099151892463,nan,291.62112710019574,4465,4466,158.02307809796184,0.035383582198379275,4465,122.10692259809002,0.02734757504996417,11.49112640414387
0.18257418583505539,10000000,2,Mat32,1e-07,48,204,1.6826983999926597,8.234209399903193,9.470013901591301e-05,274.2171513000503,0.052679800195619464,284.1868336002808,3469,9.406152066277965e-08,True,False,nan,nan,0.18275099287010232,nan,274.2171513000503,3469,3470,124.31317179393955,0.03582512155444944,3469,140.8178360911552,0.04059320729061839,9.086143414955586
0.316227766016838,30000000,2,Mat32,1e-05,0,55,4.211262800032273,0.0,0.0,4.639267700025812,0.04299850016832352,8.893529000226408,2223,8.13987714692884e-06,True,False,nan,nan,0.31608131220211877,nan,4.639267700025812,2223,2224,3.660190405091271,0.0016457690670374418,0,0.0,0.0,0.979077294934541
0.316227766016838,30000000,2,Mat32,1e-05,16,55,4.211262800032273,0.11088649998418987,5.789985880255699e-05,4.341594999888912,0.04450160008855164,8.708303799852729,1463,9.889371556194359e-06,True,False,nan,nan,0.31608139353583214,nan,4.341594999888912,1463,1464,2.484356797300279,0.0016969650254783327,1463,1.1598302002530545,0.0007927752564955943,0.6974080023355782
0.316227766016838,30000000,2,Mat32,1e-05,32,55,4.211262800032273,0.18442449998110533,0.00012400001287460327,3.8433147000614554,0.043095000088214874,8.282221000175923,998,8.69327308493997e-06,True,False,nan,nan,0.316081416184045,nan,3.8433147000614554,998,999,1.750375795410946,0.0017521279233342804,998,1.60401640413329,0.0016072308658650202,0.4889225005172193
0.316227766016838,30000000,2,Mat32,1e-05,48,55,4.211262800032273,0.34851220017299056,0.00019809999503195286,3.9224922000430524,0.04387789987958968,8.526343200122938,787,9.144386124018012e-06,True,False,nan,nan,0.3160813948011162,nan,3.9224922000430524,787,788,1.3976636012084782,0.0017736847731072058,787,2.1280274994205683,0.002703973950979121,0.3968010994140059
0.316227766016838,30000000,2,Mat32,1e-07,0,204,5.153560699895024,0.0,0.0,336.22972820000723,0.05276719992980361,341.43605609983206,9031,9.019356000381484e-08,True,False,nan,nan,0.3161354094229192,nan,336.22972820000723,9031,9032,315.6295986035839,0.03494570400836845,0,0.0,0.0,20.600129596423358
0.316227766016838,30000000,2,Mat32,1e-07,16,204,5.153560699895024,2.520142399938777,0.00017280015163123608,320.2841048000846,0.05072770011611283,328.00870840018615,6157,7.906733056054475e-08,True,False,nan,nan,0.3161354090942349,nan,320.2841048000846,6157,6158,214.98877490358427,0.03491211024741544,6157,89.5295690796338,0.014541102660327074,15.765760816866532
0.316227766016838,30000000,2,Mat32,1e-07,32,204,5.153560699895024,4.694217399926856,9.429990313947201e-05,286.33388069993816,0.05670429999008775,296.23845739965327,4431,7.858503801617386e-08,True,False,nan,nan,0.31613541083215524,nan,286.33388069993816,4431,4432,154.85062729939818,0.03493922096105555,4431,119.66268369951285,0.027005796366398747,11.820569701027125
0.316227766016838,30000000,2,Mat32,1e-07,48,204,5.153560699895024,8.197052899980918,0.00010380009189248085,269.2009183000773,0.05456340010277927,282.60619910014793,3456,9.828773844000474e-08,True,False,nan,nan,0.316135409734974,nan,269.2009183000773,3456,3457,121.3349587013945,0.03509833922516474,3456,139.08764970768243,0.04024526901263959,8.77830989100039
