dataset_family,n_train,eps,selected_topk,selected_q,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,32768.0,256.0,2.6487090720002016,344.0,344.0,344.0,0.1106008877555826,36487.72282887767,1.139861066987178e-12
synthetic_true_func_2d,300000000,1e-05,36864.0,192.0,2.0079226469999867,57.0,57.0,57.0,0.0001221715376177,894566.5521530207,2.269989756734076e-14
