dataset_stem,eps,method,precompute_mode,selector_tag,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,240.15196295342733,159243.74207647605,205.0,205.0,0.0547982359998968,0.3713130179999098,0.3911388519998127,0.0002641899998252,0.3914030419996379,0.0349148347904187,0.0355266342419567
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1225.0,0.0,0.0,0.0,14.0,14.0,0.0397390600001017,0.0687711350001336,0.0875794090002273,3.826600004686043e-05,0.0876176750002741,0.1488842498340117,0.1495132767561477
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_128,c1,topk_128,128.0,169.0,1056.0,6198.5253403715615,232202.8553024684,526.0,526.0,0.0032470430001012,0.8844914060000519,0.9035755710001468,9.32739999370824e-05,0.9036688450000838,0.1488842569125764,0.1495132763804829
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,54.5477451243749,63021.1201277645,120.0,120.0,0.2139141710001695,0.4068026239999653,0.4294314950000171,0.0002515859998766,0.4296830809998937,0.034914829923412,0.0355266320621221
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_256,c1,topk_256,256.0,361.0,864.0,139.9656127358365,4566.653112632366,109.0,109.0,0.0056237980002151,0.189335155000208,0.2081170159999601,9.207300035996012e-05,0.2082090890003201,0.1488842556178116,0.1495132824651812
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,9.838544680288264,21241.399621101573,56.0,56.0,0.91925885500018,1.0252196290000484,1.049087911000015,0.0002494590000878,1.049337370000103,0.0349148323984492,0.0355266312418791
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,35096.0,1313.518777417592,462890.8004708774,420.0,420.0,0.0138719239998863,0.6475215349998962,0.6673904790000051,0.0002724749999742,0.6676629539999794,0.0349148339014579,0.0355266353764759
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,600.0,0.8293138065601489,24.837653492246226,18.0,18.0,0.0120553849997122,0.0446775380000872,0.0634674630000518,8.60840000314056e-05,0.0635535470000832,0.1488842473262829,0.1495132735042131
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_64,c1,topk_64,64.0,81.0,1144.0,36897.95340241619,1551393.5975681008,1099.0,1099.0,0.0025849819999166,1.7953227920002064,1.8142610980003155,8.368900034838589e-05,1.814344787000664,0.1488843290398343,0.1495133570274922
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_728,c1,topk_728,728.0,961.0,34760.0,526.9586962169344,260478.2938681179,284.0,284.0,0.0274424939998425,0.4592791999998553,0.4792982279998341,0.0002669450000212,0.4795651729998553,0.0349148293550742,0.0355266297091716
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,2401.5196295323567,1592437.420763489,542.0,542.0,0.0537108359999365,0.8855773259999751,0.9608404849998352,0.0002838410000549,0.96112432599989,0.0284772776199,0.0286150144270681
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1225.0,0.0,0.0,0.0,14.0,14.0,0.0389909870000337,0.0667395499999656,0.1298612430000503,3.371999991941266e-05,0.1298949629999697,0.1370908323875228,0.1371764536732539
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_128,c1,topk_128,128.0,169.0,1056.0,61985.25340371784,2322028.553024768,1404.0,1404.0,0.0033301379999102,2.344266339999649,2.4170262009997714,9.853000028670068e-05,2.417124731000058,0.1370908592136146,0.1371764802936109
