dataset_family,n_train,eps,selected_topk,selected_q,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,256.0,64.0,0.6353831930000524,268.0,268.0,268.0,0.3951969494695171,36.693734823522014,2.340076460157157e-12
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,768.0,128.0,0.2773826210000152,5.0,5.0,5.0,0.3896628373948014,1.0684933963962453,8.00513167026404e-10
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,768.0,128.0,0.3381630490000589,7.0,7.0,7.0,0.3821210026366299,1.2286006528230995,2.894695895450882e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,512.0,128.0,0.6300817279998228,113.0,113.0,113.0,0.3742906430280251,1.500222434632208,1.6554268064977012e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,768.0,128.0,0.7729494459999842,14.0,14.0,14.0,0.3645633460572183,3.2878426373181413,1.2456666470152192e-08
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,768.0,128.0,2.0752525189998323,26.0,26.0,26.0,0.3561590499055587,7.863207293005587,1.4097316120709782e-08
synthetic_true_func_2d,1000000,1e-05,768.0,128.0,0.3925489209998432,70.0,70.0,70.0,0.0049062376174577,709.2674565565882,2.417383352249612e-13
synthetic_true_func_2d,3000000,1e-05,768.0,128.0,0.4511464929998965,98.0,98.0,98.0,0.0029089389933774,2125.710994786747,1.788803652679279e-13
synthetic_true_func_2d,10000000,1e-05,768.0,128.0,1.0247612319999462,143.0,143.0,143.0,0.0017023265507146,7086.556890574264,3.373951902792729e-13
synthetic_true_func_2d,30000000,1e-05,768.0,128.0,0.7586302549998436,203.0,203.0,203.0,0.0010718522338499,21268.167269345824,2.850316392403641e-13
synthetic_true_func_2d,100000000,1e-05,768.0,128.0,1.2194552630001,266.0,266.0,266.0,0.0006881460490321,70883.30065609599,1.0746937909242002e-13
synthetic_true_func_2d,300000000,1e-05,512.0,128.0,2.652987510999992,497.0,497.0,497.0,0.0005642803840528,212670.49793249945,1.324816277094367e-13
