dataset_family,n_train,eps,selected_topk,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,728.0,4.608932497000069,3000.0,3000.0,3000.0,0.123271806034524,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,728.0,4.646004077000043,3000.0,3000.0,3000.0,0.1181668904057486,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,728.0,4.654849308000053,3000.0,3000.0,3000.0,0.1152499054818331,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,728.0,4.684401772999991,3000.0,3000.0,3000.0,0.1138392136400949,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,2048.0,5.576901522999833,3000.0,3000.0,3000.0,0.120365603838658,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,2048.0,6.636781170000177,3000.0,3000.0,3000.0,0.1805070634990554,,
synthetic_true_func_2d,1000000,1e-05,1024.0,0.1709345274999805,67.5,67.5,67.5,0.011920611940210352,,
synthetic_true_func_2d,3000000,1e-05,1024.0,0.237611814499985,96.5,96.5,96.5,0.0080155807830085,,
synthetic_true_func_2d,10000000,1e-05,1024.0,0.369668539499969,163.5,163.5,163.5,0.00499160105226645,,
synthetic_true_func_2d,30000000,1e-05,1024.0,0.5453225160001125,219.0,219.0,219.0,0.0031663905407046,,
synthetic_true_func_2d,100000000,1e-05,1024.0,0.5560436119999395,3.0,3.0,3.0,0.000687616703128,,
synthetic_true_func_2d,300000000,1e-05,1024.0,1.5476839680000012,3.0,3.0,3.0,0.0005649883817801,,
