method,time_s,rhs_rel_err,note,rhs_direct_sum_s,t_original_exact_gpu_precompute_v1_s,theta_actual,G,num_occupied_bins,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback
original,0.02049919997807592,,gpu_precompute_v1 exact GPU NUFFT (independent path),,0.02049919997807592,,,,,,,,,,,,
C1,0.02284619997953996,,GPU fused binning kernel + compaction + batched strengths cuFINUFFT on occupied centers; or exact dual type-1 on all training points when route selects it.,,,17.498004134427372,1225.0,1225.0,0.0001406999654136598,0.0001411999692209065,0.0013319000136107206,0.020553299982566386,0.00023549998877570033,0.735,0.0,C1,0.0
