dataset_family,n_train,eps,selected_topk,selected_q,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,eta_eig
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000,1e-05,4096.0,128.0,0.8629404999956023,158.0,158.0,158.0,0.0526792018469073,661.1591891679777,8.583091885915334e-15,0.4120535182622396
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000,1e-05,512.0,192.0,1.1391252000030363,192.0,192.0,192.0,0.0435166793462708,290.6826352821867,5.1658289715902975e-14,1.99594699775328
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,1024.0,256.0,1.518959900000482,240.0,240.0,240.0,0.0355267472142366,1365.431159602138,6.433698404363102e-14,1.57333690915409
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,1024.0,256.0,1.8861749999923632,321.0,321.0,321.0,0.0310974472911775,4090.8252622346986,2.9242691973147564e-14,1.619184861431603
synthetic_true_func_2d,100000,1e-05,1024.0,128.0,0.6426901999948313,92.0,92.0,92.0,0.0028653169928203,693.4614989168365,1.121003946876221e-14,0.8298579336478146
synthetic_true_func_2d,300000,1e-05,2048.0,128.0,0.7095550999947591,97.0,97.0,97.0,0.0018769626318043,2079.099489315557,9.007179866739093e-15,0.6160648045903933
synthetic_true_func_2d,1000000,1e-05,1024.0,128.0,0.7903746000083629,116.0,116.0,116.0,0.0012631436138646,6912.003545512331,1.1369561134248644e-14,0.8840375934997825
synthetic_true_func_2d,3000000,1e-05,2048.0,128.0,0.9387025000032736,129.0,129.0,129.0,0.0008845944111025,20758.850797797044,9.661810000622544e-15,0.6997439650929607
