mode,top_q,precompute_method,N,eps,wall_s_total_median,wall_s_total_mean,wall_s_total_std,wall_s_total_p10,wall_s_total_p90,time_train_median,time_train_mean,time_train_std,time_train_p10,time_train_p90,time_precompute_median,time_precompute_mean,time_precompute_std,time_precompute_p10,time_precompute_p90,time_precompute_NUFFT_median,time_precompute_NUFFT_mean,time_precompute_NUFFT_std,time_precompute_NUFFT_p10,time_precompute_NUFFT_p90,time_precompute_binned_median,time_precompute_binned_mean,time_precompute_binned_std,time_precompute_binned_p10,time_precompute_binned_p90,time_eigenspace_median,time_eigenspace_mean,time_eigenspace_std,time_eigenspace_p10,time_eigenspace_p90,time_precond_build_median,time_precond_build_mean,time_precond_build_std,time_precond_build_p10,time_precond_build_p90,time_solve_median,time_solve_mean,time_solve_std,time_solve_p10,time_solve_p90,time_predict_median,time_predict_mean,time_predict_std,time_predict_p10,time_predict_p90,cg_iters_median,cg_iters_mean,cg_iters_std,cg_iters_p10,cg_iters_p90,t_matvec_total_median,t_matvec_total_mean,t_matvec_total_std,t_matvec_total_p10,t_matvec_total_p90,t_precond_total_median,t_precond_total_mean,t_precond_total_std,t_precond_total_p10,t_precond_total_p90,rmse_test_median,rmse_test_mean,rmse_test_std,rmse_test_p10,rmse_test_p90,peak_mem_gb_median,peak_mem_gb_mean,peak_mem_gb_std,peak_mem_gb_p10,peak_mem_gb_p90,repeat_count,fail_count,logN,logT,local_alpha
gpu_v1_topq0,0,c0,100000,1e-05,1.4464628999994602,1.4475374999979977,0.018679482887036542,1.4288714199967216,1.4653615799936233,1.4409780999994837,1.4420954199973495,0.018746069553984255,1.4234108199976618,1.4598813599935965,0.08735480000905227,0.08741627999697812,0.004004891617792283,0.08351923999725841,0.09157965999038424,0.021610299998428673,0.021468579996144398,0.0018699383915327804,0.019632759992964564,0.023371959995711223,0.06494530000782106,0.06594770000083372,0.0034893110936844948,0.06264717999729327,0.06959562000120059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3578199000039604,1.3546791400003713,0.018969888296039517,1.3346942000003765,1.3706814199977089,0.005484799999976531,0.005442080000648275,0.0002607742581353428,0.005194560007657856,0.005651039993972517,563.0,564.6,6.8410525505948225,558.6,571.8,0.8827601000666618,0.8830049999640324,0.01131580680752813,0.8719819400575943,0.8948054798442172,,,,,,0.03140451659657716,0.031805558318650895,0.0020624986273882844,0.029878004294249562,0.03402734562209529,0.8711914056912065,0.8711914056912065,0.0,0.8711914056912065,0.8711914056912065,5,0,11.512925464970229,0.3653221191222194,
gpu_v1_topq0,0,c1,100000,1e-05,1.4359145000053104,1.4402796000038507,0.018519030753677834,1.4231479800131637,1.4597053599951324,1.430965700012166,1.4352825000009033,0.018579378163573686,1.418085720005911,1.454744499991648,0.22444810000888538,0.22373528000025544,0.002825517227962447,0.22101176000142003,0.22555107999360188,0.019693599999300204,0.02098939999996219,0.002251903317541248,0.0194222600053763,0.0234823399950983,0.20491830000537448,0.20274588000029325,0.003735978273423634,0.1985767999984091,0.2055092800001148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2065176000032807,1.2115472200006479,0.016979603669595503,1.1966052800038596,1.2299063999962527,0.0049491000099806115,0.004997100002947263,9.395863504854096e-05,0.004922220000298694,0.005100780003704131,514.0,514.4,4.159326868617088,510.8,518.6,0.794622900270042,0.7942347599862842,0.005147387434673737,0.7890144199307543,0.7988349999446654,,,,,,0.011533069483153422,0.011534908940917497,0.00040555070905222055,0.011167262659659772,0.011912579522366667,0.8711914056912065,0.8711914056912065,0.0,0.8711914056912065,0.8711914056912065,5,0,11.512925464970229,0.3583495310432776,
gpu_v1_topq0,0,c2,100000,1e-05,1.475688699996681,1.48658697999781,0.02525767730089881,1.4642748599988409,1.5140366599924164,1.4707799000025261,1.481284179998329,0.025243510363126675,1.4588554599991768,1.5087560199928702,0.40072890000010375,0.4038890399970114,0.015230356304864896,0.39077313999296165,0.42020887999678963,0.02149739999731537,0.021347039999091065,0.0011739599869654306,0.020096260000718756,0.022436059996834956,0.3792315000027884,0.3825419999979204,0.014700556526002917,0.36981329999980517,0.3984072999941418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0700510000024224,1.0773951400013175,0.02322653172092453,1.0584006200020668,1.1018946199998028,0.00541160001012031,0.005302799999481067,0.0004285450536647232,0.004882639995776117,0.005712119999225251,444.0,447.2,10.592450141492286,437.4,458.6,0.7043393999192631,0.7026509399525821,0.01619102580596995,0.6873002798674861,0.7184024400892668,,,,,,0.0034955222942222126,0.003514765101442418,3.6183744349281785e-05,0.0034864792900500124,0.0035553710359387887,0.8711914056912065,0.8711914056912065,0.0,0.8711914056912065,0.8711914056912065,5,0,11.512925464970229,0.385792804321225,
gpu_v1_topq0,0,original,100000,1e-05,0.9959579999995185,0.9968345599976601,0.03280946077850596,0.9654472199996235,1.0307794599968474,0.9902090999967186,0.9910130799951731,0.03274356620746926,0.9599255399953108,1.0247399199957727,0.020572499997797422,0.021113680000416933,0.0019511865550671645,0.019729360003839246,0.02309883999696467,0.020572499997797422,0.021113680000416933,0.0019511865550671645,0.019729360003839246,0.02309883999696467,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705114999960642,0.969899399994756,0.03322952910685619,0.9382786999922246,1.003968539997004,0.005748900002799928,0.005821480002487079,0.0009348761209965987,0.00503282000136096,0.006764460002887063,400.0,403.0,6.4031242374328485,398.8,409.6,0.6250764999567764,0.6323430600226857,0.02130602965818221,0.6146900000894675,0.6549243000074056,,,,,,0.0025971755314594495,0.002603685453889979,6.514529014596457e-05,0.0025467666717192356,0.0026654832087028703,0.8711914056912065,0.8711914056912065,0.0,0.8711914056912065,0.8711914056912065,5,0,11.512925464970229,-0.009839146037742994,
gpu_v3_topq,64,c0,100000,1e-05,1.8089410000102362,1.8063561000075423,0.010948175200059753,1.7948217000084696,1.816214620001847,1.8031626000010874,1.8007383000047412,0.010876248230720085,1.789489260004484,1.810595980004291,0.08158490000641905,0.08152348000439816,0.002192724095305067,0.07923938000749331,0.08368218000105117,0.01999400000204332,0.020564540001214483,0.0014598230987403658,0.019296680003753862,0.022180119997938164,0.06089829999837093,0.06095894000318367,0.0010681714721424676,0.059925560004194266,0.061921140004415065,0.9880292000016198,0.9867308200016851,0.002239281185965446,0.9842365000076825,0.9885427599976537,0.0002451999898767099,0.00025049999821931125,1.4839311356544323e-05,0.00024073999666143208,0.00026504000416025517,0.7366781000018818,0.7322335000004386,0.010762964098398022,0.7202756000013324,0.7414844199985964,0.005493600008776411,0.005617800002801232,0.0006767290447499836,0.005035519998637028,0.006321040002512745,197.0,196.2,1.7888543819998326,194.6,197.0,0.3121820999949705,0.31177553997258656,0.002179385227759575,0.30961697989550885,0.3136927200102946,0.19040310001582839,0.19022801996325142,0.002834532268628809,0.1873504999675788,0.19305227992299479,0.031404739218171995,0.03180546843599705,0.002062512226174207,0.029877818864971307,0.03402720283262128,1.2676757806912065,1.2676757806912065,0.0,1.2676757806912065,1.2676757806912065,5,0,11.512925464970229,0.5895421231838246,
gpu_v3_topq,64,c1,100000,1e-05,1.889207100000931,1.8864254200016148,0.014342472363322624,1.8717975199979264,1.9002299200044945,1.883901599998353,1.8812375600013183,0.01412209844597221,1.8668216599966398,1.8948608600068837,0.21262979999301024,0.21443583999935073,0.005510153564578096,0.2109258399985265,0.21965364000352566,0.019945799998822622,0.020127639998099765,0.0006898269205932431,0.01965476000041235,0.020797659995150753,0.1930720999953337,0.19430820000125096,0.005767859862615664,0.19015542000124697,0.19972516000561882,0.9934656000114046,0.9933190600015223,0.0017252618798683195,0.9916542200022377,0.9948633199936012,0.0003009000065503642,0.00030277999758254737,4.536680341378219e-05,0.00026419999194331466,0.00034393999667372557,0.6691844000015408,0.6731798800028628,0.01480490754971802,0.6604335800075205,0.6888330399990081,0.005116400003316812,0.005187860000296496,0.0002395083331216022,0.004975860001286492,0.0054446999973151835,176.0,175.8,0.44721359549995715,175.4,176.0,0.28141019998292904,0.28194883997784925,0.004779666558218654,0.27731899998616427,0.2864824199612485,0.17441610002424568,0.1747157200210495,0.00201070404406629,0.17272887996805367,0.1767995200905716,0.011533236395647444,0.01153478795827462,0.00040538373519289305,0.011167032000017594,0.011912514186141423,1.2676757806912065,1.2676757806912065,0.0,1.2676757806912065,1.2676757806912065,5,0,11.512925464970229,0.6333449454899367,
gpu_v3_topq,64,c2,100000,1e-05,1.9747120000101859,1.974085160001414,0.019947964523708683,1.9537908999976934,1.9922795800026507,1.968969500012463,1.968382620002376,0.019323999183532236,1.948731339990627,1.985780620010337,0.39839640000718646,0.4001960000023246,0.010520976387407933,0.39003509999602104,0.4113843000057386,0.02046600000176113,0.020245419998536816,0.0007570225257196396,0.019482919995789418,0.0207706799992593,0.3779304000054253,0.3799505800037878,0.010137469258526599,0.37034873999946283,0.3908345200063195,0.9980691999953706,0.995458919997327,0.005602632200732889,0.9893516999931308,0.9995629800017923,0.00025710000772960484,0.00028108000406064094,4.4832541408585065e-05,0.00024408000463154166,0.00033036000095307825,0.5746701000025496,0.5724466199986636,0.007663617478721654,0.5646647799992934,0.578213239996694,0.005499299993971363,0.005702539999037981,0.0008702924125270077,0.005045940005220473,0.006596239993814379,153.0,154.0,1.4142135623730951,153.0,155.6,0.2431485999841243,0.24273718004405964,0.004973937726102377,0.23799128006212414,0.24694902002229355,0.15116199995100033,0.15149873998307156,0.0024366618824560593,0.14948379996349104,0.15400004000985063,0.003495755412597281,0.0035148507191510208,3.6031347937954565e-05,0.0034866088365352777,0.00355528729970136,1.2676757806912065,1.2676757806912065,0.0,1.2676757806912065,1.2676757806912065,5,0,11.512925464970229,0.6775103094468498,
gpu_v3_topq,64,original,100000,1e-05,1.523335699996096,1.525593319995096,0.017532856962015838,1.5110191999934615,1.5429535999981454,1.5177083000016864,1.5204402400006074,0.017516470112282793,1.5061079999955838,1.5378372200066224,0.019935999996960163,0.02023903999652248,0.0009095011078555214,0.019514599995454775,0.021209999997518027,0.019935999996960163,0.02023903999652248,0.0009095011078555214,0.019514599995454775,0.021209999997518027,,,,,,0.9865342999983113,0.9862387400004081,0.001974274317207546,0.9843243000039366,0.9880454599973746,0.00025579999783076346,0.0002638399979332462,2.2628920181323026e-05,0.000245939998421818,0.00028833999822381885,0.5144653000024846,0.5136986200057436,0.01685883872141351,0.4988078200025484,0.5300929600110976,0.004992699992726557,0.005153079994488508,0.00031041685840302107,0.004911199997877702,0.005497199992532842,138.0,138.2,2.049390153191918,136.2,140.0,0.21983849996468052,0.22017572000331712,0.005233432227524904,0.21584210006985813,0.22518661993090064,0.1317777999502141,0.13191927996522282,0.0027104249450514927,0.12943185996555256,0.13453667997091542,0.002597346018000286,0.002603719456129315,6.489250933093354e-05,0.0025468873987704904,0.0026654117607522853,1.2676757806912065,1.2676757806912065,0.0,1.2676757806912065,1.2676757806912065,5,0,11.512925464970229,0.4172014997714963,
gpu_v3_topq_eigenpro_nystrom,64,c0,100000,1e-05,0.8667385000007926,0.8894690400047693,0.03532990949663833,0.8634574600087944,0.9293893800029764,0.8613214000070002,0.883973840001272,0.03557854661443661,0.8574289000040153,0.9241536199959228,0.08188779999909457,0.08152740000223276,0.0009410774292890193,0.08050466000568121,0.08236460000043735,0.02087500000197906,0.02053072000562679,0.0007427260289544681,0.019749900008901023,0.021189960004994644,0.0610026999929687,0.06099667999660596,0.00027410852816838664,0.06075425999879371,0.061261319994810035,0.14461620000656694,0.14418592000438366,0.005526392565185798,0.13905272000120023,0.14968308000534308,0.0004048999981023371,0.00041109999583568426,5.499308602981324e-05,0.0003630399995017797,0.0004649599897675216,0.6385123999934876,0.65784941999882,0.032340135006336306,0.6321812399983173,0.6941146199998911,0.0054170999937923625,0.005495200003497303,0.0007411634540457598,0.004920000006677583,0.006229000005987473,200.0,200.0,1.224744871391589,199.0,201.2,0.3186254000465851,0.31762472000555136,0.005830547557454871,0.3117059599899221,0.3233055599877844,0.10548319996451028,0.10921447997970972,0.01090655934613904,0.09925166004395578,0.1209013399318792,0.03140467174283642,0.03180541482606768,0.002062272637333885,0.02987804205234141,0.03402691263252988,1.2676757806912065,1.2676757806912065,0.0,1.2676757806912065,1.2676757806912065,5,0,11.512925464970229,-0.14928755732476542,
gpu_v3_topq_eigenpro_nystrom,64,c1,100000,1e-05,0.9559570999990683,0.9575279799988493,0.01824812762534643,0.9391650400066283,0.9757345799909671,0.9509205000067595,0.952410860004602,0.018351970277132652,0.9339190000115195,0.9706666999962181,0.22434420000354294,0.22522816000273452,0.012511553305590855,0.21501630000420846,0.23757899999909568,0.02087559999199584,0.02052220000186935,0.000836602429625478,0.01974428000394255,0.020957220005220732,0.20333829999435693,0.20470596000086516,0.01252749366300896,0.19417392000032124,0.21744132000312674,0.14200979999441188,0.14359139999723994,0.003147718644363468,0.14145922000170685,0.14696849999309053,0.0004381000035209581,0.0004236600012518466,8.639903102078705e-05,0.00034058000310324135,0.0005085199984023348,0.583283300002222,0.5831676400033757,0.011628356065102525,0.5722778200026368,0.5944207400054438,0.005039999989094213,0.005117119994247332,0.0001504390666937594,0.005036919994745403,0.005265319996397011,179.0,179.6,1.8165902124584932,178.0,181.6,0.28439449991856236,0.28577166003815363,0.005444495308861377,0.2809981800732203,0.2916983000730397,0.09504439996089786,0.09407960005337372,0.0019241193214518718,0.09193668009247631,0.09568588003749028,0.011533436393579677,0.011534911459964636,0.0004053166932396845,0.011167150927711735,0.01191255256704603,1.2676757806912065,1.2676757806912065,0.0,1.2676757806912065,1.2676757806912065,5,0,11.512925464970229,-0.05032481613850766,
