dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_eig,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,570,,0.0004630000039469,1.9510323999857064,3.944513399997959,,,0.0310978387617912
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,2291,,,5.4439973999978974,6.575735299993539,,,0.0311743563185386
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q128,c1,,128.0,4096.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.6411880953076405,0.7518668657075565,19678.081646181417,1.0399063743402701e-14,745,745.0,0.4014839000010397,3.0399856999865733,3.575989800010575,0.3072738000191748,3.88326360002975,0.0310974100134858
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.641188095307639,0.8393746415592395,8157.913459002125,5.2271429830565175e-14,486,486.0,0.7673293999978341,2.8134359999967278,3.5359754000091925,0.3949306999857072,3.9309060999949,0.0310973131992319
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q128,c1,,128.0,8192.0,10609.0,25112.0,5.520105239467475,20444.51560835169,4.705387462425646,0.5807350790814699,19681.17824483228,1.0883207834351485e-14,770,770.0,0.4572943999955896,3.771304599998985,4.4740195000194944,0.3206633000227157,4.79468280004221,0.0310976817539707
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q192,c1,,192.0,8192.0,10609.0,25112.0,5.520105239467475,20444.51560835169,4.705387462425645,0.6179422415880204,8160.590567221962,1.3278871095045634e-14,505,505.0,0.838034799991874,2.868523200013442,3.5650028999953065,0.3709747999964747,3.935977699991781,0.0310975651064418
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,350,,0.0010433999996166,1.1970141000056174,2.13053100000252,,,0.001266743992196
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,212,,0.0004235999949742,0.6819563000171911,2.4499528000014834,,,0.0012678168737123
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,861,,,2.3585476000152994,3.131387600005837,,,0.0012505690154655
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q128,c1,,128.0,4096.0,5329.0,30392.0,9.83852065960661,21241.346961770272,2.429680498750641,0.4456954004128919,6920.767201498467,1.034693344931213e-14,134,134.0,0.4890254000201821,0.952624300000025,1.208981000003405,0.2790069000038784,1.487987900007283,0.0012659554833785
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,9.83852065960661,21241.346961770272,2.4296804987506406,0.5136205114308348,2988.0136316594007,4.4402245669706146e-14,90,90.0,0.6349429000110831,0.9381257999921218,1.2002876999904402,0.3029667999944649,1.5032544999849051,0.001264857984266
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q128,c1,,128.0,8192.0,10609.0,25112.0,1.840030510776764,6814.821494690161,1.6726014724805354,0.2620215712693283,6920.915484633265,1.5461292422372126e-14,140,140.0,0.4430651000002399,0.8844767999835312,1.1359108999895398,0.2762740000034682,1.412184899993008,0.0012634316579828
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q192,c1,,192.0,8192.0,10609.0,25112.0,1.840030510776764,6814.821494690161,1.6726014724805347,0.3016826250514119,2988.1704154715867,3.7437270375566506e-14,91,91.0,0.6583823999972083,0.9813305999850854,1.2209572999854572,0.2975095000001602,1.5184667999856174,0.0012633605885515
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,519,,0.0003862000012304,1.4897686000040269,2.97963190000155,,,0.0005614993286079
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,268,,0.0004198999959044,0.8833975000015926,3.1834738999896217,,,0.0005603428058947
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,1140,,,2.616128000023309,6.246509100019466,,,0.0005583031476492
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q128,c1,,128.0,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.6745073500654577,0.5279254300228816,69198.87974009594,1.0650072699641988e-14,148,148.0,0.3700624000048265,0.8228449000162072,1.7070504000002984,0.2645000999909825,1.971550499991281,0.0005593070869972
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.6745073500654577,0.61035453131828,29837.351513250505,3.578814504969728e-14,102,102.0,0.6189597000193316,0.9231061000027694,1.7846076000132598,0.2976911000150721,2.082298700028332,0.000560002639567
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q128,c1,,128.0,8192.0,10609.0,25112.0,18.400346579650652,68148.36962691823,2.5251616816660967,0.3669863041843154,69200.19734500263,1.3295712089415446e-14,160,160.0,0.4116937999788206,0.930362499988405,1.8143611999985296,0.2832527999999001,2.09761399999843,0.0005663821902682
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q192,c1,,192.0,8192.0,10609.0,25112.0,18.400346579650652,68148.36962691823,2.5251616816660967,0.4223737205894975,29838.75155946717,2.8693391202730655e-14,106,106.0,0.6459032999991905,1.000037200021325,1.8887178000004496,0.2993407000030856,2.1880585000035357,0.000565652849265
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,448,,0.0004016000020783,1.3328933999873698,2.493326399999205,,,0.0008886816749783
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,244,,0.0003957000153604,0.8158564000041224,2.7459073000063654,,,0.0008895234084005
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,997,,,2.2958682000171398,3.401505100016948,,,0.0008834687257881
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q128,c1,,128.0,4096.0,5329.0,30392.0,29.51559534762896,63724.11403807059,2.6066564905600496,0.5056852415738493,20761.633870444337,1.0538863908215202e-14,119,119.0,0.3780197000014595,0.7372107999981381,1.264128199982224,0.2621176999818999,1.526245899964124,0.0008886637048553
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,29.51559534762896,63724.11403807059,2.6066564905600496,0.583885386155027,8948.925003561328,4.921284134247725e-14,79,79.0,0.628527299995767,0.8848332000197843,1.4308128000120632,0.2911622999818064,1.7219750999938697,0.0008875026650551
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q128,c1,,128.0,8192.0,10609.0,25112.0,5.520097879512786,20444.488157514188,2.22872188909052,0.327327847779426,20762.04391118636,1.492775742195986e-14,168,168.0,0.3950533999886829,0.9387861999857704,1.472156499978155,0.262669600022491,1.734826100000646,0.0008889104560936
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q192,c1,,192.0,8192.0,10609.0,25112.0,5.520097879512786,20444.488157514188,2.22872188909052,0.3785209237605226,8949.358114842853,2.7364913399899397e-14,100,100.0,0.6522074000095017,0.9848782999906688,1.5123464000062086,0.3055122999940067,1.8178587000002155,0.0008885885906674
