dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,epsilon_T,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,eta_eig,eta_eig_sq,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,9.838544680288264,21241.399621101573,4.931851559891996,657.566498147521,6575.664981475209,6575.664981475209,8.768395701378211e-15,1.772213342869022e-15,0.6216539708957957,0.3864536595305107,10915840.0,290.0,290.0,290.0,cupy,495,495.0,0.3543644000019412,0.3586510000168346,1.8727985000004992,2.0898488000093494,0.3006641999818384,2.390512999991188,0.0349148565102678,0.0355266484911828
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,9.838544680288264,21241.399621101573,4.931851559891996,271.6911292688934,2716.911292688934,2716.911292688934,1.1698347773240454e-14,3.3995317510097044e-15,0.6991630655277277,0.4888289921981296,16373760.0,418.0,418.0,418.0,cupy,315,315.0,0.6485561000008602,0.653088499995647,1.636698599992087,1.8558320000011008,0.3459481000027153,2.201780100003816,0.034914814894021,0.0355266026954496
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,8192.0,10609.0,10609.0,25112.0,1.8400350798236111,6814.838536121377,3.279803039254175,657.6696424896608,6576.696424896607,6576.696424896607,9.34382956340956e-15,1.862769647033571e-15,0.4560459972590822,0.2079779516160308,21729280.0,290.0,290.0,290.0,cupy,463,463.0,0.4004358999955002,0.4057624999841209,1.9286083999904804,2.156421899999259,0.2679020999930799,2.424323999992339,0.0349152983939463,0.0355270428114364
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,8192.0,10609.0,10609.0,25112.0,1.8400350798236111,6814.838536121377,3.279803039254175,271.78777009364023,2717.877700936402,2717.877700936402,1.2320915731908372e-14,2.728190232507276e-15,0.4936440891186629,0.2436844867217944,32593920.0,418.0,418.0,418.0,cupy,295,295.0,0.6827845000079833,0.6888944999955129,1.6937197000079325,1.912921000010101,0.3020445999864023,2.2149655999965034,0.0349153687516,0.0355270510541704
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,98.38544680280414,212413.99621084624,6.86177646740055,6565.271098656905,65652.71098656904,65652.71098656904,8.835336012304771e-15,1.6590788625872689e-15,0.8145760721099656,0.6635341772540999,10915840.0,290.0,290.0,290.0,cupy,999,999.0,0.3963693999976385,0.4019088000059128,4.031224200007273,5.06826070000534,0.2950248999986797,5.363285600004019,0.0284774797861649,0.0286152726411717
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,98.38544680280414,212413.99621084624,6.861776467400548,2718.6302328394663,27186.30232839466,27186.30232839466,1.8236824786577125e-14,3.0218133440123508e-15,0.906395968410499,0.8215536515508063,16373760.0,418.0,418.0,418.0,cupy,691,691.0,0.6406081999884918,0.6464119000011124,3.1913272000092547,4.210458399989875,0.349400200007949,4.559858599997824,0.0284774980961702,0.028615214000336
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,8192.0,10609.0,10609.0,25112.0,18.400350798221424,68148.38536115935,5.745353042131224,6566.314809846627,65663.14809846626,65663.14809846626,1.1777195568806491e-14,1.8714764702527755e-15,0.665753252992502,0.4432273938700983,21729280.0,290.0,290.0,290.0,cupy,1217,1217.0,0.4424524000205565,0.448630700004287,5.004409299988765,6.0309037000115495,0.2941993000276852,6.325103000039235,0.0284777340270568,0.028615447280071
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,8192.0,10609.0,10609.0,25112.0,18.400350798221424,68148.38536115935,5.745353042131224,2719.558135617733,27195.58135617733,27195.58135617733,1.5789020944001785e-14,2.571305041790945e-15,0.6999731985629747,0.4899624787064815,32593920.0,418.0,418.0,418.0,cupy,788,788.0,0.7428639999998268,0.7480556999798864,3.848512299999129,4.879250699974364,0.3946775000076741,5.273928199982038,0.0284777485711604,0.0286154400990545
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.6411880953076405,1967.808164618142,19678.081646181417,19678.081646181417,1.0399063743402701e-14,1.835734344639185e-15,0.7518668657075565,0.5653037837489047,10915840.0,290.0,290.0,290.0,cupy,745,745.0,0.39543470001081,0.4014839000010397,3.0399856999865733,3.575989800010575,0.3072738000191748,3.88326360002975,0.0306542417820847,0.0310974100134858
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.641188095307639,815.7913459002125,8157.913459002125,8157.913459002125,5.2271429830565175e-14,3.2522807296873775e-15,0.8393746415592395,0.7045497888927017,16373760.0,418.0,418.0,418.0,cupy,486,486.0,0.7620760999852791,0.7673293999978341,2.8134359999967278,3.5359754000091925,0.3949306999857072,3.9309060999949,0.0306541960498361,0.0310973131992319
