sigma,N,dim,kernel,eps,top_q,m,pre,eig,precond,solve,mean,total,iters,relres,converged,hit_maxiter,eepm_train,eepm_new,rms,rmse_ex,solve_s_total,n_iter,n_matvec,t_matvec_total,t_matvec_avg,n_precond,t_precond_total,t_precond_avg,t_cg_overhead
0.02,1500000,2,Mat32,1e-05,0,94,0.34401930030435324,0.0,0.0,2.6031569000333548,0.026981899980455637,2.9741581003181636,372,9.134344798797345e-06,True,False,nan,nan,0.001109585038701543,nan,2.6031569000333548,372,373,2.3831977946683764,0.006389270226992966,0,0.0,0.0,0.2199591053649783
0.02,1500000,2,Mat32,1e-05,4,94,0.34401930030435324,1.1220996999181807,0.0008096997626125813,2.821032399777323,0.009346299804747105,4.297307399567217,336,8.750326006915368e-06,True,False,nan,nan,0.0011093744091792111,nan,2.821032399777323,336,337,2.226677398663014,0.006607351331344256,336,0.38282279996201396,0.0011393535713155177,0.21153220115229487
0.02,1500000,2,Mat32,1e-05,8,94,0.34401930030435324,1.7836123001761734,0.0014758999459445477,2.815367900300771,0.010553100146353245,4.9550285008735955,298,8.431075664823712e-06,True,False,nan,nan,0.0011060480678148682,nan,2.815367900300771,298,299,2.0380486049689353,0.006816216070130218,298,0.5774375000037253,0.001937709731556125,0.19988179532811046
0.02,1500000,2,Mat32,1e-05,16,94,0.34401930030435324,3.13108959980309,0.0025993003509938717,2.861145199742168,0.011518899817019701,6.350372300017625,252,9.461784420315857e-06,True,False,nan,nan,0.0011040822638543383,nan,2.861145199742168,252,253,1.811711103655398,0.007160913453183391,252,0.864525904878974,0.0034306583526943412,0.18490819120779634
0.02,1500000,2,Mat32,1e-06,0,181,0.379810499958694,0.0,0.0,27.144290700089186,0.00822150008752942,27.53232270013541,1000,9.93361806207205e-07,True,False,nan,nan,0.0011225026189546478,nan,27.144290700089186,1000,1001,25.17682490637526,0.025151673233142116,0,0.0,0.0,1.9674657937139273
0.02,1500000,2,Mat32,1e-06,4,181,0.379810499958694,4.302569800056517,0.002615399658679962,27.504797999747097,0.007358199916779995,32.19715189933777,900,8.922169103677099e-07,True,False,nan,nan,0.0011225765816296606,nan,27.504797999747097,900,901,22.238598701078445,0.02468212952394944,900,3.4605192905291915,0.003845021433921324,1.8056800081394613
0.02,1500000,2,Mat32,1e-06,8,181,0.379810499958694,7.143591600004584,0.005213999655097723,31.98054200038314,0.008947999682277441,39.51810609968379,844,9.88349639569626e-07,True,False,nan,nan,0.0011226054153454074,nan,31.98054200038314,844,845,23.496106998063624,0.02780604378469068,844,6.453230896964669,0.007646008171759087,2.0312041053548455
