M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_route_group,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,error_message,error_type,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,non_v1_maxiter,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,traceback,v1_maxiter,version
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,cupy,8.86648717925365e-14,3.677196336846412e-15,640,290,290,,290,128,625,600,1282048,21267.049793249946,212670.49793249945,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,478,479,9.697280439746303e-08,0,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,128,0,128,128,0,0,2,1225,,,,,,,8.86648717925365e-14,3.677196336846412e-15,,,,,1e-05,,,boxeig,299999999.99935234,True,,nan,0,0,,nan,0,0,0,0,False,478.0,SE,0.1,1.5,1.0,,38416,3000,btab_boxeig_topk_512_q128,35,479,478,75000000,300000000,3000,cufinufft,binned_c1,50,478,9.697280439746303e-08,pcg,converged,478,,True,0.1,0,248.7941398093209,0.000564579486881616,0.30001782234786817,0,0.1,boxeig,ok,,0.0006318311544829102,0.302647122997314,0.00042533570920769994,0.20331046900128058,7451.295978545698,600,,212670.49793249945,0.0005208200000197394,4.474636192711819e-05,0.021388761001162493,3.896248745435339e-05,0.01862406900318092,0.00024314582008906144,0.11622370200257137,0.23641164299988304,0.0,0.0,0.0009576739998919948,0.0,5.581666109586473e-05,0.026680364003823343,0.23545396899999105,,0.051759578000201145,1.5005247009999039,0.23737802599998759,1.5161289059997216,1.0433332790003078,0.0,2.5438579800002117,2.595617558000413,1e-07,,,80000,v7_btab_boxeig
1225,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,80000,625,cheap,30,0.01,,cupy,4.253867064567593e-11,4.29117705543971e-14,1280,546,546,,546,256,625,600,2564096,55.517569714842686,555.1756971484268,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,90,91,7.519344851483007e-08,0,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,1225,,,,,,,4.253867064567593e-11,4.29117705543971e-14,,,,,1e-05,,,boxeig,299999999.99935234,True,,nan,0,0,,nan,0,0,0,0,False,90.0,SE,0.1,1.5,1.0,,38416,3000,btab_boxeig_topk_512_q256,35,91,90,75000000,300000000,3000,cufinufft,binned_c1,50,90,7.519344851483007e-08,pcg,converged,90,,True,0.1,0,248.7941398093209,0.0005656559146254281,0.3000178223889557,0,0.1,boxeig,ok,,0.0007004314614997573,0.06373926299647792,0.00045334257776832805,0.04080083199914952,7451.295978545698,600,,555.1756971484268,0.0005125950001456658,4.89309889114035e-05,0.004403789002026315,4.210775557819741e-05,0.003789698002037767,0.0002541237111169418,0.022871134000524762,0.45856341699982295,0.0,0.0,0.0009274999997614941,0.0,6.044505556322595e-05,0.005440055000690336,0.45763591700006145,,0.10023359999968307,1.50087623599984,0.45953449199987517,1.5174872409997988,0.6263722980002058,0.0,2.1272485340000458,2.227482133999729,1e-07,,,80000,v7_btab_boxeig
1225,expanded_box,topk,768,,768,0,"[15, 15]","[31, 31]",961,topk,768,,768,80000,961,cheap,30,0.01,,cupy,2.303198561867655e-13,3.725407382434823e-15,640,290,290,,290,128,961,264,1970176,21267.40575708584,212674.05757085836,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,353,354,8.105198918166403e-08,0,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,128,0,128,128,0,0,2,1225,,,,,,,2.303198561867655e-13,3.725407382434823e-15,,,,,1e-05,,,boxeig,299999999.99935234,True,,nan,0,0,,nan,0,0,0,0,False,353.0,SE,0.1,1.5,1.0,,59536,3000,btab_boxeig_topk_768_q128,35,354,353,75000000,300000000,3000,cufinufft,binned_c1,50,353,8.105198918166403e-08,pcg,converged,353,,True,0.1,0,0.3868140743360568,0.000566456318986467,0.3000178194423508,0,0.1,boxeig,ok,,0.0006398879039419122,0.22652031799543693,0.00043413351275546093,0.1532491300026777,10.924850578839887,264,,212674.05757085836,0.0005391549998421397,4.493557506365152e-05,0.015862257997468987,3.947402267379328e-05,0.013934330003849027,0.0002449438413566859,0.08646517599891013,1.155865767999785,0.0,0.0,0.0009769829998731439,0.0,6.148717281341496e-05,0.02170497200313548,1.1548887849999119,,0.050245951999841054,1.5009933600003933,1.1568360109999958,1.519868260000294,1.7608578209997177,0.0,3.261851181000111,3.312097132999952,1e-07,,,80000,v7_btab_boxeig
1225,expanded_box,topk,768,,768,0,"[15, 15]","[31, 31]",961,topk,768,,768,80000,961,cheap,30,0.01,,cupy,1.9171803276623935e-11,5.68063658348373e-14,1280,546,546,,546,256,961,264,3940352,61.61184711259955,616.1184711259955,0.001,boxeig,20000,group_b,50,diag,0.001,50,auto,group_b,boxeig,50,51,6.49872696687359e-08,0,,,2,synthetic_true_func_2d_ntrain300000000,False,NVIDIA A100-SXM4-40GB,cheap,256,0,256,256,0,0,2,1225,,,,,,,1.9171803276623935e-11,5.68063658348373e-14,,,,,1e-05,,,boxeig,299999999.99935234,True,,nan,0,0,,nan,0,0,0,0,False,50.0,SE,0.1,1.5,1.0,,59536,3000,btab_boxeig_topk_768_q256,35,51,50,75000000,300000000,3000,cufinufft,binned_c1,50,50,6.49872696687359e-08,pcg,converged,50,,True,0.1,0,0.3868140743360568,0.0005653155306818489,0.30001782198786664,0,0.1,boxeig,ok,,0.0007507852744721258,0.03829004899807842,0.00048090823996062683,0.02404541199803134,10.924850578839887,264,,616.1184711259955,0.0005179729996598326,5.22002599791449e-05,0.002610012998957245,4.407708001053834e-05,0.002203854000526917,0.00027013253999029984,0.013506626999514992,0.473535867999999,0.0,0.0,0.0009433270001864003,0.0,6.387681998603511e-05,0.003193840999301756,0.4725925409998126,,0.10039355900016744,1.501419659000021,0.4744968999998491,1.5157392940000136,0.573984967999877,0.0,2.075404626999898,2.1757981860000655,1e-07,,,80000,v7_btab_boxeig
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,3234,3235,8.79500170656722e-08,,,,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,,,,,,,,,0,0,,,1e-05,,,,,True,,,,,,,,,,,False,3234.0,SE,0.1,1.5,1.0,,,80000,plain_cg,35,3235,,25000000,100000000,3000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0005713971853088601,0.300030522329118,0,,,ok,,0.000619788049771778,2.0050143410117016,,,,,,,,,,,,,,,,,,,,,,,,1.0215111420002358,,0.513658612999734,3.4316055220001545,,4.453117024000221,,1e-07,,,80000,v1
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,903,904,7.69881403121069e-08,,,nan,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,72,3,nan,,49260.709190991874,0.002946883834564161,,,5,352,0.0005934079993854869,0.2088796157836914,1e-05,,,,,True,[],,,,,,,,,,False,903.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q64,35,904,903,25000000,100000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0006891194625512295,0.30003082159872235,0,,,ok,,0.0006272553694697534,0.567038854000657,0.00015100390587672523,0.13635652700668288,,,[],,,,,,,,,,,,,,,,,0.21548039300023447,,0.5103911119999793,0.00030553299984603655,0.5074758470000234,1.271976689999974,,1.9981537280000339,,1e-07,64,,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,211,212,8.053671013323914e-08,,,nan,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,136,3,nan,,2295.584644022048,0.00013725565073005613,,,5,672,0.0005900266624632336,0.396497917175293,1e-05,,,,,True,[],,,,,,,,,,False,211.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q128,35,212,211,25000000,100000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0006914914547681872,0.3000308285618092,0,,,ok,,0.00061998568394473,0.13143696499628277,0.00014979657347475304,0.03160707700317289,,,[],,,,,,,,,,,,,,,,,0.4066966400000638,,0.5105648479998308,0.0003101880001850077,0.5030452930000138,0.294837484999789,,1.2124091609998686,,1e-07,128,,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,8,9,8.960996107258377e-08,,,nan,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,264,3,nan,,6.844396528808616,4.0923393004886203e-07,,,5,1312,0.0006109307335644234,0.8015411224365234,1e-05,,,,,True,[],,,,,,,,,,False,8.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q256,35,9,8,25000000,100000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0006876145079694093,0.3000308518016153,0,,,ok,,0.0006265566666519993,0.005639009999867994,0.0001571968749658481,0.0012575749997267849,,,[],,,,,,,,,,,,,,,,,0.8196258060002037,,0.5100448789999064,0.00028179799983263365,0.5067982020000272,0.012466019999919808,,1.3424185029998625,,1e-07,256,,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,1,2,9.133220936367678e-08,,,nan,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,328,3,nan,,0.5720531687136508,3.420368259521631e-08,,,5,1632,0.0005912200890335383,0.9648711853027344,1e-05,,,,,True,[],,,,,,,,,,False,1.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q320,35,2,1,25000000,100000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0006433367717822068,0.3000308483451849,0,,,ok,,0.0006265995000376279,0.0012531990000752558,0.00020971899994037813,0.00020971899994037813,,,[],,,,,,,,,,,,,,,,,0.9864512079998349,,0.5102581080000164,0.00029058100017209654,0.5060724479999408,0.0025422869998692477,,1.4995421839998926,,1e-07,320,,80000,v3
1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,group_b,,,,,,group_b,,1,2,9.392038039064398e-08,,,nan,2,synthetic_true_func_2d_ntrain100000000,False,NVIDIA A100-SXM4-40GB,,,,,,,,2,1225,392,3,nan,,0.2659342282523575,1.5900497421945108e-08,,,5,1952,0.0005812584923916176,1.1346165771484376,1e-05,,,,,True,[],,,,,,,,,,False,1.0,SE,0.1,1.5,1.0,nan,,3000,eigenpro_pcg_q384,35,2,1,25000000,100000000,3000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0006925894612990868,0.30003081619612354,0,,,ok,,0.0006221640001058404,0.0012443280002116808,0.0002131699998244585,0.0002131699998244585,,,[],,,,,,,,,,,,,,,,,1.159922123999877,,0.5103916640000534,0.0002840199999809556,0.5062530710001738,0.0025249069999517815,,1.673122714999863,,1e-07,384,,80000,v3
