N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q256,4096.0,5329.0,256.0,182,0.8005116100002851,0.8584886600001482,0.0199708052468301,0.9999951465887241,2.2786272587458467
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q128,8192.0,10609.0,128.0,432,0.9698562060002588,1.0269862680006554,0.0199708058068783,0.9999951746319341,1.9047729487258191
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,268,0.8800612109998838,0.9381597840001632,0.0199708061921768,0.9999951939249282,2.0851199287819746
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q256,8192.0,10609.0,256.0,188,0.9088675439998042,0.966061654999976,0.0199708052032888,0.9999951444084871,2.02489732604135
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q128,16384.0,21025.0,128.0,436,1.4069995519994336,1.4644199719996325,0.0199708070718835,0.9999952379743503,1.335802365034273
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,272,1.6217749070001446,1.6794419739999285,0.019970809674796,0.9999953683095989,1.1647771654423449
3000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,194,1.222211750000497,1.2790312189999895,0.0199708093324366,0.9999953511666879,1.5294197928413105
10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,579,0.8967121920004502,1.0011118680004074,0.0199956662701351,0.9999990337708395,2.8368790010174676
10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_728,728.0,961.0,,391,0.654690197000491,0.7581607170004645,0.0199956665012775,0.9999990453304533,3.745951448442015
10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,321,0.6273536779999631,0.7309926500001893,0.0199956665541363,0.9999990479739636,3.885173450101025
10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,173,1.0444846119999056,1.1482621089999157,0.0199956665198161,0.9999990462575831,2.4733318409968845
10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,86,4.94573181099986,5.049836521000543,0.019995665980765,0.9999990192992126,0.5624010251003175
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q64,1024.0,1369.0,64.0,897,1.5876437370006895,1.690618782000456,0.0199956674442727,0.9999990924903865,1.6798779631675478
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q128,1024.0,1369.0,128.0,365,0.8358728529992732,0.9396593389992632,0.0199956686389279,0.999999152236035,3.022407289671979
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q64,2048.0,2601.0,64.0,838,1.4865216799998962,1.590872146000038,0.019995671087231,0.9999992746776031,1.7852052052960257
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q128,2048.0,2601.0,128.0,418,0.9465992430004916,1.0502462960002958,0.0199956686150749,0.9999991510431274,2.7041592498974416
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q192,2048.0,2601.0,192.0,275,2.9334429150003416,3.0370380690001184,0.0199956670600922,0.9999990732772168,0.9351325770291541
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q128,4096.0,5329.0,128.0,566,1.1919313250000414,1.2963210059997436,0.0199956685132701,0.9999991459517893,2.1908410207465914
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,372,1.026660926000659,1.1305173900000227,0.0199956681008301,0.9999991253253396,2.512153515833728
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q256,4096.0,5329.0,256.0,242,0.8988789679997353,1.0029819530000168,0.019995667146138,0.9999990775804352,2.8315895689896613
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q128,8192.0,10609.0,128.0,518,1.1072388880002109,1.2105074760002026,0.0199956709699609,0.9999992688128329,2.346150926208118
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,344,1.0253525369998897,1.1289808940000512,0.019995670162773,0.9999992284447297,2.515572452193861
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q256,8192.0,10609.0,256.0,247,1.0082115710001744,1.1121333049995883,0.0199956696390663,0.9999992022537447,2.55368059137549
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q128,16384.0,21025.0,128.0,610,1.501115464000577,1.6042292750007618,0.0199956771540342,0.9999995780832137,1.7703412350447087
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,385,1.361064133000582,1.4648182170003563,0.0199956803060098,0.9999997357159984,1.9388298172694254
10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,254,1.3643003349998253,1.4681035630001134,0.0199956849157509,0.9999999662527849,1.9344910724118358
30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,817,1.2461049550001917,1.443645502000436,0.0200005017296182,1.00000013244158,2.8214043609433856
30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_728,728.0,961.0,,547,0.9071917179999218,1.105323516999306,0.0200005004018167,1.0000000660531616,3.684991454861889
30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,427,0.791355606000252,0.9919932129996596,0.0200005009894495,1.0000000954340684,4.105983449910691
30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,264,1.2309041759999673,1.4297495309992885,0.020000500479586,1.0000000699415297,2.8488260542764676
30000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,130,5.102549869000541,5.300263967000319,0.0200004997491385,1.0000000334200658,0.7684726157715321
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q64,1024.0,1369.0,64.0,938,1.694534690999717,1.8953601240000355,0.0200005058359035,1.0000003377507218,2.148988819287968
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q128,1024.0,1369.0,128.0,586,1.2074811169995885,1.405804072999672,0.0200004996642399,1.000000029175242,2.897350913423683
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q64,2048.0,2601.0,64.0,1067,1.8830644670006225,2.08120450000024,0.0200005010716492,1.0000000995439509,1.9570915376167328
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q128,2048.0,2601.0,128.0,599,1.242462723999779,1.441888626999571,0.020000500701022,1.0000000810130532,2.824842112442534
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q192,2048.0,2601.0,192.0,439,1.100221061999946,1.2978475459995025,0.0200004992426322,1.000000008095383,3.1383560631256873
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q128,4096.0,5329.0,128.0,553,1.2190642519999528,1.417154875000051,0.0200005007285881,1.000000082391324,2.8741443767747588
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,361,0.986035572000219,1.183546820000629,0.0200005000405564,1.0000000479905973,3.4414419828344167
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q256,4096.0,5329.0,256.0,172,0.8021554099996138,1.0003221099996151,0.0200005077282974,1.0000004323680556,4.071796148744428
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q128,8192.0,10609.0,128.0,620,1.277940320000198,1.477045759000248,0.0200005078093707,1.0000004364216195,2.757604285568819
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,299,0.9392240779998248,1.1388181439997425,0.0200005148628701,1.0000007890877889,3.5766094318578525
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q256,8192.0,10609.0,256.0,213,1.912739791000604,2.113280045000465,0.020000512127434,1.000000652319397,1.9273866351203048
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q128,16384.0,21025.0,128.0,609,1.4916427359994486,1.6897687029995725,0.020000517044591,1.000000898171112,2.4104528079908243
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,402,1.3700903940007263,1.5680256150008065,0.0200005169079999,1.0000008913417273,2.5976027917109237
30000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,270,1.3898570010005642,1.5880282250000164,0.0200005166857792,1.0000008802309697,2.5648837034998486
