mode,top_q,precompute_method,N,eps,wall_s_total_median,wall_s_total_mean,wall_s_total_std,wall_s_total_p10,wall_s_total_p90,time_train_median,time_train_mean,time_train_std,time_train_p10,time_train_p90,time_precompute_median,time_precompute_mean,time_precompute_std,time_precompute_p10,time_precompute_p90,time_precompute_NUFFT_median,time_precompute_NUFFT_mean,time_precompute_NUFFT_std,time_precompute_NUFFT_p10,time_precompute_NUFFT_p90,time_precompute_binned_median,time_precompute_binned_mean,time_precompute_binned_std,time_precompute_binned_p10,time_precompute_binned_p90,t_original_exact_gpu_precompute_v1_s_median,t_original_exact_gpu_precompute_v1_s_mean,t_original_exact_gpu_precompute_v1_s_std,t_original_exact_gpu_precompute_v1_s_p10,t_original_exact_gpu_precompute_v1_s_p90,t_original_efgp_solver_precompute_s_median,t_original_efgp_solver_precompute_s_mean,t_original_efgp_solver_precompute_s_std,t_original_efgp_solver_precompute_s_p10,t_original_efgp_solver_precompute_s_p90,t_h2d_xy_s_median,t_h2d_xy_s_mean,t_h2d_xy_s_std,t_h2d_xy_s_p10,t_h2d_xy_s_p90,t_gpu_fused_bin_moments_s_median,t_gpu_fused_bin_moments_s_mean,t_gpu_fused_bin_moments_s_std,t_gpu_fused_bin_moments_s_p10,t_gpu_fused_bin_moments_s_p90,t_compact_occupied_s_median,t_compact_occupied_s_mean,t_compact_occupied_s_std,t_compact_occupied_s_p10,t_compact_occupied_s_p90,t_binned_cufinufft_on_centers_s_median,t_binned_cufinufft_on_centers_s_mean,t_binned_cufinufft_on_centers_s_std,t_binned_cufinufft_on_centers_s_p10,t_binned_cufinufft_on_centers_s_p90,t_rhs_D_multiply_s_median,t_rhs_D_multiply_s_mean,t_rhs_D_multiply_s_std,t_rhs_D_multiply_s_p10,t_rhs_D_multiply_s_p90,t_exact_dense_point_dual_nufft_s_median,t_exact_dense_point_dual_nufft_s_mean,t_exact_dense_point_dual_nufft_s_std,t_exact_dense_point_dual_nufft_s_p10,t_exact_dense_point_dual_nufft_s_p90,t_gpu_to_cpu_copy_s_median,t_gpu_to_cpu_copy_s_mean,t_gpu_to_cpu_copy_s_std,t_gpu_to_cpu_copy_s_p10,t_gpu_to_cpu_copy_s_p90,effective_work_ratio_median,effective_work_ratio_mean,effective_work_ratio_std,effective_work_ratio_p10,effective_work_ratio_p90,binned_used_exact_dense_point_nufft_median,binned_used_exact_dense_point_nufft_mean,binned_used_exact_dense_point_nufft_std,binned_used_exact_dense_point_nufft_p10,binned_used_exact_dense_point_nufft_p90,time_eigenspace_median,time_eigenspace_mean,time_eigenspace_std,time_eigenspace_p10,time_eigenspace_p90,time_precond_build_median,time_precond_build_mean,time_precond_build_std,time_precond_build_p10,time_precond_build_p90,time_solve_median,time_solve_mean,time_solve_std,time_solve_p10,time_solve_p90,time_predict_median,time_predict_mean,time_predict_std,time_predict_p10,time_predict_p90,cg_iters_median,cg_iters_mean,cg_iters_std,cg_iters_p10,cg_iters_p90,t_matvec_total_median,t_matvec_total_mean,t_matvec_total_std,t_matvec_total_p10,t_matvec_total_p90,t_precond_total_median,t_precond_total_mean,t_precond_total_std,t_precond_total_p10,t_precond_total_p90,rmse_test_median,rmse_test_mean,rmse_test_std,rmse_test_p10,rmse_test_p90,peak_mem_gb_median,peak_mem_gb_mean,peak_mem_gb_std,peak_mem_gb_p10,peak_mem_gb_p90,repeat_count,fail_count,logN,logT,local_alpha
gpu_v1_topq0,0,c1,100000,0.001,0.5744648000109009,0.5744648000109009,,0.5744648000109009,0.5744648000109009,0.5663950000016484,0.5663950000016484,,0.5663950000016484,0.5663950000016484,0.01677750001545064,0.01677750001545064,,0.01677750001545064,0.01677750001545064,,,,,,0.01677750001545064,0.01677750001545064,,0.01677750001545064,0.01677750001545064,,,,,,,,,,,0.00018060000729747117,0.00018060000729747117,,0.00018060000729747117,0.00018060000729747117,0.00018100001034326851,0.00018100001034326851,,0.00018100001034326851,0.00018100001034326851,0.0012340999965090305,0.0012340999965090305,,0.0012340999965090305,0.0012340999965090305,0.01427089999197051,0.01427089999197051,,0.01427089999197051,0.01427089999197051,0.00031030000536702573,0.00031030000536702573,,0.00031030000536702573,0.00031030000536702573,,,,,,,,,,,0.7392,0.7392,,0.7392,0.7392,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.5496174999861978,0.5496174999861978,,0.5496174999861978,0.5496174999861978,0.008069800009252504,0.008069800009252504,,0.008069800009252504,0.008069800009252504,339.0,339.0,,339.0,339.0,0.30466159965726547,0.30466159965726547,,0.30466159965726547,0.30466159965726547,,,,,,0.002169892231973389,0.002169892231973389,,0.002169892231973389,0.002169892231973389,0.8536132806912065,0.8536132806912065,,0.8536132806912065,0.8536132806912065,1,0,11.512925464970229,-0.5684635643222967,
gpu_v1_topq0,0,c1,300000,0.001,0.8531282000185456,0.8531282000185456,,0.8531282000185456,0.8531282000185456,0.8390067000000272,0.8390067000000272,,0.8390067000000272,0.8390067000000272,0.025252899999031797,0.025252899999031797,,0.025252899999031797,0.025252899999031797,,,,,,0.025252899999031797,0.025252899999031797,,0.025252899999031797,0.025252899999031797,,,,,,,,,,,0.00082230000407435,0.00082230000407435,,0.00082230000407435,0.00082230000407435,0.0008227999787777662,0.0008227999787777662,,0.0008227999787777662,0.0008227999787777662,0.0015968000225257128,0.0015968000225257128,,0.0015968000225257128,0.0015968000225257128,0.021688100008759648,0.021688100008759648,,0.021688100008759648,0.021688100008759648,0.00024199998006224632,0.00024199998006224632,,0.00024199998006224632,0.00024199998006224632,,,,,,,,,,,0.74486,0.74486,,0.74486,0.74486,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.8137538000009954,0.8137538000009954,,0.8137538000009954,0.8137538000009954,0.014121500018518418,0.014121500018518418,,0.014121500018518418,0.014121500018518418,480.0,480.0,,480.0,480.0,0.4529500003554858,0.4529500003554858,,0.4529500003554858,0.4529500003554858,,,,,,0.0012610806802905302,0.0012610806802905302,,0.0012610806802905302,0.0012610806802905302,0.8907226556912065,0.8907226556912065,,0.8907226556912065,0.8907226556912065,1,0,12.611537753638338,-0.17553658684952533,0.3576575480956364
gpu_v1_topq0,0,original,100000,0.001,0.5617824000073597,0.5617824000073597,,0.5617824000073597,0.5617824000073597,0.5565600000263657,0.5565600000263657,,0.5565600000263657,0.5565600000263657,0.015598600002704188,0.015598600002704188,,0.015598600002704188,0.015598600002704188,0.015598600002704188,0.015598600002704188,,0.015598600002704188,0.015598600002704188,,,,,,0.015598600002704188,0.015598600002704188,,0.015598600002704188,0.015598600002704188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.5409614000236616,0.5409614000236616,,0.5409614000236616,0.5409614000236616,0.005222399980993941,0.005222399980993941,,0.005222399980993941,0.005222399980993941,331.0,331.0,,331.0,331.0,0.3019833999860566,0.3019833999860566,,0.3019833999860566,0.3019833999860566,,,,,,0.002022368397529947,0.002022368397529947,,0.002022368397529947,0.002022368397529947,0.8497070306912065,0.8497070306912065,,0.8497070306912065,0.8497070306912065,1,0,11.512925464970229,-0.5859802973193785,
gpu_v1_topq0,0,original,300000,0.001,0.7493838000227697,0.7493838000227697,,0.7493838000227697,0.7493838000227697,0.7413813000021037,0.7413813000021037,,0.7413813000021037,0.7413813000021037,0.03251190000446513,0.03251190000446513,,0.03251190000446513,0.03251190000446513,0.03251190000446513,0.03251190000446513,,0.03251190000446513,0.03251190000446513,,,,,,0.03251190000446513,0.03251190000446513,,0.03251190000446513,0.03251190000446513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.7088693999976385,0.7088693999976385,,0.7088693999976385,0.7088693999976385,0.008002500020666048,0.008002500020666048,,0.008002500020666048,0.008002500020666048,432.0,432.0,,432.0,432.0,0.39713570004096255,0.39713570004096255,,0.39713570004096255,0.39713570004096255,,,,,,0.0012380934107141398,0.0012380934107141398,,0.0012380934107141398,0.0012380934107141398,0.8790039056912065,0.8790039056912065,,0.8790039056912065,0.8790039056912065,1,0,12.611537753638338,-0.29924021113269034,0.2610020742934839
gpu_v3_topq_eigenpro_nystrom,360,c1,100000,0.001,1.1700757999788038,1.1700757999788038,,1.1700757999788038,1.1700757999788038,1.1654517999559175,1.1654517999559175,,1.1654517999559175,1.1654517999559175,0.016627499979222193,0.016627499979222193,,0.016627499979222193,0.016627499979222193,,,,,,0.016627499979222193,0.016627499979222193,,0.016627499979222193,0.016627499979222193,,,,,,,,,,,0.0001728000061120838,0.0001728000061120838,,0.0001728000061120838,0.0001728000061120838,0.00017320000915788114,0.00017320000915788114,,0.00017320000915788114,0.00017320000915788114,0.0012270000006537884,0.0012270000006537884,,0.0012270000006537884,0.0012270000006537884,0.014222500001778826,0.014222500001778826,,0.014222500001778826,0.014222500001778826,0.00022059999173507094,0.00022059999173507094,,0.00022059999173507094,0.00022059999173507094,,,,,,,,,,,0.7392,0.7392,,0.7392,0.7392,0.0,0.0,,0.0,0.0,1.0712887999834493,1.0712887999834493,,1.0712887999834493,1.0712887999834493,0.00038460001815110445,0.00038460001815110445,,0.00038460001815110445,0.00038460001815110445,0.07715089997509494,0.07715089997509494,,0.07715089997509494,0.07715089997509494,0.004624000022886321,0.004624000022886321,,0.004624000022886321,0.004624000022886321,29.0,29.0,,29.0,29.0,0.03035950005869381,0.03035950005869381,,0.03035950005869381,0.03035950005869381,0.014206199935870245,0.014206199935870245,,0.014206199935870245,0.014206199935870245,0.0021708741208387784,0.0021708741208387784,,0.0021708741208387784,0.0021708741208387784,1.3165039056912065,1.3165039056912065,,1.3165039056912065,1.3165039056912065,1,0,11.512925464970229,0.15310882295932665,
gpu_v3_topq_eigenpro_nystrom,360,c1,300000,0.001,1.2178378999815322,1.2178378999815322,,1.2178378999815322,1.2178378999815322,1.2085843999811914,1.2085843999811914,,1.2085843999811914,1.2085843999811914,0.026628399995388463,0.026628399995388463,,0.026628399995388463,0.026628399995388463,,,,,,0.026628399995388463,0.026628399995388463,,0.026628399995388463,0.026628399995388463,,,,,,,,,,,0.0008796000038273633,0.0008796000038273633,,0.0008796000038273633,0.0008796000038273633,0.0008812999876681715,0.0008812999876681715,,0.0008812999876681715,0.0008812999876681715,0.0021563000045716763,0.0021563000045716763,,0.0021563000045716763,0.0021563000045716763,0.022390800004359335,0.022390800004359335,,0.022390800004359335,0.022390800004359335,0.00022489999537356198,0.00022489999537356198,,0.00022489999537356198,0.00022489999537356198,,,,,,,,,,,0.74486,0.74486,,0.74486,0.74486,0.0,0.0,,0.0,0.0,1.0946333000028972,1.0946333000028972,,1.0946333000028972,1.0946333000028972,0.0003494999837130308,0.0003494999837130308,,0.0003494999837130308,0.0003494999837130308,0.08697319999919273,0.08697319999919273,,0.08697319999919273,0.08697319999919273,0.009253500000340864,0.009253500000340864,,0.009253500000340864,0.009253500000340864,37.0,37.0,,37.0,37.0,0.0340458000137005,0.0340458000137005,,0.0340458000137005,0.0340458000137005,0.016439600120065734,0.016439600120065734,,0.016439600120065734,0.016439600120065734,0.0012642931454634704,0.0012642931454634704,,0.0012642931454634704,0.0012642931454634704,1.3321289056912065,1.3321289056912065,,1.3321289056912065,1.3321289056912065,1,0,12.611537753638338,0.18944975735017944,0.03307894401482649
gpu_v3_topq_eigenpro_nystrom,360,original,100000,0.001,1.2752236000087578,1.2752236000087578,,1.2752236000087578,1.2752236000087578,1.2692819999938365,1.2692819999938365,,1.2692819999938365,1.2692819999938365,0.026073700020788237,0.026073700020788237,,0.026073700020788237,0.026073700020788237,0.026073700020788237,0.026073700020788237,,0.026073700020788237,0.026073700020788237,,,,,,0.026073700020788237,0.026073700020788237,,0.026073700020788237,0.026073700020788237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1594258999975864,1.1594258999975864,,1.1594258999975864,1.1594258999975864,0.0003617999900598079,0.0003617999900598079,,0.0003617999900598079,0.0003617999900598079,0.08342059998540208,0.08342059998540208,,0.08342059998540208,0.08342059998540208,0.005941600014921278,0.005941600014921278,,0.005941600014921278,0.005941600014921278,29.0,29.0,,29.0,29.0,0.03256459999829531,0.03256459999829531,,0.03256459999829531,0.03256459999829531,0.01588209980400279,0.01588209980400279,,0.01588209980400279,0.01588209980400279,0.00202351121847659,0.00202351121847659,,0.00202351121847659,0.00202351121847659,1.3204101556912065,1.3204101556912065,,1.3204101556912065,1.3204101556912065,1,0,11.512925464970229,0.23845138626191628,
gpu_v3_topq_eigenpro_nystrom,360,original,300000,0.001,1.327691299986327,1.327691299986327,,1.327691299986327,1.327691299986327,1.3198074999963865,1.3198074999963865,,1.3198074999963865,1.3198074999963865,0.060472599987406284,0.060472599987406284,,0.060472599987406284,0.060472599987406284,0.060472599987406284,0.060472599987406284,,0.060472599987406284,0.060472599987406284,,,,,,0.060472599987406284,0.060472599987406284,,0.060472599987406284,0.060472599987406284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1674981999967713,1.1674981999967713,,1.1674981999967713,1.1674981999967713,0.0004599000094458461,0.0004599000094458461,,0.0004599000094458461,0.0004599000094458461,0.09137680000276305,0.09137680000276305,,0.09137680000276305,0.09137680000276305,0.007883799989940599,0.007883799989940599,,0.007883799989940599,0.007883799989940599,37.0,37.0,,37.0,37.0,0.036369799985550344,0.036369799985550344,,0.036369799985550344,0.036369799985550344,0.016986500093480572,0.016986500093480572,,0.016986500093480572,0.016986500093480572,0.001237613219254455,0.001237613219254455,,0.001237613219254455,0.001237613219254455,1.3438476556912065,1.3438476556912065,,1.3438476556912065,1.3438476556912065,1,0,12.611537753638338,0.27748589262749374,0.0355307388859636
