dataset_stem,eps,selector_tag,route,method,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q32,32.0,1024,1369,34352,240.15196295326257,159243.74207636682,79929.34928974988,2.4124795862584645e-15,1461,1461,0.1092409999982919,4.436026500014123,4.528828400012571,0.0196072999970056,4.548435700009577,0.0357789657836313
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,64.0,1024,1369,34352,240.15196295326257,159243.74207636682,25622.46249466841,3.7241350073805605e-15,813,813,0.1834092999924905,2.627460499992594,2.7188381000014488,0.0603503000020282,2.779188400003477,0.0357790152820513
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,128.0,1024,1369,34352,240.15196295326257,159243.74207636682,6549.683255956375,8.495799432382078e-15,438,438,0.3744095000001834,1.765067900007125,1.8557584000081988,0.0885236000031,1.9442820000112988,0.0357788868118457
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,,1024,1369,34352,240.15196295326257,159243.74207636682,,,148,148,0.1111888000014005,0.7248694000008982,0.8223445999901742,0.0001756999990902,0.8225202999892645,0.0357787819883124
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q32,32.0,512,625,35096,1313.5187774166911,462890.8004705599,79750.26770600128,1.8923860817406025e-15,1234,1234,0.1273626999900443,3.872191600006772,3.966890700001386,0.0285489999951096,3.995439699996496,0.0357787564306439
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q64,64.0,512,625,35096,1313.5187774166911,462890.8004705599,25524.24552417215,4.4391274552523066e-15,736,736,0.2014796000003116,2.4248952999914763,2.516703400004189,0.0413295999896945,2.558032999993884,0.0357786564999724
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,128.0,512,625,35096,1313.5187774166911,462890.8004705599,6213.45621411431,1.0888809330977163e-14,413,413,0.3628134000027785,1.6443651000008686,1.7376006999984384,0.0827806000015698,1.820381300000008,0.0357787599881511
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,topk_512,inverse,btab_auto_topk_512,,512,625,35096,1313.5187774166911,462890.8004705599,,,300,300,0.0239309000025969,0.9794793000037316,1.0736538000055589,0.0002005999995162,1.0738544000050751,0.0357787976625064
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q32,32.0,1024,1369,34352,720.4558888597658,477731.2262290859,239480.71414817177,2.353020897970926e-15,1885,1885,0.1153694999957224,5.803667599990149,6.053815299994312,0.0239891999954124,6.077804499989725,0.0311741091527931
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,64.0,1024,1369,34352,720.4558888597658,477731.2262290859,76910.05477276676,4.60984543087471e-15,1121,1121,0.1794413999887183,3.5974365000001853,3.8571280000032857,0.0395798999961698,3.896707899999456,0.0311741353856414
