dataset_stem,eps,method,route,selector_tag,S_kind,btab_active_size_raw,btab_box_size,active_size,box_size,tail_size,rho_max_T,tail_energy,btab_diagnostic_mode,time_post_diagnostics,time_total_with_diagnostics,diagnostic_n_matvec,diagnostic_n_A_matvec,diagnostic_n_ASS_matvec,diagnostic_n_precond,diagnostic_n_eig_matvec,diagnostic_n_power_iter
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q32,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15196295326257,159243.74207636682,cheap,0.0196072999970056,4.548435700009577,32,0,32,0,32,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q64,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15196295326257,159243.74207636682,cheap,0.0603503000020282,2.779188400003477,64,0,64,0,64,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q128,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15196295326257,159243.74207636682,cheap,0.0885236000031,1.9442820000112988,128,0,128,0,128,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_1024,inverse,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15196295326257,159243.74207636682,cheap,0.0001756999990902,0.8225202999892645,0,0,0,0,0,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q32,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5187774166911,462890.8004705599,cheap,0.0285489999951096,3.995439699996496,32,0,32,0,32,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q64,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5187774166911,462890.8004705599,cheap,0.0413295999896945,2.558032999993884,64,0,64,0,64,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q128,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5187774166911,462890.8004705599,cheap,0.0827806000015698,1.820381300000008,128,0,128,0,128,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_512,inverse,topk_512,expanded_box,512,625,512,625,35096,1313.5187774166911,462890.8004705599,cheap,0.0002005999995162,1.0738544000050751,0,0,0,0,0,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q32,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4558888597658,477731.2262290859,cheap,0.0239891999954124,6.077804499989725,32,0,32,0,32,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q64,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4558888597658,477731.2262290859,cheap,0.0395798999961698,3.896707899999456,64,0,64,0,64,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q128,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4558888597658,477731.2262290859,cheap,0.0844876999908592,2.4957393999939086,128,0,128,0,128,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_1024,inverse,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4558888597658,477731.2262290859,cheap,0.000162199998158,1.38001439999789,0,0,0,0,0,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_512_q32,boxeig,topk_512,expanded_box,512,625,512,625,35096,3940.556332249953,1388672.4014116372,cheap,0.0197764999902574,5.110826899996027,32,0,32,0,32,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_512_q64,boxeig,topk_512,expanded_box,512,625,512,625,35096,3940.556332249953,1388672.4014116372,cheap,0.0373994999972637,3.481608200003393,64,0,64,0,64,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_512_q128,boxeig,topk_512,expanded_box,512,625,512,625,35096,3940.556332249953,1388672.4014116372,cheap,0.0840622999967308,2.6035058999987086,128,0,128,0,128,0
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_512,inverse,topk_512,expanded_box,512,625,512,625,35096,3940.556332249953,1388672.4014116372,cheap,0.0001532000023871,1.850686500009033,0,0,0,0,0,0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_1024_q32,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15142962489767,159243.36646229576,cheap,0.0200311999942641,1.7981395999959204,32,0,32,0,32,0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_1024_q64,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15142962489767,159243.36646229576,cheap,0.0407122000033268,1.144288299998152,64,0,64,0,64,0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_1024_q128,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15142962489767,159243.36646229576,cheap,0.0949445000005653,0.8966690999950515,128,0,128,0,128,0
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_1024,inverse,topk_1024,expanded_box,1024,1369,1024,1369,34352,240.15142962489767,159243.36646229576,cheap,0.0001716999977361,0.5964358999917749,0,0,0,0,0,0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q32,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5162514396102,462889.7870762957,cheap,0.0200547999993432,1.469205299988971,32,0,32,0,32,0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q64,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5162514396102,462889.7870762957,cheap,0.0527359000116121,1.061715500007267,64,0,64,0,64,0
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q128,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5162514396102,462889.7870762957,cheap,0.0813801000040257,1.1782265000074403,128,0,128,0,128,0
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_512,inverse,topk_512,expanded_box,512,625,512,625,35096,1313.5162514396102,462889.7870762957,cheap,0.0006056999991415,0.7579499999992549,0,0,0,0,0,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_1024_q32,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4550297587765,477730.621178876,cheap,0.0226583000039681,1.8968511999992188,32,0,32,0,32,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_1024_q64,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4550297587765,477730.621178876,cheap,0.0399327000050107,1.2672669000021417,64,0,64,0,64,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_1024_q128,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4550297587765,477730.621178876,cheap,0.0792862999951466,1.1887325999996392,128,0,128,0,128,0
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_1024,inverse,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4550297587765,477730.621178876,cheap,0.0001764000044204,0.9715771000046516,0,0,0,0,0,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_512_q32,boxeig,topk_512,expanded_box,512,625,512,625,35096,3940.552263332442,1388670.7690064183,cheap,0.0267293000069912,1.940342400004738,32,0,32,0,32,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_512_q64,boxeig,topk_512,expanded_box,512,625,512,625,35096,3940.552263332442,1388670.7690064183,cheap,0.0409253000107128,1.4381469000072684,64,0,64,0,64,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_512_q128,boxeig,topk_512,expanded_box,512,625,512,625,35096,3940.552263332442,1388670.7690064183,cheap,0.0929795000120066,1.42166810001072,128,0,128,0,128,0
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_512,inverse,topk_512,expanded_box,512,625,512,625,35096,3940.552263332442,1388670.7690064183,cheap,0.0002019999956246,1.141240500001004,0,0,0,0,0,0
