dataset_family,n_train,eps,selected_topk,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,1024.0,0.280610184499892,83.0,83.0,83.0,0.09251997692523214,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,1024.0,0.3637742214999662,130.0,130.0,130.0,0.0871177328921611,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,1024.0,0.5013721484999678,188.5,188.5,188.5,0.08289572601717275,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,1024.0,0.7385110205000274,284.5,284.5,284.5,0.08025672830790079,,
synthetic_true_func_2d,1000000,1e-05,512.0,0.19619018399998814,97.0,97.0,97.0,0.00084326505758265,,
synthetic_true_func_2d,3000000,1e-05,512.0,0.2697551730000214,133.5,133.5,133.5,0.0006159539731272,,
synthetic_true_func_2d,10000000,1e-05,1024.0,0.3568211685000051,95.0,95.0,95.0,0.0004571079502839,,
synthetic_true_func_2d,30000000,1e-05,1024.0,0.510015729499969,128.0,128.0,128.0,0.00034359005536739996,,
