dataset_family,n_train,eps,selected_topk,selected_q,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,4096.0,192.0,0.6801166049999664,165.5,165.5,165.5,0.09252063908224685,1375.828311636847,2.1933427175597874e-12
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,2048.0,192.0,0.8201718320001419,238.0,238.0,238.0,0.0871180459790125,4115.218892897961,1.1283572641425176e-12
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,4096.0,256.0,1.0194952609999746,267.0,267.0,267.0,0.082899167679401,7003.115664687285,7.22579939824387e-12
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,4096.0,256.0,1.2615521015000013,356.5,356.5,356.5,0.0802696812760656,20995.620369883356,7.608702150821766e-12
synthetic_true_func_2d,1000000,1e-05,1024.0,128.0,0.39832870000009274,72.5,72.5,72.5,0.00084154322109975,3810.6354973499356,7.772284340469162e-14
synthetic_true_func_2d,3000000,1e-05,4096.0,128.0,0.4231693004999215,74.5,74.5,74.5,0.000620517399112,11443.672437462112,7.637415612281071e-14
synthetic_true_func_2d,10000000,1e-05,8192.0,128.0,0.49784356049997314,96.0,96.0,96.0,0.0004591449126437,38141.903420262846,8.535955555116482e-14
synthetic_true_func_2d,30000000,1e-05,4096.0,128.0,0.5731174879999799,84.0,84.0,84.0,0.00033610168432220003,114442.1297555687,1.3969032055635018e-13
