dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,plain_cg,cg_baseline,original/default,,4648.0,4648,4649,4649,,0.7643711910000093,,,4.807344562000026,0.2766729509999095,5.571716241000104,0.1327300132677702,0.1327273775251791,8.780336002995193e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,plain_cg,cg_baseline,original/default,,5398.0,5398,5399,5399,,0.7576261090000571,,,5.667921928000169,0.2737682219999442,6.425548556000194,0.027893245886673,0.0278740613639014,8.086887484812351e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,642.0,642,643,643,642.0,0.1495717919999606,0.2927458809999734,0.0002852520001397,0.8878779679998843,0.2781996640001125,1.330480892999958,0.132663147557845,0.1326601781311298,7.476228144382885e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,1322.0,1322,1323,1323,1322.0,0.2049498239998683,0.4723598270002185,0.0003096649998042,2.471030777000124,0.2744115969999257,3.1486500930000147,0.0278780868899855,0.0278590313121418,8.989629027966511e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,92.0,92,93,93,92.0,0.1489589540001361,0.5663267769998583,0.0003021100001205,0.1293132749999586,0.2768914920000043,0.8449011160000737,0.1326676745760461,0.1326648568944805,9.873519874595057e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,30000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,666.0,666,667,667,666.0,0.1975116520000028,1.0341654400001516,0.0003231890000279,1.5571064779999233,0.274276785999973,2.7891067590001057,0.0278789598462952,0.0278598774388123,9.414098695120934e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,484.0,484,485,485,,0.0320896589998938,,,0.5067710360001456,0.0127053559999694,0.5388610219999919,0.0200038803341822,0.0003797132200464,9.622425162602957e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,788.0,788,789,789,,0.0337897739998425,,,0.8515131609999571,0.0128398250001282,0.8853033849998155,0.0199368578251529,0.0012503864229361,9.450399048525244e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,71.0,71,72,72,71.0,0.0193066179999732,0.2949008900000081,0.0002884989999074,0.1019826270000976,0.0126994879999529,0.4164786339999864,0.0200052894900349,0.000423906436056,9.452620935554532e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,212.0,212,213,213,212.0,0.0329619479998655,0.4749525590000303,0.0003142170000955,0.398453937999875,0.0127900219999901,0.9066826619998664,0.0199363007247944,0.0012678236810331,7.904993730872429e-07,ok
