M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_experiment_route,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,epsilon_T,eta_inv,eta_inv_sq,eta_inv_status,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,version
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,6000,2601,full,30,0.01,inverse,6000,group_a,50,diag,0.001,50,auto,auto,86,87,7.68350228030402e-07,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,1e-05,2.742519728549873,1.782318481386716,3.176659169092649,ok,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,108243216,False,86.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_2048,189,87,86,1000,3000000,cufinufft,binned_c1,50,86,7.68350228030402e-07,pcg,converged,86,,True,0.1,0,163.6430282154797,0.000884325786572495,0.01997080483461303,0,0.1,exact,ok,,0.001554409193541405,0.13523359983810224,0.0010761011650428436,0.09254470019368455,189063.11327739028,33120,,0.002829999983077869,6.929418575668405e-05,0.005959299975074828,7.118023207768538e-05,0.006121499958680943,0.0007953546497277743,0.06840049987658858,2.0448314999812283,0.2457286999851931,1.5041169000032824,0.0,0.28319079999346286,9.558255801811207e-05,0.008220099989557639,,0.20950500000617467,0.5552438999875449,2.049773799983086,0.35097400000086054,2.366904499998782,0.01179509999928996,2.9221483999863267,3.1316533999925014,1e-06,,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,6000,5329,full,30,0.01,inverse,6000,group_a,50,diag,0.001,50,auto,auto,38,39,7.640757219827366e-07,0,,,2,synthetic_true_func_2d_n3000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,1e-05,2.606656490560049,1.6312583912726704,2.6610039390975007,ok,inverse,2999999.999996535,True,,nan,0,50,diag,0.001,0,0,0,454371856,False,38.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_4096,189,39,38,1000,3000000,cufinufft,binned_c1,50,38,7.640757219827366e-07,pcg,converged,38,,True,0.1,0,29.51559534762896,0.0008834598663970777,0.01997080115964692,0,0.1,exact,ok,,0.0019641461526939217,0.07660169995506294,0.059332486840982086,2.2546344999573193,63724.11403807059,30392,,0.002733300003455952,6.63710540577181e-05,0.002522100054193288,0.00017678947341138204,0.006717999989632517,0.05891464210550399,2.2387564000091515,37.232127900002524,1.2945833000121638,33.122286099998746,0.0,2.0992787000141107,9.277894768226696e-05,0.0035256000119261444,,1.9748220999899786,0.5544936000078451,37.23658369999612,0.3237840000074357,39.614011999976356,0.7159797999775037,40.1685055999842,42.14332769997418,1e-06,,v6_btab
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,1140,1141,9.836463671895176e-07,,,,2,synthetic_true_func_2d_n10000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,0,0,,,1e-05,,,,,,,True,,,,,,,,,,,False,1140.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,1141,,1000,10000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0005582857179146822,0.01999597787257928,0,,,ok,,0.0015661040313391294,1.7869246997579467,,,,,,,,,,,,,,,,,,,,,,3.767865800007712,,1.076912499993341,2.6231666000094265,,6.391033000021707,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,519,520,9.58301117565839e-07,,,nan,2,synthetic_true_func_2d_n10000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,23311.356545155857,0.016278436668487672,5,257,0.0017576183215189537,0.4517079086303711,1e-05,,,,,,,True,[],,,,,,,,,,False,519.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,520,519,1000,10000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005615048030660328,0.019995987693004945,0,,,ok,,0.0017550530770117452,0.9126276000461075,0.00045134238934643235,0.2342467000707984,,,[],,,,,,,,,,,,,,,0.7461621999973431,,1.0649610999971628,0.0003921000170521438,1.276860999991186,1.772192400007043,,3.583707800018601,,1e-06,45,v3
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,268,269,9.462079662499741e-07,,,nan,2,synthetic_true_func_2d_n10000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,9391.331587866229,0.006497976814344481,5,482,0.0015434441467538414,0.7439400787353516,1e-05,,,,,,,True,[],,,,,,,,,,False,268.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,269,268,1000,10000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0005603431403024923,0.019996171976539436,0,,,ok,,0.0015510869902501498,0.4172424003772903,0.0007804522382915575,0.20916119986213744,,,[],,,,,,,,,,,,,,,1.5396363000036217,,0.9903054999886081,0.00042019999818876386,1.1241945999790914,0.8974527000100352,,3.4278147000004537,,1e-06,90,v3
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,6000,1369,full,30,0.01,inverse,6000,group_a,50,diag,0.001,50,auto,auto,187,188,8.786546516533931e-07,0,,,2,synthetic_true_func_2d_n10000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,1e-05,2.7524344858248777,1.8639041178357008,3.4741385604848816,ok,inverse,9999999.999987034,True,,nan,0,50,diag,0.001,0,0,0,29986576,False,187.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_1024,189,188,187,1000,10000000,cufinufft,binned_c1,50,187,8.786546516533931e-07,pcg,converged,187,,True,0.1,0,2401.5191371138226,0.0005597136677496986,0.019995667329645285,0,0.1,exact,ok,,0.0015126494679939338,0.28437809998285957,0.0005058417117589199,0.094592400098918,1592437.0739614717,34352,,0.002428899984806776,6.288395622461277e-05,0.011759299814002588,6.441871855373091e-05,0.01204630036954768,0.00025120962620961835,0.04697620010119863,0.36137140000937507,0.04596849999506958,0.2594888000166975,0.0,0.05270219998783432,8.694224640413282e-05,0.016258200077572837,,0.1675147000059951,0.8793083999771625,0.3652476000133902,1.0958064000005834,0.9213247000006959,0.0032119000097736716,1.8006330999778584,1.9681477999838535,1e-06,,v6_btab
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,6000,2601,full,30,0.01,inverse,6000,group_a,50,diag,0.001,50,auto,auto,120,121,9.162906016417087e-07,0,,,2,synthetic_true_func_2d_n10000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,1e-05,2.7283613937574773,1.837633394222078,3.376896491560155,ok,inverse,9999999.999987034,True,,nan,0,50,diag,0.001,0,0,0,108243216,False,120.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_2048,189,121,120,1000,10000000,cufinufft,binned_c1,50,120,9.162906016417087e-07,pcg,converged,120,,True,0.1,0,545.477332504985,0.0005607667029937886,0.019995667484443487,0,0.1,exact,ok,,0.0015057280981020371,0.1821930998703465,0.00101179083333894,0.12141490000067279,630211.0596413197,33120,,0.0024366999859921634,6.581750058103353e-05,0.007898100069724023,6.432249986877044e-05,0.007718699984252453,0.0007528483331649719,0.09034179997979663,1.9732721999753267,0.16388619999634102,1.5175244999991264,0.0,0.28016009999555536,8.828916519026583e-05,0.010594699822831899,,0.1824161999975331,0.895769199996721,1.9771397999720648,1.1296690999879502,2.393886100006057,0.011701399984303862,3.289655300002778,3.472071500000311,1e-06,,v6_btab
35721,expanded_box,topk,4096,,4096,0,"[36, 36]","[73, 73]",5329,topk,4096,,4096,6000,5329,full,30,0.01,inverse,6000,group_a,50,diag,0.001,50,auto,auto,56,57,9.953794824803515e-07,0,,,2,synthetic_true_func_2d_n10000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,1e-05,2.6745073500654577,1.7545755462583679,3.0785353475278496,ok,inverse,9999999.999987034,True,,nan,0,50,diag,0.001,0,0,0,454371856,False,56.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_4096,189,57,56,1000,10000000,cufinufft,binned_c1,50,56,9.953794824803515e-07,pcg,converged,56,,True,0.1,0,98.38542462466822,0.000559702850835866,0.01999567342130199,0,0.1,exact,ok,,0.001938452632186869,0.11049180003465153,0.08928197500270992,4.999790600151755,212413.94759083362,30392,,0.0027791000029537827,6.895000322921467e-05,0.003861200180836022,0.00019303928638692014,0.010810200037667528,0.08883824999793433,4.974941999884322,30.54239200000302,2.1681800999795087,25.611543900013203,0.0,2.17142500000773,9.882678308973222e-05,0.005534299853025004,,2.745533899986185,0.8828463999961969,30.54684399999678,1.1010472000052687,35.72474400000647,0.5912430000025779,36.607590400002664,39.35312429998885,1e-06,,v6_btab
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,1463,1464,9.382196146444452e-07,,,,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,0,0,,,1e-05,,,,,,,True,,,,,,,,,,,False,1463.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,1464,,250000,1000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.03577885345295022,0.035171564375355305,0,,,ok,,0.0016176903685488067,2.368298699555453,,,,,,,,,,,,,,,,,,,,,,0.3879941999912262,,0.11296319999382831,3.458587200002512,,3.846582300000591,,1e-06,,v1
35721,,,,,,,,,,,,,,,,,,,,,group_a,,,,,,,646,647,9.935578746925773e-07,,,nan,2,USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,2061.5053374571207,0.014268597025103693,5,257,0.0014086614230263558,0.36202598571777345,1e-05,,,,,,,True,[],,,,,,,,,,False,646.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,647,646,250000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.03552673842089598,0.034915066450290945,0,,,ok,,0.0016666480677074234,1.0783212998067029,0.0004358900921875553,0.28158499955316074,,,[],,,,,,,,,,,,,,,0.6080724000057671,,0.21551790001103655,0.00045239998144097626,0.11077130000921898,2.0752783000061754,,2.89932100000442,,1e-06,45,v3
