x,cdf,density_sigmafac_0.002,density_sigmafac_0.005,density_sigmafac_0.01
-13.845910048630634,0.0,1.2188376438784885e-95,1.6844522641835103e-16,1.943721557970214e-05
-13.140156713226665,0.0,2.673051495431521e-86,5.2608768541813124e-15,4.595123297667367e-05
-12.434403377822694,0.0,1.919045880857275e-77,1.37423500749426e-13,0.00010388707533113649
-11.728650042418725,0.0,4.5100379998891017e-69,3.002392315784824e-12,0.00022460900359756088
-11.022896707014754,0.0,3.4697017283060675e-61,5.4862749282647075e-11,0.0004644020805647993
-10.317143371610785,0.0,8.738190788433109e-54,8.3847775475207e-10,0.0009182534722846735
-9.611390036206814,0.0,7.203917789434866e-47,1.0717896401897121e-08,0.0017363309710402477
-8.905636700802845,0.0,1.944170304110982e-40,1.1458606625138483e-07,0.0031398149279710337
-8.199883365398875,0.0,1.7175871621026335e-34,1.0246099415675013e-06,0.005429718367177893
-7.4941300299949045,0.0,4.967328866316271e-29,7.662846498732438e-06,0.008979505111506891
-6.7883766945909345,0.0,4.702703471401746e-24,4.7932144993043065e-05,0.014201345554695328
-6.0826233591869645,0.0,1.4574510530831982e-19,0.0002507663401964765,0.021478738030052055
-5.376870023782995,0.0,1.478643760142682e-15,0.001097280945135461,0.03106636300653435
-4.6711166883790245,0.0,4.9108686162406174e-12,0.00401581220110166,0.042970925309912845
-3.9653633529750554,0.0,5.339259239592174e-09,0.012292405765360254,0.056841031642422817
-3.2596100175710845,0.0,1.9003587515004038e-06,0.031470933472026,0.07190391444872557
-2.5538566821671154,0.0,0.00022142574950482553,0.06738968396366922,0.08698551332237119
-1.8481033467631462,0.0,0.00844633977168389,0.12069544262803238,0.10063423395323733
-1.1423500113591754,0.0,0.10548121099222119,0.18080309686653817,0.11133962391830902
-0.43659667595520624,6.1003835063387906e-27,0.4313073639054591,0.22653978768429006,0.1178039768234898
0.26915665944876466,0.9966805973694397,0.5775775650485591,0.23741975743986204,0.11920039124393474
0.9749099948527338,0.9982468538262369,0.2535540302178233,0.20813299860413537,0.11534658242636095
1.6806633302567047,0.9986155748202705,0.036747726586636865,0.15263402146114102,0.10674402327301044
2.386416665660674,0.9988241890190652,0.001962675656774631,0.0936528992143969,0.09447081167086453
3.092170001064643,0.9989417042922945,0.00018723142233239773,0.04809752298008882,0.0799598420218261
3.797923336468612,0.9990332459710592,0.00011454270418928572,0.020697234033553193,0.0647252435563463
4.503676671872585,0.9991080934390363,8.846679163219468e-05,0.007486286348430991,0.05010878994293749
5.209430007276554,0.9991557919582894,7.270635790038833e-05,0.002300893039240704,0.0371030459201163
5.915183342680523,0.9992146180838578,6.142452796165805e-05,0.0006259373435985515,0.026277717482371458
6.620936678084492,0.9992421540369119,5.210774650144541e-05,0.00017455618706569998,0.017802966909469985
7.326690013488465,0.9992822680999978,4.5154552383011485e-05,6.916837841534414e-05,0.011539807601676073
8.032443348892434,0.9993099564362833,3.908521171667407e-05,4.458119766287038e-05,0.007158740707343158
8.738196684296403,0.9993320666314752,3.412040690110936e-05,3.6292852192611445e-05,0.004252474027764151
9.443950019700372,0.9993551590991173,2.837048412533812e-05,3.1429027424429e-05,0.002421314967625862
10.149703355104341,0.9993700366928349,2.4837056909238796e-05,2.7757972884048562e-05,0.0013240528438861108
10.855456690508314,0.9993912479834636,2.540514663201645e-05,2.4811457100996045e-05,0.0006980034943152532
11.561210025912283,0.9994103174292388,2.2677486559675064e-05,2.238257841719571e-05,0.00035744879411880073
12.266963361316252,0.999421461640516,1.8191250120139185e-05,2.036615534462283e-05,0.00018052110103978128
12.972716696720221,0.9994297909206176,1.738693689245665e-05,1.8725195003407337e-05,9.248989196786383e-05
13.678470032124194,0.9994468061779608,1.6725824143470106e-05,1.7414000260116625e-05,5.032845317697776e-05
14.384223367528163,0.9994571339293477,1.6685968802328183e-05,1.633267432024141e-05,3.0694755085674774e-05
15.089976702932132,0.9994697699016357,1.5831865113933068e-05,1.5368077455338803e-05,2.1623209162098956e-05
15.795730038336101,0.9994789905018264,1.4646614271719761e-05,1.4466154351022469e-05,1.730305720035192e-05
16.501483373740072,0.9994903439376682,1.2841863500466498e-05,1.3641444958868662e-05,1.5054072821789611e-05
17.20723670914404,0.9994976851071404,1.1060971652384404e-05,1.290529014719956e-05,1.3698377155366156e-05
17.91299004454801,0.9995049007869515,1.3025355953758346e-05,1.220016494516666e-05,1.2740587504369762e-05
18.61874337995198,0.9995162807819276,1.411268539305896e-05,1.1437069192285616e-05,1.1979619118161855e-05
19.32449671535595,0.9995280042499779,1.0481070624708288e-05,1.0611364413354956e-05,1.1334820633207022e-05
20.030250050759918,0.9995321864878993,7.712886017801355e-06,9.85992447279068e-06,1.0771807273921766e-05
20.736003386163887,0.9995363683825519,7.95522029767496e-06,9.374609726276491e-06,1.0272223555629784e-05
21.441756721567856,0.9995416912177839,8.17384197388277e-06,9.241927767492421e-06,9.822246301456876e-06
22.147510056971832,0.9995491164508716,8.37842418526359e-06,9.348286799734533e-06,9.409100732554486e-06
22.8532633923758,0.9995504436025644,1.1210185544129482e-05,9.428535419389054e-06,9.02104892385581e-06
23.55901672777977,0.9995642949409361,1.2606867538393824e-05,9.230758535249813e-06,8.648689406209118e-06
24.26477006318374,0.999573665991928,9.381362626553477e-06,8.683826545157645e-06,8.286298651002654e-06
24.97052339858771,0.9995779461613181,6.3093377811381846e-06,7.93519693893626e-06,7.9324267600305e-06
25.676276733991678,0.9995804238183399,5.9628653965919875e-06,7.226596519022679e-06,7.589417169660954e-06
26.382030069395647,0.9995857825697934,5.858579218886586e-06,6.722233597341813e-06,7.26197822721177e-06
27.087783404799616,0.99958842560867,6.371293310093101e-06,6.4348380614698565e-06,6.955276379125572e-06
27.793536740203585,0.9995934361568597,7.101564788004782e-06,6.279286665447371e-06,6.6731417302825686e-06
28.49929007560756,0.999600600421359,6.046688079572509e-06,6.165538121244536e-06,6.4168663553226835e-06
29.20504341101153,0.9996024895205359,5.0521378893065395e-06,6.04301539168492e-06,6.1848215766908875e-06
29.9107967464155,0.9996047205405326,6.948846357330368e-06,5.89445611834454e-06,5.972853088649327e-06
30.61655008181947,0.999614997574019,6.390706421944068e-06,5.727017003282174e-06,5.7752346813240055e-06
31.322303417223438,0.9996150578463209,4.359265093781678e-06,5.571857442574511e-06,5.585903068005196e-06
32.02805675262741,0.9996185594826003,5.109423647079786e-06,5.462337997829665e-06,5.399721691821372e-06
32.733810088031376,0.999624980837629,5.5932282505260564e-06,5.390139191833309e-06,5.213569054834539e-06
33.439563423435345,0.9996257607909844,5.2705930596136325e-06,5.286095989930476e-06,5.0270778189332324e-06
34.145316758839314,0.999630433508694,6.163218257850191e-06,5.060757821547901e-06,4.842869658322066e-06
34.85107009424329,0.9996349653811896,6.0880396389090595e-06,4.682025548263811e-06,4.666173383199087e-06
35.55682342964726,0.9996401742094305,3.669501535428828e-06,4.223430080888838e-06,4.5038111931763305e-06
36.26257676505123,0.9996402050854087,2.0837684862463626e-06,3.829815318554953e-06,4.362685205976811e-06
36.9683301004552,0.9996411297586754,2.8438748150444377e-06,3.6203895195817705e-06,4.248048147161033e-06
37.67408343585917,0.9996442091085499,3.5974726148902188e-06,3.614218486258649e-06,4.161936276839945e-06
38.379836771263136,0.9996477543531285,3.994768047144767e-06,3.739549250336553e-06,4.102136680315765e-06
39.085590106667105,0.9996496539261096,3.957069043470495e-06,3.903116133167083e-06,4.061955061503747e-06
39.791343442071074,0.9996529663822918,4.474041451426005e-06,4.050924786297814e-06,4.030883040884197e-06
40.49709677747504,0.999657207184257,4.011889789766484e-06,4.179711706006621e-06,3.996087384690526e-06
41.20285011287902,0.9996572909087017,3.7922177668949955e-06,4.305230159718496e-06,3.944494209979793e-06
41.90860344828299,0.9996612918579463,4.508679878451289e-06,4.418939790566145e-06,3.865130511632063e-06
42.61435678368696,0.9996655287827688,4.957614052919937e-06,4.466391101812604e-06,3.7513121628388708e-06
43.32011011909093,0.9996683764467086,5.065978681763895e-06,4.362947240032537e-06,3.6022394952598682e-06
44.025863454494896,0.9996719773204564,4.787848123363996e-06,4.037765218140212e-06,3.4236047053104483e-06
44.731616789898865,0.9996751114348119,4.4519336132340525e-06,3.4839956273823163e-06,3.2269599327139383e-06
45.437370125302834,0.9996780855397058,3.0969468153191155e-06,2.7909864591744225e-06,3.027844990710045e-06
46.1431234607068,0.9996798224385445,1.1056452686590068e-06,2.13306319934493e-06,2.8429830647891756e-06
46.84887679611077,0.9996798224536373,1.6936639087271218e-07,1.7014868039382362e-06,2.687128231488011e-06
47.55463013151475,0.999679822456097,1.252515488669523e-07,1.6046396849320215e-06,2.5702867020925206e-06
48.26038346691872,0.9996798224635911,9.846198831333576e-07,1.8018546269502937e-06,2.4959700988970054e-06
48.96613680232269,0.999679822952944,3.208054232423817e-06,2.1317681748410665e-06,2.4608837340764884e-06
49.671890137726656,0.999685451819692,4.2618445907508665e-06,2.4277025893665137e-06,2.456087140892547e-06
50.377643473130625,0.9996879810641838,2.4707956714811416e-06,2.6270056163646875e-06,2.4693026717214437e-06
51.083396808534594,0.999687983462167,1.2991532189538583e-06,2.7732227031345e-06,2.487789190003827e-06
51.78915014393856,0.9996879856451714,2.5511838156264254e-06,2.914585935056919e-06,2.501092108362191e-06
52.49490347934253,0.9996913633237193,3.892546162897619e-06,3.0131483285116214e-06,2.5030308552040124e-06
53.2006568147465,0.9996949469776821,4.165849898016747e-06,2.963049405141076e-06,2.492466960173729e-06
53.90641015015047,0.999697105913277,3.9173099435088685e-06,2.6959657376798246e-06,2.472680050513271e-06
54.61216348555444,0.9997009345005577,2.351169354811068e-06,2.268751077407887e-06,2.449526485542678e-06
55.31791682095841,0.9997009351630516,6.383944572728958e-07,1.8567744560194663e-06,2.428902224719072e-06
56.02367015636238,0.9997009351647831,2.1709313553421098e-07,1.6627146553292573e-06,2.4142803169951723e-06
56.72942349176635,0.9997009351832161,7.170952732248712e-07,1.8068181721262967e-06,2.405135681630179e-06
57.43517682717033,0.9997021293527437,1.5328563233102506e-06,2.25808204038274e-06,2.3968395488813797e-06
58.1409301625743,0.999703527007196,2.655207310544686e-06,2.831218144977635e-06,2.382134510757608e-06
58.84668349797827,0.9997035618574466,4.950961895076161e-06,3.2552697956220294e-06,2.3537346296695988e-06
59.55243683338224,0.999709233946934,6.2764861518919835e-06,3.3028439269572877e-06,2.3071496565749e-06
60.25819016878621,0.9997164068971142,4.188823021296405e-06,2.9210464465079646e-06,2.2427016938173337e-06
60.963943504190176,0.9997164079214275,1.2736509094794756e-06,2.269229360767037e-06,2.1659621686886646e-06
61.669696839594145,0.9997164079234127,1.5764675603524234e-07,1.6225424835709747e-06,2.086398986146904e-06
62.375450174998115,0.9997164079234728,2.319080006287099e-08,1.2130494159097027e-06,2.0146696294734887e-06
63.081203510402084,0.9997164079234728,2.4284907434136053e-07,1.1266640099891862e-06,1.959472446057057e-06
63.78695684580605,0.9997164079238652,1.2361569470431029e-06,1.3088187992821176e-06,1.924998281726076e-06
64.49271018121003,0.99971815842681,2.1440044251343415e-06,1.6383303951147845e-06,1.909778302764703e-06
65.198463516614,0.9997199430414601,1.7413044880785235e-06,1.9959557758968434e-06,1.9072195700657414e-06
65.90421685201797,0.9997199430414601,2.3996287542621027e-06,2.289801121126931e-06,1.9075612720843944e-06
66.60997018742194,0.9997248193235838,3.3873997676137944e-06,2.453878824279992e-06,1.9005708197003594e-06
67.3157235228259,0.9997248253540236,3.1451190075013175e-06,2.4519984872690284e-06,1.8781517859947938e-06
68.02147685822987,0.9997288247564055,2.4767500012483093e-06,2.2893839057294635e-06,1.836167700965914e-06
68.72723019363384,0.9997288249492247,1.77172458254747e-06,2.0116208394580994e-06,1.7751148351331407e-06
69.43298352903781,0.9997308342879477,1.9035762950493642e-06,1.6881298381807486e-06,1.6996689766073537e-06
70.1387368644418,0.9997321983214057,1.4038205966482963e-06,1.3965317165169914e-06,1.6174499282547024e-06
70.84449019984577,0.9997321983993351,4.552289401547711e-07,1.2080711765226566e-06,1.5374982217866684e-06
71.55024353524973,0.9997321983999545,1.9062177179474406e-07,1.1579816743957835e-06,1.4689134911525364e-06
72.2559968706537,0.9997321983999545,8.918489236586991e-07,1.2114610909080456e-06,1.4199068328120487e-06
72.96175020605767,0.9997321996313536,2.286266188134242e-06,1.2703205767100201e-06,1.3972675825662727e-06
73.66750354146164,0.9997370693116887,2.467799888949629e-06,1.2411221376068023e-06,1.4060511379110283e-06
74.37325687686561,0.9997371855554611,1.0898020730312281e-06,1.1165330654686439e-06,1.449240808280233e-06
75.07901021226958,0.9997371855557039,1.8039269625353914e-07,9.946770827601511e-07,1.527238271726014e-06
75.78476354767355,0.9997371855557369,3.0935033914756467e-08,1.0149661400388259e-06,1.6372348259717011e-06
76.49051688307752,0.9997371855557369,2.57661378154259e-07,1.2616163154648037e-06,1.7727038882088714e-06
77.19627021848149,0.9997371855560385,1.2192550207693903e-06,1.706040800059329e-06,1.923334428793786e-06
77.90202355388546,0.9997392427210725,2.846083646683666e-06,2.2249456632351963e-06,2.075650264934328e-06
78.60777688928943,0.9997410633037492,4.070561488831232e-06,2.6776512788369946e-06,2.2143614538618947e-06
79.3135302246934,0.9997460724823687,3.3222962538281918e-06,2.9828813989498957e-06,2.3242579256880077e-06
80.01928356009736,0.9997460724823687,2.543754680666274e-06,3.1356094336559706e-06,2.3922796183237473e-06
80.72503689550133,0.9997484061477371,3.5133821373949117e-06,3.1627204023029654e-06,2.409344501206073e-06
81.4307902309053,0.999751366873146,3.633657898487538e-06,3.0760120828596515e-06,2.3715909972829875e-06
82.13654356630927,0.9997531611529001,3.3520793739405438e-06,2.8704703807944072e-06,2.2808495406313893e-06
82.84229690171324,0.9997558996604947,2.7822389300167367e-06,2.554202017721888e-06,2.1443333092079504e-06
83.54805023711722,0.9997579531076812,2.0599429918144884e-06,2.165909580591099e-06,1.973674520543361e-06
84.25380357252119,0.999757953629425,1.6220869160080227e-06,1.7614391386229316e-06,1.7835028939656533e-06
84.95955690792516,0.9997599592049349,1.0383481711250125e-06,1.386437864349381e-06,1.5897709407383652e-06
85.66531024332913,0.9997599592100879,9.347543734699826e-07,1.06063972611671e-06,1.4080020283816555e-06
86.3710635787331,0.9997616673693044,9.936507384354774e-07,7.850513388744729e-07,1.2516038413919525e-06
87.07681691413707,0.9997616673693368,4.17385968410417e-07,5.635455482312427e-07,1.1303766595753183e-06
87.78257024954104,0.9997616673693368,5.8091098825721134e-08,4.190665367983813e-07,1.049359466529298e-06
88.48832358494501,0.9997616673693368,2.8435867369898567e-09,3.901301948051767e-07,1.0081817117876201e-06
89.19407692034898,0.9997616673693368,9.620574108469806e-09,5.089553231328621e-07,1.0010919656439913e-06
89.89983025575295,0.9997616673693368,1.615480575791658e-07,7.738636261552412e-07,1.0177821730292593e-06
90.60558359115691,0.9997616673693368,9.706811176360088e-07,1.1321108164762021e-06,1.0450014727254551e-06
91.31133692656088,0.9997636533829326,2.216575708167101e-06,1.4866806503195654e-06,1.0687741627122714e-06
92.01709026196485,0.9997658847974469,2.2902791329724536e-06,1.7280176661106652e-06,1.076854433030218e-06
92.72284359736882,0.9997658849770044,2.289711014970918e-06,1.775489997788788e-06,1.0609346267199997e-06
93.42859693277279,0.9997678679155718,2.6624746236773425e-06,1.609281661225887e-06,1.0181293380716395e-06
94.13435026817676,0.9997703798027692,1.4430116468006127e-06,1.2795129820171849e-06,9.513991477766105e-07
94.84010360358073,0.9997703798027692,2.814142785645542e-07,8.851951020653249e-07,8.688189710455209e-07
95.5458569389847,0.9997703798027692,1.8961718188146208e-08,5.287178394897801e-07,7.818634980752613e-07
96.25161027438868,0.9997703798027692,4.3341524406276534e-10,2.7281497071382775e-07,7.030963872909323e-07
