dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,plain_cg,EFGP-CG,1681,41,,,,,,804,0.8498764619998838,0.8821891510001478,0.0003759114738889,0.0200037082767138,1.0,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,eigenpro_pcg_q90,EigenPro-PCG,1681,41,,90.0,,,,110,0.1564496510000026,0.4744998500000292,0.0003954315515286,0.0200043955019688,1.8591979554895404,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,eigenpro_pcg_q180,EigenPro-PCG,1681,41,,180.0,,,,15,0.02265321699997,0.6193621140000687,0.000395120062158,0.020004394979941,1.4243511688221375,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_64,Active inverse,1681,41,64.0,,64.0,81.0,,652,1.053657698999814,1.0724386229999254,0.0003968065553518,0.0200043901296612,0.8226010627371905,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_128,Active inverse,1681,41,128.0,,128.0,169.0,,302,0.4967425520003417,0.5150979200002439,0.0003965192989845,0.0200043891392856,1.7126630039580244,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_256,Active inverse,1681,41,256.0,,256.0,361.0,,105,0.1843474699999205,0.2029177389999858,0.0003964527115961,0.0200043884273975,4.347521095729386,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_512,Active inverse,1681,41,512.0,,512.0,625.0,,17,0.0487698299998555,0.0676360519996706,0.0003964629114566,0.0200043883149443,13.043179264875548,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_1024,Active inverse,1681,41,1024.0,,1024.0,1369.0,,5,0.0839737850001256,0.1022637750002104,0.0003964700601034,0.0200043888515048,8.626604591883419,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_64_q16,Box-EigenPro,1681,41,64.0,16.0,64.0,81.0,16.0,1186,1.9964963689999424,2.0149325439997483,0.000396252777583,0.0200043886965207,0.437825650107847,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_64_q32,Box-EigenPro,1681,41,64.0,32.0,64.0,81.0,32.0,703,1.2068008969999937,1.2253378730001714,0.0003969631046173,0.0200044035457089,0.7199558345814914,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_128_q16,Box-EigenPro,1681,41,128.0,16.0,128.0,169.0,16.0,1196,2.008380367999962,2.0270962390000022,0.0003968687974584,0.0200043947296658,0.43519845482785036,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_128_q32,Box-EigenPro,1681,41,128.0,32.0,128.0,169.0,32.0,800,1.4148201660000268,1.4340742470003534,0.0003967390037372,0.0200043940638656,0.6151628152066875,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_128_q64,Box-EigenPro,1681,41,128.0,64.0,128.0,169.0,64.0,432,0.8507150949999414,0.8696664700000838,0.0003966020483726,0.0200043972039485,1.0143994064759825,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_256_q32,Box-EigenPro,1681,41,256.0,32.0,256.0,361.0,32.0,708,1.262569350999911,1.28137260099993,0.0003963680694358,0.0200043841980285,0.6884719950401031,ok,btab_group_b_se_20260628_180907
