N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
10000000,SE,0.1,Active inverse,btab_auto_topk_256,256.0,361.0,,218,0.3713988660001632,0.4305361169999742,0.0200068629100988,1.0000907529074714,3.7873438455337762
10000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,37,0.0839034029995673,0.1433687429998826,0.0200068622063332,1.0000907177280696,11.373387803234051
10000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,4,0.0800943899998856,0.1395656069998949,0.0200068624117947,1.0000907279985527,11.683310437657394
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q16,64.0,81.0,16.0,1824,3.045511145000092,3.1050439319997167,0.0200067979685963,1.000087506651603,0.5251417850148508
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q32,64.0,81.0,32.0,1316,2.2123713030000545,2.2721267710003303,0.0200068482384664,1.0000900195109386,0.7176484753454035
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q16,128.0,169.0,16.0,1745,2.9043119769999066,2.963835284000197,0.020006889992585,1.0000921066901278,0.5501615834733931
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q32,128.0,169.0,32.0,1187,2.004848956999922,2.0641355039997507,0.020006886754105,1.000091944806982,0.7899618556244062
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q64,128.0,169.0,64.0,684,1.2571823520002,1.3167430900002728,0.0200068721400799,1.0000912142900875,1.2383496259695763
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q32,256.0,361.0,32.0,1501,2.547673265999947,2.6073656139997183,0.0200068401119973,1.0000896132900012,0.6253777008658664
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,662,1.2233022759996857,1.2821792239997194,0.0200068447795082,1.0000898466066643,1.2717319720041094
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,256,0.6712839970000459,0.7305190130000483,0.0200068504573362,1.0000901304264367,2.2320956525189772
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q64,512.0,625.0,64.0,587,1.0976745600000868,1.157311332000063,0.0200068633940646,1.000090777099656,1.408945257782867
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,174,0.5385571479996543,0.5982558789996801,0.0200068508688628,1.0000901509975753,2.7255700616370104
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,39,0.5396731420000833,0.5993699770001513,0.0200068615094303,1.0000906828917162,2.7205038216311097
30000000,SE,0.1,Active inverse,btab_auto_topk_64,64.0,81.0,,1589,2.5652789400000984,2.716476929000237,0.0200059768508991,1.0001114730306204,0.8611397181498741
30000000,SE,0.1,Active inverse,btab_auto_topk_128,128.0,169.0,,864,1.4225540909997108,1.5713351449999209,0.0200059672734522,1.0001109942479747,1.488712439509534
30000000,SE,0.1,Active inverse,btab_auto_topk_256,256.0,361.0,,300,0.5174578480000491,0.6666931929999009,0.020005970955332,1.0001111783074812,3.5087596537081294
30000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,58,0.1245339400002194,0.2734043030000066,0.0200059715333081,1.000111207200873,8.55606934979309
30000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,3,0.0827263270002731,0.2314940650003336,0.0200059708428566,1.0001111726847647,10.10508056436146
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q16,64.0,81.0,16.0,2346,3.8774177779996535,4.025867543000004,0.0200058983656344,1.000107549502453,0.5810589027121147
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q32,64.0,81.0,32.0,1139,1.9136472089999188,2.062806447000185,0.0200059391005756,1.0001095858680027,1.13402116829805
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q16,128.0,169.0,16.0,2213,3.664335600999948,3.812993687000017,0.0200059712700704,1.0001111940414535,0.6134985706835473
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q32,128.0,169.0,32.0,1530,2.5809971439998662,2.7299929890000385,0.0200059695621934,1.000111108663599,0.8568762580803341
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q64,128.0,169.0,64.0,970,1.719161589000123,1.8677438330000768,0.0200059687801567,1.0001110695690882,1.2524555753678686
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q32,256.0,361.0,32.0,1800,3.057907032000003,3.206629598999825,0.0200059384256957,1.0001095521303283,0.7295093196075831
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,912,1.6239554219996537,1.772746908999579,0.020005937352872,1.0001094984991912,1.3195714318407845
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,330,0.7968145250001726,0.9454801870001576,0.0200059644331741,1.0001108522606708,2.4741567397852933
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q64,512.0,625.0,64.0,853,1.5378630760001215,1.6863065960001222,0.0200059464054734,1.0001099510444775,1.3872128488073172
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,294,0.7375025979999918,0.8861713029996281,0.0200059544356583,1.0001103524785142,2.639744899300673
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,61,0.6371087479997186,0.7859705939999913,0.0200059697776117,1.0001111194324965,2.9762769687028845
