case_tag,N,mode,top_q,slq_operator,seed,size,wall_s,lambda_hat_min,lambda_hat_max,q01,q99,m_final,health,dominant_issue,out_dir
N100000_gpu_v1_topq0_q0_seed99174,100000,gpu_v1_topq0,0,A,99174,480249,697.4673998999642,0.10005955854490065,5551.331432181501,0.10005955854490065,0.1000617336857374,400,stable,upper_spikes,outputs\weak_gpu_complexity_20260507_205016_eps1e-07\slq_diagnostics\N100000_gpu_v1_topq0_q0_seed99174
N100000_gpu_v3_topq_q64_seed99175,100000,gpu_v3_topq,64,M_inv_A,99175,480249,2808.8661828999757,-0.4888747009232801,333.437008997354,0.09945864445939663,0.11507011694772319,400,caution,upper_spikes,outputs\weak_gpu_complexity_20260507_205016_eps1e-07\slq_diagnostics\N100000_gpu_v3_topq_q64_seed99175
