dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,eta_eig,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,c1,,64.0,1024.0,1369.0,34352.0,2401.5196295323567,1592437.420763489,8.154258513003269,,1.1117560256350203,256531.2362557409,4.561049691837052e-15,1458,1458.0,0.1976515999995172,4.669193700014148,5.545361000025878,0.2004754999943543,5.745836500020232,0.0286153824840069
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,2401.5196295323567,1592437.420763489,8.154258513003272,,1.2962760882780386,65378.765257045125,9.064599315412182e-15,929,929.0,0.3520513999974355,3.2050894000276458,4.073443500004942,0.2483773999847471,4.321820899989689,0.028615078556811
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,2401.5196295323567,1592437.420763489,8.15425851300327,3.369172460281812,,,,365,365.0,0.1036743999866303,1.6601939999964088,2.540100199985318,0.21040329997777,2.750503499963088,0.028615006477304
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_2048,boxeig,btab_boxeig_topk_2048_q128,c1,,128.0,2048.0,2601.0,33120.0,545.4774512433136,630211.2012771419,7.6759059471250515,,1.0255687405510563,65636.21645651571,8.956422486526629e-15,951,951.0,0.3409566000045743,3.2244856000179425,4.100556999997934,0.2481697000039275,4.348726700001862,0.0286152234165127
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,545.4774512433136,630211.2012771419,7.675905947125055,3.4526477146858543,,,,233,233.0,0.4503055000095628,2.112526600016281,2.9908462000021245,0.2955856000189669,3.2864318000210915,0.0286150037304075
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q128,c1,,128.0,4096.0,5329.0,30392.0,98.38544680280414,212413.99621084624,6.861776467400552,,0.8145760721099656,65652.71098656907,8.508572649997393e-15,998,998.0,0.4196868999861181,3.532862599997316,4.403488300013123,0.3325747000053525,4.736063000018476,0.0286152587083434
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,98.38544680280414,212413.99621084624,6.86177646740055,,0.906395968410498,27186.30232839466,1.4725088212249393e-14,691,691.0,0.6222301000088919,2.995976900012465,3.9472868000157177,0.323057500005234,4.270344300020952,0.0286152111509929
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,98.38544680280414,212413.99621084624,6.861776467400548,3.46715911617349,,,,113,113.0,8.992806800000835,30.659178100002464,31.53468419998535,6.074228999990737,37.60891319997609,0.028615022535399
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q64,c1,,64.0,8192.0,10609.0,25112.0,18.400350798221424,68148.38536115935,5.745353042131225,,0.6209565467114282,257061.2094615181,4.324584382931734e-15,2380,2380.0,0.1963685000082478,7.611641800001962,8.47816490000696,0.2133732000074815,8.69153810001444,0.0286155015509007
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q128,c1,,128.0,8192.0,10609.0,25112.0,18.400350798221424,68148.38536115935,5.745353042131224,,0.6657532529925047,65663.1480984663,9.722307041417154e-15,1213,1213.0,0.4320357000106014,4.572621600003913,5.4401962000119966,0.2513853999844286,5.691581599996425,0.028615477458862
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q192,c1,,192.0,8192.0,10609.0,25112.0,18.400350798221424,68148.38536115935,5.745353042131225,,0.6999731985629756,27195.581356177325,2.0266724648783996e-14,788,788.0,0.7188355999824125,3.390090100001544,4.309157300012885,0.3773891000018921,4.686546400014777,0.028615439408651
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,987,,0.0008063999994192,2.882185800001025,4.022941200004425,,,0.0310977051141492
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,570,,0.0004563999827951,1.8478268000180835,3.824087699991651,,,0.0310978375656782
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,2250,,,5.406577700021444,6.526614700007485,,,0.0311743842701201
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,c1,,64.0,1024.0,1369.0,34352.0,720.4558888598436,477731.2262291375,7.294641315144397,,1.0663137722670968,76912.45806811315,4.4554414402215565e-15,1114,1114.0,0.1811914000136312,3.6361536999756936,4.166837799974019,0.2131613999954424,4.379999199969461,0.0310973840587131
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,720.4558888598436,477731.2262291375,7.294641315144398,,1.2510762616754378,19595.849402133423,9.139745379071774e-15,608,608.0,0.3444033999985549,2.2184842999849934,2.7578782999771647,0.2656516999995801,3.023529999976745,0.0310974372333627
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,720.4558888598436,477731.2262291375,7.294641315144398,3.208422249082869,,,,248,248.0,0.1008910000091418,1.2293024999962654,1.8134771999903023,0.2130428999953437,2.026520099985646,0.0310974465123993
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_2048,boxeig,btab_boxeig_topk_2048_q128,c1,,128.0,2048.0,2601.0,33120.0,163.64323537302514,189063.3603831785,6.659925207394543,,0.9732761079461996,19672.93585219951,1.096658961077734e-14,673,673.0,0.3808508000220172,2.5028101000061724,3.0958863999985624,0.2560280000034254,3.351914400001988,0.0310973823636836
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,163.64323537302514,189063.3603831785,6.659925207394541,3.2221909385766367,,,,140,140.0,0.5216988000029232,1.5718818999885116,2.154102700005751,0.34908000001451,2.503182700020261,0.0310974039592108
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q128,c1,,128.0,4096.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.641188095307639,,0.7518668657075571,19678.08164618141,1.456935118863077e-14,745,745.0,0.37474330002442,2.9286062000028323,3.4634885999839757,0.3019990999891888,3.765487699973164,0.0310974092906319
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.641188095307639,,0.839374641559239,8157.913459002126,1.7777679338749207e-14,486,486.0,0.6012630000186618,2.228221299999859,2.7644703999976628,0.3146872000070289,3.079157600004692,0.0310973137321646
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.64118809530764,3.1089012491750814,,,,69,69.0,10.029702699976042,27.918086899997437,28.461907399992924,7.455078200000571,35.916985599993495,0.031097437529383
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q64,c1,,64.0,8192.0,10609.0,25112.0,5.520105239467475,20444.51560835169,4.705387462425646,,0.5209956060508382,77070.88204797721,4.078700506413593e-15,1539,1539.0,0.1989023000060115,5.066088799998397,5.595081100007519,0.2249670000164769,5.820048100023996,0.0310975675097763
