dataset_family,n_train,eps,selected_topk,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,1024.0,0.24278929149977557,109.5,109.5,109.5,0.09251995589566085,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,1024.0,0.3403767615000106,165.5,165.5,165.5,0.0871177134025022,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,1024.0,0.5473964390000673,278.5,278.5,278.5,0.0828957347518417,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,1024.0,0.8809790099999191,432.5,432.5,432.5,0.0802567374582852,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,1024.0,0.577233643999989,15.0,15.0,15.0,0.1288440653423439,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,2048.0,6.53735217600024,3000.0,3000.0,3000.0,0.1799634555031248,,
synthetic_true_func_2d,1000000,1e-05,1024.0,0.170855134500016,67.5,67.5,67.5,0.011920611940206851,,
synthetic_true_func_2d,3000000,1e-05,1024.0,0.23221948199989123,96.5,96.5,96.5,0.0080155807830081,,
synthetic_true_func_2d,10000000,1e-05,1024.0,0.3634720324998852,163.5,163.5,163.5,0.0049916004940991,,
synthetic_true_func_2d,30000000,1e-05,1024.0,0.5519281425001736,219.0,219.0,219.0,0.0031663876936418502,,
synthetic_true_func_2d,100000000,1e-05,1024.0,0.5549312200000713,3.0,3.0,3.0,0.0006876167031503,,
synthetic_true_func_2d,300000000,1e-05,1024.0,1.5459013500003491,3.0,3.0,3.0,0.0005649883817159,,
