dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,54.5477451243749,63021.1201277645,,,120.0,120.0,0.2124956050001856,0.4067546149999543,0.4292885780000688,0.000261496999883,0.4295500749999519,0.0355266321801426
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_256,boxeig,btab_boxeig_topk_256_q128,c1,,128.0,256.0,361.0,864.0,139.9656127358365,4566.653112632366,619.4888622250618,1.0173574650086561e-13,207.0,207.0,0.2320145610001418,0.5952959599999303,0.6139890300000843,0.0498171610001918,0.6638061910002762,0.1495132619047945
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,9.838544680288264,21241.399621101573,2716.911292688933,1.4599350301079937e-14,455.0,455.0,0.3552786609998293,1.1363485379997655,1.155699039999945,0.076989838999907,1.232688878999852,0.0355266601784714
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q256,c1,,256.0,4096.0,5329.0,30392.0,9.838544680288264,21241.399621101573,1399.137357870159,7.975396626795508e-14,334.0,334.0,0.4678607880000527,1.0514501070001645,1.0739440550000836,0.1024107260000164,1.1763547810001,0.0355266317202508
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,9.838544680288264,21241.399621101573,,,56.0,56.0,0.8934460669997861,1.0006304089997684,1.0230557959998805,0.0002568139998402,1.0233126099997207,0.0355266312418813
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,c1,,128.0,512.0,625.0,600.0,0.8293138065601489,24.837653492246226,646.2325325936572,1.2541237421159128e-13,149.0,149.0,0.2315733810000892,0.5033484900000076,0.5215914450000128,0.0508987739999611,0.5724902189999739,0.1495132711319095
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q256,c1,,256.0,512.0,625.0,600.0,0.8293138065601489,24.837653492246226,2.601907874841997,1.0727701592191435e-11,14.0,14.0,1.102725613000075,1.134016836000228,1.152749545000006,0.1193875089998073,1.2721370539998134,0.1495132760102163
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,35096.0,1313.518777417592,462890.8004708774,,,420.0,420.0,0.0134058319999894,0.6478593639999417,0.667301395999857,0.000263163999989,0.6675645599998461,0.0355266349899209
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,600.0,0.8293138065601489,24.837653492246226,,,18.0,18.0,0.0117387949999283,0.0441773289999218,0.062414976999662,6.864900024083909e-05,0.0624836259999028,0.1495132735042132
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_728,inverse,btab_auto_topk_728,c1,,,728.0,961.0,34760.0,526.9586962169344,260478.2938681179,,,284.0,284.0,0.0260878909998609,0.4616678329998649,0.4812819579997267,0.0002545100001043,0.4815364679998311,0.0355266295836482
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_768,boxeig,btab_boxeig_topk_768_q128,c1,,128.0,768.0,961.0,264.0,0.0012893802652318,0.0364161691078115,646.260747461867,1.2262227463793388e-13,105.0,105.0,0.9694807750001928,1.1698047799995948,1.1886686659995576,0.0501165390001006,1.2387852049996582,0.1495132995644058
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_768,boxeig,btab_boxeig_topk_768_q256,c1,,256.0,768.0,961.0,264.0,0.0012893802652318,0.0364161691078115,2.828133051818576,3.215359363394346e-11,9.0,9.0,0.4569863000001533,0.4766048279998358,0.495718074999786,0.1138393660003203,0.6095574410001063,0.1495132798443375
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q192,c1,,192.0,8192.0,10609.0,25112.0,1.8400350798236111,6814.838536121377,2717.877700936402,1.4030412939335738e-14,415.0,415.0,0.3577250349999303,1.0727582380000058,1.0953243849999126,0.078637953999987,1.1739623389998997,0.0355266093370488
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q256,c1,,256.0,8192.0,10609.0,25112.0,1.8400350798236111,6814.838536121377,1400.036367256719,7.195733821812557e-14,302.0,302.0,0.4870203589998709,1.0041853200000332,1.0265871840001637,0.1037984510003298,1.1303856350004935,0.0355266100713019
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q320,c1,,320.0,8192.0,10609.0,25112.0,1.8400350798236111,6814.838536121377,833.635486263589,1.0886953588617936e-13,235.0,235.0,0.5838266420000764,0.993641750000279,1.0164580440000464,0.1293676069999492,1.1458256509999956,0.0355266095361948
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q64,c1,64.0,,,,,,,,,1700.0,,0.0003202459997737,2.5346988850001253,2.8481983739998213,,,0.028615031019282
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q128,c1,128.0,,,,,,,,,921.0,,0.0003697779998219,1.3750704560002305,1.8839689420001375,,,0.0286150346833454
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q256,c1,256.0,,,,,,,,,442.0,,0.0003334719999656,0.7156542819998322,1.6515934949998154,,,0.0286150521465681
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q320,c1,320.0,,,,,,,,,347.0,,0.0003478969997559,0.5785654900000736,1.7274551129999054,,,0.0286150494519401
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q384,c1,384.0,,,,,,,,,278.0,,0.0003371840002728,0.476266484000007,1.8754334039999776,,,0.0286150549720161
