Dataset,N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,543.0,0.8942541119999987,0.9669140810001408,0.0284772787623443,0.9988982067370981,5.887336858422591
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,300.0,0.6831315659997017,0.7556836059998204,0.0284772790369558,0.9988982163696525,7.532979229406874
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,153.0,1.1626711059998345,1.2357631189997846,0.0284772758568625,0.9988981048214416,4.606504936486074
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q192,2048.0,2601.0,192.0,1172.0,2.3144681769999806,2.3871427200001563,0.0284772681788676,0.9988978355002259,2.384670535324994
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q192,4096.0,5329.0,192.0,1216.0,2.402417178000178,2.4867635440000413,0.0284773182624948,0.9988995922848476,2.2891396014448895
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_4096_q256,4096.0,5329.0,256.0,873.0,3.2740636319999794,3.3583837800001675,0.0284773218351191,0.9988997176018779,1.695026322453133
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q192,8192.0,10609.0,192.0,1257.0,2.4846701960000246,2.56928198300011,0.0284772967437578,0.9988988374715813,2.215618583582965
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q256,8192.0,10609.0,256.0,906.0,2.0061913869999444,2.0908243999997467,0.0284772986826205,0.9988989054811157,2.7226336692840514
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_8192_q320,8192.0,10609.0,320.0,699.0,1.7685600909999266,1.8524406599999568,0.0284773002345475,0.9988989599180972,3.0729993305157035
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q192,16384.0,21025.0,192.0,1229.0,2.4467893650003134,2.5310631960001047,0.0284773036840365,0.9988990809159076,2.2490741902438454
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q256,16384.0,21025.0,256.0,891.0,2.679973848999907,2.7650251239997488,0.0284773034922589,0.99889907418892,2.0587693249475345
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_16384_q320,16384.0,21025.0,320.0,696.0,1.79054697499987,1.873905883000134,0.0284772982073652,0.9988988888105739,3.0377987281229575
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,36.0,0.0732562050002343,0.1359532390001732,0.1370908358206969,0.9994985130275581,32.37554044589145
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,14.0,0.0651087400001415,0.1278787969999939,0.1370908323875246,0.9994984879970694,34.419776313662574
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,552.0,1.171590364000167,1.2341449350001312,0.1370907857510803,0.9994981479812219,3.566485153544455
