dataset_stem,eps,method,precompute_mode,selector_tag,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,eta_inv_sq,eta_inv_status,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,19212.15703625264,12739499.366103794,284.8511469089705,59475.19118145593,3537298366.070733,ok,6000,6000.0,0.0538243729997702,9.328291173000252,9.734326675000377,0.0909206380001705,9.825247313000546,0.0678189905991673,0.0678161771527642
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_n100000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,4363.819609945097,5041689.610215506,278.29980840774067,59700.19716089833,3564113541.050133,ok,6000,6000.0,0.2157338319998416,9.828313968999735,10.234594515000026,0.0910425510001005,10.325637066000128,0.0679955079254015,0.0679915987764277
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,2401.5196295323567,1592437.420763489,8.15425851300327,3.3691724602816384,11.351323067120228,ok,365,365.0,0.0563965479996113,0.6196483949997855,0.7002181279999604,0.0902786319998085,0.790496759999769,0.0284772718659095,0.0286150008522729
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,545.4774512433136,630211.2012771419,7.6759059471250515,3.452647714686325,11.920776241728706,ok,234,234.0,0.2110712130001957,0.5841358190000392,0.6593096100000366,0.0899938880002082,0.7493034980002449,0.0284772709013421,0.028615002732943
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,7204.558888596942,4777312.262290385,8.970694024187555,3.4656593780932363,12.010794924965598,ok,556,556.0,0.0583327609997468,0.9155604349998612,1.088539505999961,0.08965239500003,1.178191900999991,0.0278758917811324,0.0278567291795712
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,1636.4323537299117,1890633.6038313925,8.499966510614861,3.5842191313399594,12.846626781463376,ok,354,354.0,0.2119101719999889,0.7778868059999695,0.9490056710001228,0.0912892530000135,1.0402949240001362,0.0278759324816987,0.0278567709675697
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,72045.58888596435,47773122.62290046,35.567134570515044,35662.60551048715,1271821431.7966285,ok,6000,6000.0,0.0541179219999321,9.365654019999964,10.890251936999904,0.0919715619997987,10.9822234989997,0.1140380794019658,0.1140462639361574
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,16364.323537297962,18906336.03831259,35.53232848870821,29258.997564793382,856088938.496585,ok,6000,6000.0,0.2103668900003867,9.715215078000256,11.239642137999908,0.0916886049999448,11.331330742999851,0.1174615246716799,0.1174662368950217
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248773,1.863904117835944,3.474138560485788,ok,187,187.0,1.3049058279998462,1.599724740000056,1.6720216339999752,0.3331636089997118,2.005185242999687,0.0199956673296452,0.0005597136677624
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,545.477332504985,630211.0596413196,2.7283613937574773,1.837633394221996,3.376896491559854,ok,120,120.0,0.2447996519999833,0.4400030269998751,0.5213761529998919,0.0914500820003922,0.6128262350002842,0.0199956674844435,0.0005607667029946
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,24015.1960450302,15924374.031357467,2.715166756468347,1.8995241465298287,3.6081919832498746,ok,200,200.0,0.0537344270001085,0.3627968649998365,0.879839298999741,0.0923503049998544,0.9721896039995954,0.0199975006699859,0.0001987467481869
synthetic_true_func_2d_n100000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,5454.774452079139,6302111.940778754,2.7103380136756106,1.890344828133709,3.573403569251861,ok,169,169.0,0.2131688810000014,0.4835189760001412,1.0010885830001826,0.0926463910000165,1.0937349740001991,0.0199975151743144,0.000201668362777
synthetic_true_func_2d_n30000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,7204.558550054237,4777312.023860484,2.728506507819749,1.8848227408403333,3.5525567643888665,ok,253,253.0,0.0568566249999094,0.4504640639997888,0.6214966679999634,0.0909582129997943,0.7124548809997577,0.0200005121874731,0.0003488382058601
synthetic_true_func_2d_n30000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,1636.432272096108,1890633.506455327,2.71889958116457,1.8718870501081184,3.503961128362473,ok,146,146.0,0.2138945189999503,0.4512262240000382,0.6225577149998571,0.0919669859999885,0.7145247009998457,0.0200005268428755,0.0003490940408768
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,72045.58882575385,47773122.58049486,2.710025266151946,1.908689157606828,3.643094300365863,ok,245,245.0,0.0550979310000911,0.4303499259999626,1.9317563629997492,0.0912806390001605,2.02303700199991,0.0200000358797299,0.0001300051467032
synthetic_true_func_2d_n300000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,16364.323522779092,18906336.020993832,2.707521929588598,1.9002300116772357,3.610874097278865,ok,218,218.0,0.2104489280000052,0.5618977959998119,2.062736156000028,0.0906013650001114,2.1533375210001395,0.0200000349708451,0.0001277863104189
