method,time_s,rhs_rel_err,note,rhs_direct_sum_s,t_original_exact_gpu_precompute_v1_s,theta_actual,G,num_occupied_bins,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback
original,0.07217689999379218,,gpu_precompute_v1 exact GPU NUFFT (independent path),,0.07217689999379218,,,,,,,,,,,,
C0,0.08143220000783913,,GPU fused binning kernel + compaction + batched strengths cuFINUFFT on occupied centers; or exact dual type-1 on all training points when route selects it.,,,17.498004134427372,1225.0,1225.0,0.0010590000019874424,0.0010612999903969467,0.0013750999933108687,0.07359580000047572,0.001214299991261214,0.245,0.0,C0,0.0
C1,0.11960020000697114,,GPU fused binning kernel + compaction + batched strengths cuFINUFFT on occupied centers; or exact dual type-1 on all training points when route selects it.,,,17.498004134427372,1225.0,1225.0,0.0002488000027369708,0.00024969998048618436,0.0018383999995421618,0.11483980002230965,0.0015519000007770956,0.735,0.0,C1,0.0
