dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225,35,,,,,,1753,1.8951007340001524,3.076916839999967,5.350872236798508e-05,0.0200023291682395,1.0,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,1225,35,,90.0,,,,337,0.4767472749999797,1.283276442999977,0.0004317546579219,0.0200069113135328,2.3977038281844485,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q180,EigenPro-PCG,1225,35,,180.0,,,,45,0.0637192359999971,1.1390582889998768,0.0004245030313217,0.020006752872489,2.7012812862295057,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_64,Active inverse,1225,35,64.0,,64.0,81.0,,1063,1.7206990280001264,2.2282177409999804,0.0004280395386561,0.0200068253656349,1.3808869678145133,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_128,Active inverse,1225,35,128.0,,128.0,169.0,,971,1.5832578980000562,2.0908583099999305,0.0004288545763395,0.0200068418547461,1.4716046636369489,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_256,Active inverse,1225,35,256.0,,256.0,361.0,,151,0.2563228790002085,0.7638083760000427,0.000429318385382,0.020006851828447,4.028388450141577,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_512,Active inverse,1225,35,512.0,,512.0,625.0,,52,0.1011819519999335,0.6088360659998671,0.0004296086819029,0.0200068579570121,5.053769005860174,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_1024,Active inverse,1225,35,1024.0,,1024.0,1225.0,,3,0.0501511449999725,0.5578504780000912,0.0004295666099211,0.0200068570525047,5.515665866292336,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_64_q16,Box-EigenPro,1225,35,64.0,16.0,64.0,81.0,16.0,2416,3.975259191000077,4.48349700499989,0.0004153363713927,0.0200065556847498,0.6862761002335146,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_64_q32,Box-EigenPro,1225,35,64.0,32.0,64.0,81.0,32.0,1260,2.147367223999936,2.6554937240000527,0.0004198925685841,0.0200066536788085,1.1586985923525783,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_128_q16,Box-EigenPro,1225,35,128.0,16.0,128.0,169.0,16.0,1860,3.100687082999912,3.60855136500004,0.0004232082523667,0.020006725378369,0.8526736988819149,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_128_q32,Box-EigenPro,1225,35,128.0,32.0,128.0,169.0,32.0,1320,2.247108159999925,2.754804355999795,0.0004239040632026,0.0200067379696504,1.1169275354522477,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_128_q64,Box-EigenPro,1225,35,128.0,64.0,128.0,169.0,64.0,869,1.565667514000097,2.0732313339999564,0.000425867183645,0.020006779351323,1.4841165042897388,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_256_q32,Box-EigenPro,1225,35,256.0,32.0,256.0,361.0,32.0,2480,4.197540453999864,4.705741036000063,0.0004233765459305,0.0200067223970966,0.653864463951757,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_256_q64,Box-EigenPro,1225,35,256.0,64.0,256.0,361.0,64.0,1192,2.1025393380000423,2.610506022999971,0.0004240251636519,0.0200067358224681,1.1786668227886334,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_256_q128,Box-EigenPro,1225,35,256.0,128.0,256.0,361.0,128.0,454,0.9988551379999536,1.5065662449999309,0.0004288367823202,0.0200068408664629,2.04233756743973,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_512_q64,Box-EigenPro,1225,35,512.0,64.0,512.0,625.0,64.0,1071,1.918557852000049,2.4267266169999857,0.0004256025777693,0.0200067732192742,1.2679289123237838,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_512_q128,Box-EigenPro,1225,35,512.0,128.0,512.0,625.0,128.0,383,0.8813003949999256,1.388674691999995,0.0004296791908949,0.0200068595946198,2.2157218373214063,ok,btab_group_b_se_20260628_160721
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_512_q256,Box-EigenPro,1225,35,512.0,256.0,512.0,625.0,256.0,60,0.5717991819999497,1.0791796169999088,0.0004299417564903,0.0200068653111623,2.8511628569799305,ok,btab_group_b_se_20260628_160721
