dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_128_q16,c1,topk_128,16.0,128.0,169.0,169.0,1056.0,619852.5245380028,23220285.04443669,2265926.9507588586,22659269.507588584,22659269.507588584,8.913511547424387e-16,6.502183768884714e-16,43520.0,66.0,66.0,66.0,cupy,1860,1860.0,0.0487060390000806,0.0505017979999138,3.100687082999912,3.60855136500004,0.0071210779999546,3.615672442999994,0.020006725378369,0.0004232082523667
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_128_q32,c1,topk_128,32.0,128.0,169.0,169.0,1056.0,619852.5245380028,23220285.04443669,884521.3880312614,8845213.880312614,8845213.880312614,2.126699471985518e-15,9.264644454015658e-16,87040.0,98.0,98.0,98.0,cupy,1320,1320.0,0.0759895819999201,0.077829771000097,2.247108159999925,2.754804355999795,0.0132166389998928,2.768020994999688,0.0200067379696504,0.0004239040632026
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_128_q64,c1,topk_128,64.0,128.0,169.0,169.0,1056.0,619852.5245380028,23220285.04443669,138629.9813247296,1386299.8132472958,1386299.8132472958,1.1176266652318471e-14,1.1835294829290108e-15,174080.0,162.0,162.0,162.0,cupy,869,869.0,0.125658107999925,0.1274502910000592,1.565667514000097,2.0732313339999564,0.0255573389999881,2.0987886729999445,0.020006779351323,0.000425867183645
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_256_q32,c1,topk_256,32.0,256.0,361.0,361.0,864.0,13996.56075134058,456665.2918695312,885472.443795931,8854724.43795931,8854724.43795931,2.771118163132157e-15,9.95710510642157e-16,185344.0,98.0,98.0,98.0,cupy,2480,2480.0,0.0737485269999069,0.0755670270000337,4.197540453999864,4.705741036000063,0.0135489470001175,4.719289983000181,0.0200067223970966,0.0004233765459305
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_256_q64,c1,topk_256,64.0,256.0,361.0,361.0,864.0,13996.56075134058,456665.2918695312,150395.70832556195,1503957.0832556195,1503957.0832556195,6.359277353165627e-15,1.1240662803733513e-15,370688.0,162.0,162.0,162.0,cupy,1192,1192.0,0.1218596479998268,0.1236695499999314,2.1025393380000423,2.610506022999971,0.0260216890001174,2.6365277120000883,0.0200067358224681,0.0004240251636519
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_256_q128,c1,topk_256,128.0,256.0,361.0,361.0,864.0,13996.560751340585,456665.29186953127,7068.408147912048,70684.08147912048,70684.08147912048,1.258757041092967e-13,3.4089874516038957e-15,741376.0,290.0,290.0,290.0,cupy,454,454.0,0.2299609529998179,0.2318289009999716,0.9988551379999536,1.5065662449999309,0.04981481599998,1.556381060999911,0.0200068408664629,0.0004288367823202
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_512_q64,c1,topk_512,64.0,512.0,625.0,625.0,600.0,82.93137509464714,2483.7651711344733,150424.458735188,1504244.58735188,1504244.58735188,7.591305248789754e-15,1.0542350850299365e-15,641024.0,162.0,162.0,162.0,cupy,1071,1071.0,0.13076085900002,0.1327545030001147,1.918557852000049,2.4267266169999857,0.0255551239999931,2.452281740999979,0.0200067732192742,0.0004256025777693
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_512_q128,c1,topk_512,128.0,512.0,625.0,625.0,600.0,82.93137509464714,2483.7651711344733,7088.2392147457485,70882.39214745747,70882.39214745747,1.7861961595104124e-13,3.3154951933942338e-15,1282048.0,290.0,290.0,290.0,cupy,383,383.0,0.2294254769999497,0.231340173000035,0.8813003949999256,1.388674691999995,0.0528829499999119,1.441557641999907,0.0200068595946198,0.0004296791908949
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_512_q256,c1,topk_512,256.0,512.0,625.0,625.0,600.0,82.93137509464714,2483.7651711344733,18.573398734319937,185.73398734319937,185.73398734319937,2.067195326585366e-11,4.326737874643708e-14,2564096.0,546.0,546.0,546.0,cupy,60,60.0,0.4510002849999637,0.4528715760000068,0.5717991819999497,1.0791796169999088,0.0979243260001112,1.17710394300002,0.0200068653111623,0.0004299417564903
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_64_q16,c1,topk_64,16.0,64.0,81.0,81.0,1144.0,3689795.321874343,155139358.11874732,2248787.138886752,22487871.38886752,22487871.38886752,1.3004649044167318e-15,7.908097028395911e-16,20992.0,66.0,66.0,66.0,cupy,2416,2416.0,0.0490935940001691,0.0509351230000447,3.975259191000077,4.48349700499989,0.0072469489998638,4.490743953999754,0.0200065556847498,0.0004153363713927
synthetic_true_func_2d_n100000000,1e-05,btab_boxeig_topk_64_q32,c1,topk_64,32.0,64.0,81.0,81.0,1144.0,3689795.321874343,155139358.11874732,657252.8486539441,6572528.48653944,6572528.48653944,2.528740307639337e-15,8.753561038452236e-16,41984.0,80.0,80.0,80.0,cupy,1260,1260.0,0.0618276489999516,0.0637496599999849,2.147367223999936,2.6554937240000527,0.0133867800000189,2.668880504000072,0.0200066536788085,0.0004198925685841
synthetic_true_func_2d_n300000000,1e-05,btab_boxeig_topk_128_q16,c1,topk_128,16.0,128.0,169.0,169.0,1056.0,1859557.598424082,69660856.40216123,6797264.490886712,67972644.9088671,67972644.9088671,1.2031837686902454e-15,7.625916457474978e-16,43520.0,66.0,66.0,66.0,cupy,2447,2447.0,0.0573430189999726,0.1060621080000601,4.1086368199999015,5.602184949000048,0.0073879889998806,5.609572937999928,0.0200053256311488,0.0004494648964325
synthetic_true_func_2d_n300000000,1e-05,btab_boxeig_topk_128_q32,c1,topk_128,32.0,128.0,169.0,169.0,1056.0,1859557.598424082,69660856.40216123,2653438.354973072,26534383.549730714,26534383.549730714,2.038307270399173e-15,8.520528596420283e-16,87040.0,98.0,98.0,98.0,cupy,1710,1710.0,0.0727960269998675,0.0745378829999481,2.870316394000156,4.363726002000021,0.0156635030000416,4.379389505000063,0.0200053342052244,0.0004498212677518
synthetic_true_func_2d_n300000000,1e-05,btab_boxeig_topk_128_q64,c1,topk_128,64.0,128.0,169.0,169.0,1056.0,1859557.598424082,69660856.40216123,415900.570199928,4159005.701999279,4159005.701999279,1.0758844879227288e-14,1.1574822750883228e-15,174080.0,162.0,162.0,162.0,cupy,1137,1137.0,0.1222358760001043,0.1241130369999155,2.0093018620000294,3.5025810580000325,0.0258720699998775,3.52845312799991,0.0200054008000484,0.000452832710411
synthetic_true_func_2d_n300000000,1e-05,btab_boxeig_topk_256_q32,c1,topk_256,32.0,256.0,361.0,361.0,864.0,41989.683618032905,1369995.926261714,2656284.285630757,26562842.856307574,26562842.856307574,1.5133392270338877e-15,8.92311525649564e-16,185344.0,98.0,98.0,98.0,cupy,3213,3213.0,0.075190811000084,0.3170410959999117,5.568874437999966,7.06296483899996,0.0134802169998238,7.076445055999784,0.0200053595626583,0.0004510403188279
synthetic_true_func_2d_n300000000,1e-05,btab_boxeig_topk_256_q64,c1,topk_256,64.0,256.0,361.0,361.0,864.0,41989.683618032905,1369995.926261714,451196.6457122626,4511966.457122626,4511966.457122626,7.442527143369022e-15,1.0103938233837989e-15,370688.0,162.0,162.0,162.0,cupy,1609,1609.0,0.1229113950000737,0.1247372459999951,2.793533915000125,4.286261911000111,0.0260796430000027,4.312341554000113,0.0200053738453411,0.000451712781265
synthetic_true_func_2d_n300000000,1e-05,btab_boxeig_topk_256_q128,c1,topk_256,128.0,256.0,361.0,361.0,864.0,41989.683618032905,1369995.926261714,21207.62690629858,212076.2690629858,212076.2690629858,2.325245593997533e-13,3.2472892938893352e-15,741376.0,290.0,290.0,290.0,cupy,548,548.0,0.2377310940000825,0.2398043480000069,1.1672554680001213,2.66034847800006,0.0500947989999076,2.710443276999968,0.0200054024243305,0.0004529220046396
