Dataset,N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,3000,5.348415271000022,5.367684897000117,0.3955715839505806,0.9994849961650252,0.14303023626236605
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,3000,5.8969230350001,5.916548461000048,0.3955732669134599,0.9994892484829753,0.1297616750814364
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Active inverse,btab_auto_topk_1225,1225.0,1225.0,,3000,5.94870800700005,5.968177805000096,0.3955806884833511,0.9995080004562089,0.1286391364474183
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,263,0.5916422939999393,0.6108032590000221,0.3956503083215226,0.9996839078937273,1.2569370377243403
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,25,0.2860483389999899,0.3056687319999582,0.3956503063336417,0.9996839028709774,2.5116773769322465
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q128,768.0,961.0,128.0,5,0.2416225009999379,0.2612018629999966,0.3956503074773185,0.999683905760689,2.9392640243146766
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,3000,5.249132011000029,5.314371165000011,0.3829819094312203,1.0021853736500506,0.3344962139090646
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,3000,5.888749297000004,5.9617691099999774,0.3829745025172242,1.0021659912701313,0.2981727405407713
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Active inverse,btab_auto_topk_1225,1225.0,1225.0,,3000,5.938879004,6.011560265000071,0.3829735141431642,1.0021634048972448,0.2957031046248669
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,739,1.399575170999924,1.4735576030000177,0.3820846527104168,0.999837436215267,1.206357342516448
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,66,0.3636482980000437,0.4315494449999733,0.3820846495851628,0.9998374280371161,4.119196663548295
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q128,768.0,961.0,128.0,7,0.2500528200000644,0.3154880420001973,0.3820846529174142,0.9998374367569369,5.634562320428286
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,3000,5.152432087000079,5.666465053000138,0.3672080425615684,1.007062695973822,0.8623783509284644
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,3000,5.766648628999974,6.280277676999958,0.3672400304936574,1.0071504224105947,0.7780924728688656
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Active inverse,btab_auto_topk_1225,1225.0,1225.0,,3000,5.758810205999907,6.27250799300009,0.3672418552665824,1.0071554268237022,0.7790562871268328
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,1926,3.414304207999976,3.92791589400008,0.3645333807744503,0.9997274750691718,1.2440787735461458
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,209,0.6469383749999906,1.160297317999948,0.3645334139564916,0.9997275660704357,4.211538467074394
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q128,768.0,961.0,128.0,14,0.26200588100005,0.7754139490000398,0.3645333992071362,0.9997275256205438,6.301971733035953
