dataset_family,n_train,eps,selected_topk,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,512.0,5.367684897000117,3000.0,3000.0,3000.0,0.3951068921045179,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,512.0,5.2843031950001205,3000.0,3000.0,3000.0,0.3898227777675255,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,512.0,5.314371165000011,3000.0,3000.0,3000.0,0.3830250148958172,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,512.0,5.410576216999971,3000.0,3000.0,3000.0,0.3761317762711418,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,512.0,5.666465053000138,3000.0,3000.0,3000.0,0.3672500354794492,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,512.0,7.044920246999936,3000.0,3000.0,3000.0,0.3594149533370068,,
synthetic_true_func_2d,1000000,1e-05,512.0,0.0511241990000144,11.0,11.0,11.0,0.0049064991885329,,
synthetic_true_func_2d,3000000,1e-05,512.0,0.0733162710000669,16.0,16.0,16.0,0.0029091482511973,,
synthetic_true_func_2d,10000000,1e-05,1225.0,0.1099580420000165,4.0,4.0,4.0,0.0017027089708411,,
synthetic_true_func_2d,30000000,1e-05,1225.0,0.2079284409999218,3.0,3.0,3.0,0.0010710988537795,,
synthetic_true_func_2d,100000000,1e-05,1225.0,0.5548940029998448,3.0,3.0,3.0,0.000687616703133,,
synthetic_true_func_2d,300000000,1e-05,1225.0,1.545825005000097,3.0,3.0,3.0,0.0005649883817733,,
