dataset_family,n_train,eps,selected_topk,selected_q,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,768.0,128.0,0.2612018629999966,5.0,5.0,5.0,0.3951969478468189,1.022809583018375,1.1420391714531575e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,768.0,128.0,0.2799576129998513,5.0,5.0,5.0,0.3896628373947964,1.0684933963936238,1.2433611241238762e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,768.0,128.0,0.3154880420001973,7.0,7.0,7.0,0.3821210026365849,1.228600652829688,4.391795908728393e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,768.0,128.0,0.4164663649999056,9.0,9.0,9.0,0.3742906418622239,1.6864976836149148,1.3667436581099678e-08
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,768.0,128.0,0.7754139490000398,14.0,14.0,14.0,0.3645633460577456,3.287842637654168,8.851140482010034e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,768.0,128.0,2.0449134410000624,26.0,26.0,26.0,0.3561590499073691,7.863207293447645,4.338506984192165e-09
synthetic_true_func_2d,1000000,1e-05,768.0,128.0,0.3908798790000674,70.0,70.0,70.0,0.0049062381071571,709.2674565565884,1.526165760012265e-13
synthetic_true_func_2d,3000000,1e-05,768.0,128.0,0.4533104620002177,98.0,98.0,98.0,0.0029089634202176,2125.710994786749,2.174352482732604e-13
synthetic_true_func_2d,10000000,1e-05,768.0,128.0,0.5690914689998863,143.0,143.0,143.0,0.0017023286257105,7086.55689057427,2.241008617443394e-13
synthetic_true_func_2d,30000000,1e-05,768.0,128.0,0.7565319180000643,203.0,203.0,203.0,0.0010718674564087,21268.167269345835,2.855323838523342e-13
synthetic_true_func_2d,100000000,1e-05,768.0,128.0,1.2093651619998127,266.0,266.0,266.0,0.0006881338697814,70883.30065609599,2.603880345867e-13
synthetic_true_func_2d,300000000,1e-05,768.0,128.0,2.4038079800000105,352.0,352.0,352.0,0.0005663849914495,212674.0575708583,3.4172052549621e-13
