M,S_kind,active_mode,active_size,active_tau,active_topk,box_memory_bytes,box_radii,box_shape,box_size,btab_active_mode,btab_active_size_raw,btab_active_tau,btab_active_topk,btab_box_budget,btab_box_size,btab_diagnostic_mode,btab_diagnostic_power_iter,btab_diagnostic_tol,btab_eig_apply_batch_cols,btab_eig_backend,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_maxiter,btab_eig_n_ABB_matvec_cols,btab_eig_n_eig_matvec,btab_eig_ncv,btab_eig_ncv_actual,btab_eig_q,btab_eig_size_S,btab_eig_size_T,btab_eig_storage_bytes,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,btab_eig_tol,btab_exact_apply_mode,btab_exact_box_max_size,btab_inner_maxiter,btab_inner_precond,btab_inner_tol,btab_outer_gmres_restart,btab_outer_solver,btab_solve_mode,cg_iters,cg_n_matvec,cg_relres,chol_memory_bytes,chunk_size,coord_nystrom_gamma,dataset_dim,dataset_stem,debug_finite_checks,device_name,diagnostic_mode,diagnostic_n_ASS_matvec,diagnostic_n_A_matvec,diagnostic_n_eig_matvec,diagnostic_n_matvec,diagnostic_n_power_iter,diagnostic_n_precond,dim,efgp_matrix_dim,eig_block_size,eig_n_iter,eig_nystrom_kernel_s,eig_residual_cols_rel,eig_residual_fro,eig_residual_fro_rel,eig_residual_max,eig_residual_median,eigen_apply_A_block_calls,eigen_n_matvec,eigen_t_matvec_avg,eigen_t_matvec_total,eps,epsilon_T,error_message,error_type,eta_eig,eta_eig_sq,eta_inv,eta_inv_sq,eta_inv_status,exact_apply_mode,gamma,has_nufft,injected_eps_coord_topq,inner_last_relres,inner_max_iters,inner_maxiter,inner_precond,inner_tol,inner_total_iters,inner_total_matvec,inner_total_precond,inverse_memory_bytes,is_warmup,iterations,kernel_family,kernel_lengthscale,kernel_nu,kernel_variance,lambda1_coord_nystrom,local_fft_memory_bytes,maxiter,method,mtot,n_matvec,n_precond,n_test,n_train,nufft_backend,nufft_stage,outer_gmres_restart,outer_iters,outer_relres,outer_solver,outer_status,precond_apply_calls,precond_kind,profile_components,reg_lambda,repeat_idx,rho_max_T,rmse_test,rmse_train,run_seed,sigma2_equiv_reg_lambda,solve_mode,status,surrogate_tag,t_matvec_avg,t_matvec_total,t_precond_avg,t_precond_total,tail_energy,tail_size,theta_coord_topq,theta_q1_over_sigma2,time_active_set,time_box_gather_avg,time_box_gather_total,time_box_scatter_avg,time_box_scatter_total,time_box_solve_avg,time_box_solve_total,time_build_Ag,time_build_box_matrix,time_build_inverse,time_build_local_fft,time_cholesky,time_diag_avg,time_diag_total,time_eig_setup,time_eigenspace,time_post_diagnostics,time_precompute,time_precond_build,time_predict,time_solve,time_symmetrize_regularize,time_total,time_total_with_diagnostics,tol,top_q,traceback,version
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,790,8.807050485291738e-07,,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,,,,,,,,,0,0,,,1e-05,,,,,,,,,,,True,,,,,,,,,,,False,789.0,matern,0.1,1.5,1.0,,,6000,plain_cg,189,790,,1000,1000000,cufinufft,cufinufft,,,,,,,,True,0.1,0,,0.0012503656759942816,0.019936857642404614,0,,,ok,,0.0015530397466205568,1.2269013998302398,,,,,,,,,,,,,,,,,,,,,,,,0.34940710000228137,,0.022128599986899644,1.8765580000035698,,2.225966400001198,,1e-06,,,v1
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,351,8.834220831484418e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,53,3,nan,,2331.582765226451,0.016285268710267146,,,5,257,0.00137670227525763,0.35381248474121096,1e-05,,,,,,,,,,,True,[],,,,,,,,,,False,350.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q45,189,351,350,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0012667516490841421,0.019936359165199594,0,,,ok,,0.0015156925925381344,0.5320080999808852,0.0004248199997735875,0.14868699992075562,,,[],,,,,,,,,,,,,,,,,0.6005070999963209,,0.07263280000188388,0.0006185999955050647,0.021537000007811002,1.0306213000003481,,1.704379799994058,,1e-06,45,,v3
35721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,213,7.884008931212539e-07,,,nan,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,,,,,,,,2,35721,98,3,nan,,938.6877381731978,0.006496306931801236,,,5,482,0.00139579272764847,0.6727720947265625,1e-05,,,,,,,,,,,True,[],,,,,,,,,,False,212.0,matern,0.1,1.5,1.0,nan,,6000,eigenpro_pcg_q90,189,213,212,1000,1000000,cufinufft,binned_c1,,,,,,,full_eigenpro,True,0.1,0,,0.0012678206128343072,0.019936300700775227,0,,,ok,,0.0015007643190462867,0.3196627999568591,0.0007766976419623221,0.16465990009601228,,,[],,,,,,,,,,,,,,,,,1.4068530000076862,,0.06845890000113286,0.0004698999982792884,0.022001999997883104,0.6927783999999519,,2.1685602000070503,,1e-06,90,,v3
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,10000,625,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,186,187,9.776684720575827e-07,6250000,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.921056339067284,,,,,1.8683819112803728,3.490850966399699,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,186.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_512,189,187,186,1000,1000000,cufinufft,binned_c1,50,186,9.776684720575827e-07,pcg,converged,186,,True,0.1,0,1313.5162514399249,0.0012663057936087537,0.019936062182560707,0,0.1,exact,ok,,0.0015558374321641012,0.2909415998146869,0.0008372688169656222,0.15573199995560572,462889.78707640665,35096,,,0.0025661999970907345,6.895967754810768e-05,0.012826500023948029,7.670483913683202e-05,0.014267100079450756,0.0005448473118601106,0.10134160000598058,0.024321999997482635,0.014110199990682304,-0.024321999997482635,0.0,0.009409200007212348,9.868978433528795e-05,0.01835629988636356,,,0.21891989999858197,0.0710730999999214,0.02846910001244396,0.021561699992162175,0.671242299998994,0.0008025999995879829,0.7423153999989154,0.9612352999974973,1e-06,,,v6_btab
35721,expanded_box,topk,1024,,1024,0,"[18, 18]","[37, 37]",1369,topk,1024,,1024,10000,1369,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,91,92,9.819442427057308e-07,29986576,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.8394050022110275,,,,,1.8063859279535721,3.2630301207086876,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,91.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_1024,189,92,91,1000,1000000,cufinufft,binned_c1,50,91,9.819442427057308e-07,pcg,converged,91,,True,0.1,0,240.1514296249552,0.0012661960952070987,0.019936074460741242,0,0.1,exact,ok,,0.0015420032611038314,0.14186430002155248,0.001810440659787823,0.1647501000406919,159243.36646233394,34352,,,0.002319600011105649,6.623186873384639e-05,0.006027100054780021,7.992747187317646e-05,0.007273399940459058,0.0015248703296362822,0.13876319999690168,0.1244585999957053,0.06688300000678282,-0.1244585999957053,0.0,0.05402089998824522,9.36692308092101e-05,0.008523900003638119,,,0.20416320000367705,0.072190100006992,0.12903229999938048,0.022393400009605102,0.5298466999956872,0.0035547000006772578,0.6020368000026792,0.8062000000063563,1e-06,,,v6_btab
35721,expanded_box,topk,1536,,1536,0,"[22, 22]","[45, 45]",2025,topk,1536,,1536,10000,2025,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,67,68,8.501827972661123e-07,65610000,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.774241937820836,,,,,1.7542423009419392,3.0773660504140694,ok,chol_solve,999999.9999990036,True,,nan,0,50,diag,0.001,0,0,0,0,False,67.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_1536,189,68,67,1000,1000000,cufinufft,binned_c1,50,67,8.501827972661123e-07,pcg,converged,67,,True,0.1,0,97.93905928877716,0.0012659162905137838,0.01993603601765243,0,0.1,exact,ok,,0.0014736161784265492,0.10020590013300534,0.0031239149247994646,0.20930229996156413,90909.28754897934,33696,,,0.0026742999907583,7.362686659716793e-05,0.004933000062010251,7.900895543028114e-05,0.005293600013828836,0.002831531342582902,0.18971259995305445,0.26224869998986833,0.11467769999580923,-0.26224869998986833,0.0,0.13946609999402426,9.695970155333461e-05,0.006496300004073419,,,0.24206460001005325,0.0708124999946449,0.2672984999953769,0.021548700009589083,0.6420199999993201,0.008104900000034831,0.712832499993965,0.9548971000040183,1e-06,,,v6_btab
35721,expanded_box,topk,2048,,2048,0,"[25, 25]","[51, 51]",2601,topk,2048,,2048,10000,2601,full,30,0.01,,,,,,,,,,,,,,,,,chol_solve,4096,50,diag,0.001,50,auto,auto,57,58,8.583678946250583e-07,108243216,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,0,93,0,93,60,31,2,35721,,,,,,,,,,,,,1e-05,2.731338618741146,,,,,1.716858723973341,2.947603878083369,ok,chol_solve,999999.9999990035,True,,nan,0,50,diag,0.001,0,0,0,0,False,57.0,matern,0.1,1.5,1.0,,0,6000,btab_auto_topk_2048,189,58,57,1000,1000000,cufinufft,binned_c1,50,57,8.583678946250583e-07,pcg,converged,57,,True,0.1,0,54.547616521329715,0.0012655525452139327,0.019936053564873032,0,0.1,exact,ok,,0.0015271086216169603,0.08857230005378369,0.004649208772063598,0.2650049000076251,63020.96672492493,33120,,,0.002307699993252754,7.024912236119507e-05,0.0040041999745881185,9.349298284576977e-05,0.005329100022208877,0.004337629824652124,0.24724490000517108,0.4814520000072662,0.18170640000607818,-0.4814520000072662,0.0,0.2858512999955565,9.220877351860206e-05,0.005255900090560317,,,0.30265940001117997,0.07013419999566395,0.4852738000045065,0.021542999995290302,0.9000260000029812,0.013894300005631521,0.9701601999986451,1.272819600009825,1e-06,,,v6_btab
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,10000,625,full,30,0.01,,cupy,4.068785442534506e-15,9.920974340114576e-16,320,162,162,,162,64,625,35096,641024,2514.3502241995316,25143.502241995313,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,235,236,9.707172462760908e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,64,93,64,157,60,31,2,35721,,,,,,,4.068785442534506e-15,9.920974340114576e-16,,,,,1e-05,2.921056339067285,,,0.9205164773889446,0.8473505851445513,,,,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,235.0,matern,0.1,1.5,1.0,,38416,6000,btab_boxeig_topk_512_q64,189,236,235,1000,1000000,cufinufft,binned_c1,50,235,9.707172462760908e-07,pcg,converged,235,,True,0.1,0,1313.5162514399249,0.0012650164363387072,0.019936079348640334,0,0.1,boxeig,ok,,0.0014927491524219275,0.3522887999715749,0.0005825804256675567,0.13690640003187582,462889.78707640665,35096,,25143.502241995313,0.002157400012947619,6.558085120520851e-05,0.015411500033224002,6.0130638055543e-05,0.014130699943052605,0.0003294825530982517,0.07742839997808915,0.1826613000012003,0.0,0.0,0.001414199999999255,0.0,9.017446768182786e-05,0.021190999905229546,0.18124710000120103,,0.20360599999548867,0.07027589999779593,0.1855310999962967,0.02165370000875555,0.8935644000011962,0.0,0.9638402999989921,1.1674462999944808,1e-06,,,v7_btab_boxeig
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,10000,625,full,30,0.01,,cupy,1.7004751924594777e-14,1.7410047287762744e-15,640,290,290,,290,128,625,35096,1282048,681.6421711735619,6816.421711735618,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,210,211,9.980131766365126e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,128,93,128,221,60,31,2,35721,,,,,,,1.7004751924594777e-14,1.7410047287762744e-15,,,,,1e-05,2.921056339067285,,,1.299007089778043,1.6874194192936205,,,,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,210.0,matern,0.1,1.5,1.0,,38416,6000,btab_boxeig_topk_512_q128,189,211,210,1000,1000000,cufinufft,binned_c1,50,210,9.980131766365126e-07,pcg,converged,210,,True,0.1,0,1313.5162514399249,0.0012651385919250084,0.019936030943984502,0,0.1,boxeig,ok,,0.0015331208527279065,0.32348849992558826,0.0006368509524257943,0.1337387000094168,462889.78707640665,35096,,6816.421711735618,0.0021656000026268885,6.901190444339245e-05,0.014492499933112413,6.223238077447084e-05,0.013068799962638877,0.0003679814287655366,0.07727610004076269,0.35522800000035204,0.0,0.0,0.001223200000822544,0.0,9.517523867543786e-05,0.019986800121841952,0.3540047999995295,,0.24032949999673292,0.07306169999355916,0.3581541000021389,0.0219230999937281,1.0242297000077087,0.0,1.097291400001268,1.3376208999980008,1e-06,,,v7_btab_boxeig
35721,expanded_box,topk,512,,512,0,"[12, 12]","[25, 25]",625,topk,512,,512,10000,625,full,30,0.01,,cupy,5.363416253537206e-14,2.1702594662670305e-15,960,418,418,,418,192,625,35096,1923072,109.84655724987468,1098.4655724987467,0.001,boxeig,4096,50,diag,0.001,50,auto,boxeig,170,171,8.846361534854038e-07,0,,,2,synthetic_true_func_2d_n1000000,False,NVIDIA GeForce RTX 3050 Laptop GPU,full,192,93,192,285,60,31,2,35721,,,,,,,5.363416253537206e-14,2.1702594662670305e-15,,,,,1e-05,2.9210563390672846,,,1.767568815959401,3.1242995191521183,,,,boxeig,999999.9999990036,True,,nan,0,0,,nan,0,0,0,0,False,170.0,matern,0.1,1.5,1.0,,38416,6000,btab_boxeig_topk_512_q192,189,171,170,1000,1000000,cufinufft,binned_c1,50,170,8.846361534854038e-07,pcg,converged,170,,True,0.1,0,1313.5162514399249,0.0012664544132304839,0.019936059277188545,0,0.1,boxeig,ok,,0.0015273748534324453,0.26118109993694816,0.0006312599997994873,0.10731419996591285,462889.78707640665,35096,,1098.4655724987467,0.002180800001951866,6.783529397045427e-05,0.011531999974977225,6.362411796170122e-05,0.010816100053489208,0.00036560705878347266,0.062153199993190356,0.5308860999939498,0.0,0.0,0.0014059999957680702,0.0,9.306647056398694e-05,0.01582129999587778,0.5294800999981817,,0.27415800000017043,0.06950840000354219,0.5335067999985768,0.021650399998179637,1.0712723999895388,0.0,1.140780799993081,1.4149387999932515,1e-06,,,v7_btab_boxeig
