dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,eta_eig,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,2250,,,6.080590500001563,7.311033100006171,,,0.0311743814146923
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,720.4558888598436,477731.2262291375,7.294641315144398,,1.2510762616754385,19595.849402133437,8.856611834235414e-15,608,608.0,0.3900034999824129,2.5404049000062514,2.790768900013063,0.3002757000213023,3.091044600034365,0.0310974372084009
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,720.4558888598436,477731.2262291375,7.294641315144397,3.2084222490828807,,,,248,248.0,0.1169509000028483,1.3284023000160232,1.9431202000123449,0.2411338999809231,2.184254099993268,0.0310974465140336
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,163.64323537302514,189063.3603831785,6.659925207394539,3.2221909385766407,,,,140,140.0,0.5293910000182223,1.6410649000026751,2.296157700009644,0.3377851000113878,2.633942800021032,0.0310974039221016
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.6411880953076405,3.1089012491750823,,,,69,69.0,10.50524040000164,28.7608250999765,29.42888110000058,8.523551399994176,37.95243249999476,0.031097437529383
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,35096.0,3940.556332250379,1388672.4014117874,7.621116718924883,3.0957921696019484,,,,487,487.0,0.0261462999915238,1.8387187999906016,2.467808399989736,0.2091605000023264,2.676968899992062,0.031097445981309
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,350,,0.0007078000053297,1.039777199999662,1.7695052000053693,,,0.0012667367921677
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,212,,0.000535300001502,0.7335770000063349,2.2302475000033155,,,0.0012678231911483
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,788,,,1.862945000000764,2.161770600010641,,,0.0012503883705249
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,240.1514296249552,159243.36646233394,2.839405002211028,,0.8840375934997834,6912.003545512328,1.0322402461280626e-14,116,116.0,0.4716643999854568,0.8674702999996953,1.1165100999933202,0.3226277999929152,1.4391378999862354,0.0012631436138648
