dataset_stem,eps,method,route,precompute_mode,selector_tag,S_kind,btab_active_size_raw,btab_box_size,active_size,box_size,tail_size,rho_max_T,tail_energy,epsilon_T,btab_diagnostic_mode,time_post_diagnostics,time_total_with_diagnostics,diagnostic_n_matvec,diagnostic_n_A_matvec,diagnostic_n_ASS_matvec,diagnostic_n_precond,diagnostic_n_eig_matvec,diagnostic_n_power_iter
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_4096,inverse,c1,topk_4096,expanded_box,4096.0,5329.0,4096.0,5329.0,30392.0,9.83852065960661,21241.346961770272,2.4296804987506406,full,5.83819000000949,17.209011200029636,93.0,93.0,0.0,31.0,0.0,60.0
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_512,inverse,c1,topk_512,expanded_box,512.0,625.0,512.0,625.0,35096.0,1313.5162514399249,462889.78707640665,2.921056339067285,full,0.1734243000100832,0.9609066000266466,93.0,93.0,0.0,31.0,0.0,60.0
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_1024_q128,boxeig,c1,topk_1024,expanded_box,1024.0,1369.0,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248777,full,0.3181964000104926,2.3851107000082266,221.0,93.0,128.0,31.0,128.0,60.0
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_1024,inverse,c1,topk_1024,expanded_box,1024.0,1369.0,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248777,full,0.233453399996506,2.185897799994564,93.0,93.0,0.0,31.0,0.0,60.0
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_2048,inverse,c1,topk_2048,expanded_box,2048.0,2601.0,2048.0,2601.0,33120.0,545.477332504985,630211.0596413197,2.7283613937574773,full,0.3373642000078689,2.781069300021045,93.0,93.0,0.0,31.0,0.0,60.0
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_4096,inverse,c1,topk_4096,expanded_box,4096.0,5329.0,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.674507350065458,full,6.599784399993951,24.64870859999792,93.0,93.0,0.0,31.0,0.0,60.0
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_512,inverse,c1,topk_512,expanded_box,512.0,625.0,512.0,625.0,35096.0,13135.185441948206,4628907.069044906,2.762861457557889,full,0.2043895999959204,2.3571179999853484,93.0,93.0,0.0,31.0,0.0,60.0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_1024_q128,boxeig,c1,topk_1024,expanded_box,1024.0,1369.0,1024.0,1369.0,34352.0,720.4550297588038,477730.6211788942,2.790658341840177,full,0.2820532000041567,1.8926059000077655,221.0,93.0,128.0,31.0,128.0,60.0
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_1024,inverse,c1,topk_1024,expanded_box,1024.0,1369.0,1024.0,1369.0,34352.0,720.4550297588038,477730.6211788942,2.790658341840177,full,0.2646325000096112,1.5728806999977678,93.0,93.0,0.0,31.0,0.0,60.0
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_2048,inverse,c1,topk_2048,expanded_box,2048.0,2601.0,2048.0,2601.0,33120.0,163.6430282154797,189063.11327739028,2.742519728549874,full,0.3407408999919425,2.140223399968818,93.0,93.0,0.0,31.0,0.0,60.0
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_4096,inverse,c1,topk_4096,expanded_box,4096.0,5329.0,4096.0,5329.0,30392.0,29.51559534762896,63724.11403807059,2.6066564905600496,full,8.058130999997957,28.968442500015957,93.0,93.0,0.0,31.0,0.0,60.0
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_512,inverse,c1,topk_512,expanded_box,512.0,625.0,512.0,625.0,35096.0,3940.552263332592,1388670.769006471,2.81831287410087,full,0.214104499988025,1.8649813999654723,93.0,93.0,0.0,31.0,0.0,60.0
