dataset_stem,eps,method,precompute_mode,selector_tag,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,eta_inv_sq,eta_inv_status,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,240.15196295342736,159243.74207647608,5.965348978769048,3.06818593329006,9.413764921238991,ok,154,154.0,0.1150042999943252,0.9008013000129722,1.2116146000043957,0.3360891999909654,1.547703799995361,0.0349148643136621,0.0355266716639154
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,54.5477451243749,63021.1201277645,5.690954425193259,3.0281045245554936,9.16941701163345,ok,90,90.0,0.4925486999854911,1.221677900000941,1.4601168000081088,0.3522933999774977,1.8124101999856064,0.034914831909431,0.0355266295178468
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,9.838544680288264,21241.399621101573,4.931851559891996,2.637845186799576,6.95822722952169,ok,46,46.0,4.594662699993933,13.478751699993154,13.7360531000013,6.133636200014735,19.869689300016034,0.0349148244571432,0.0355266373056851
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,35096.0,1313.518777417592,462890.8004708774,6.388460870011981,2.9635431788641697,8.782588172992348,ok,301,301.0,0.0240426999807823,1.2410636999993585,1.4794832000043243,0.2156547000049613,1.6951379000092857,0.0349148867222873,0.0355266798115206
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,2401.5196295323567,1592437.420763489,8.15425851300327,3.3691724602817814,11.351323067121193,ok,365,365.0,0.1230641000147443,1.931229199981317,2.954102599993348,0.2868648000003304,3.2409673999936786,0.0284772756080985,0.0286150065922644
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,545.4774512433136,630211.2012771419,7.675905947125051,3.4526477146858903,11.9207762417257,ok,227,227.0,0.5010531000152696,2.387981500010937,3.412253400019836,0.3726208999869413,3.784874300006777,0.0284772787085377,0.0286150120264839
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,98.38544680280414,212413.99621084624,6.861776467400548,3.4671591161735145,12.021192336865107,ok,113,113.0,6.481208100012736,33.2357610000181,34.220587999996496,7.110073899995768,41.330661899992265,0.0284772862596878,0.0286150224348316
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,35096.0,13135.187774165435,4628908.00470508,8.42439688004141,3.2279805915996147,10.4198586997438,ok,773,773.0,0.0236181000072974,2.9567839999799617,3.913628599984804,0.2061816000204999,4.119810200005304,0.0284772921107243,0.0286150209409946
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,720.4558888598436,477731.2262291375,7.294641315144397,3.2084222490828807,10.29397332841005,ok,248,248.0,0.1169509000028483,1.3284023000160232,1.9431202000123449,0.2411338999809231,2.184254099993268,0.0306543187269958,0.0310974465140336
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,163.64323537302514,189063.3603831785,6.659925207394539,3.2221909385766407,10.382514444645414,ok,140,140.0,0.5293910000182223,1.6410649000026751,2.296157700009644,0.3377851000113878,2.633942800021032,0.0306542803667363,0.0310974039221016
