method,time_s,rhs_rel_err,note,rhs_direct_sum_s,t_original_exact_gpu_precompute_v1_s,theta_actual,G,num_occupied_bins,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback
original,3.119345256000088,,gpu_precompute_v1 exact GPU NUFFT (independent path),,3.119345256000088,,,,,,,,,,,,
C1,2.3768626589999258,,GPU fused binning kernel + compaction + batched strengths cuFINUFFT on occupied centers; or exact dual type-1 on all training points when route selects it.,,,55.25197246619399,1225.0,1225.0,0.09748091499977818,0.09748285199975726,1.371029247000024,0.7923685250002563,0.0013057389996902202,0.735,0.0,C1,0.0
