method,time_s,rhs_rel_err,note,rhs_direct_sum_s,t_original_exact_gpu_precompute_v1_s,theta_actual,G,num_occupied_bins,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback
original,0.10190010000951588,,gpu_precompute_v1 exact GPU NUFFT (independent path),,0.10190010000951588,,,,,,,,,,,,
C0,0.047648999985540286,,GPU fused binning kernel + compaction + batched strengths cuFINUFFT on occupied centers; or exact dual type-1 on all training points when route selects it.,,,17.498004134427372,1225.0,1225.0,0.00024179997853934765,0.00024259998463094234,0.001353600004222244,0.040116699994541705,0.0008465000137221068,0.245,0.0,C0,0.0
C1,0.1279964999994263,,GPU fused binning kernel + compaction + batched strengths cuFINUFFT on occupied centers; or exact dual type-1 on all training points when route selects it.,,,17.498004134427372,1225.0,1225.0,0.0012660999782383442,0.00126680001267232,0.0013470000121742487,0.12184180002077483,0.0008705999935045838,0.735,0.0,C1,0.0
