run_id,timestamp,mode,top_q,N,eps,repeat_idx,repeat_count,precompute_method,time_precompute,time_precompute_NUFFT,time_precompute_binned,rhs_rel_err,theta_actual,G,num_occupied_bins,status,error,rhs_direct_sum_s,t_original_exact_gpu_precompute_v1_s,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback
20260505_175038_precompute_only_pcmoriginal_q0_N100000_rep0,2026-05-05T17:50:39.781140,precompute_only,0,100000,1e-05,0,5,original,0.09477210001205094,0.09477210001205094,,,,,,ok,,,0.09477210001205094,,,,,,,,nan,
20260505_175038_precompute_only_pcmc0_q0_N100000_rep0,2026-05-05T17:50:39.781140,precompute_only,0,100000,1e-05,0,5,c0,0.04650159997981973,,0.04650159997981973,,5.516534344228107,12321.0,12320.0,ok,,,,0.0003634000022429973,0.00036380000528879464,0.0012287000135984272,0.04226469999412075,0.0006813000072725117,0.2464,0.0,C0,0.0
20260505_175038_precompute_only_pcmc1_q0_N100000_rep0,2026-05-05T17:50:39.781140,precompute_only,0,100000,1e-05,0,5,c1,0.07049030001508072,,0.07049030001508072,,5.516534344228107,12321.0,12320.0,ok,,,,0.00041619999683462083,0.00041700000292621553,0.0012768000015057623,0.06698400000459515,0.00036419997923076153,0.7392,0.0,C1,0.0
20260505_175038_precompute_only_pcmoriginal_q0_N100000_rep1,2026-05-05T17:50:40.456645,precompute_only,0,100000,1e-05,1,5,original,0.07116069999756292,0.07116069999756292,,,,,,ok,,,0.07116069999756292,,,,,,,,nan,
20260505_175038_precompute_only_pcmc0_q0_N100000_rep1,2026-05-05T17:50:40.456645,precompute_only,0,100000,1e-05,1,5,c0,0.037763700005598366,,0.037763700005598366,,5.5165671534752425,12321.0,12317.0,ok,,,,0.00039999998989515007,0.0004003999929409474,0.0010972000018227845,0.03194919999805279,0.0007014999864622951,0.24634,0.0,C0,0.0
20260505_175038_precompute_only_pcmc1_q0_N100000_rep1,2026-05-05T17:50:40.456645,precompute_only,0,100000,1e-05,1,5,c1,0.07244649998028763,,0.07244649998028763,,5.5165671534752425,12321.0,12317.0,ok,,,,0.00040920000174082816,0.0004096000047866255,0.001209600013680756,0.06851899999310263,0.0008334999729413539,0.73902,0.0,C1,0.0
20260505_175038_precompute_only_pcmoriginal_q0_N100000_rep2,2026-05-05T17:50:41.123340,precompute_only,0,100000,1e-05,2,5,original,0.06597309999051504,0.06597309999051504,,,,,,ok,,,0.06597309999051504,,,,,,,,nan,
20260505_175038_precompute_only_pcmc0_q0_N100000_rep2,2026-05-05T17:50:41.123340,precompute_only,0,100000,1e-05,2,5,c0,0.0341506999975536,,0.0341506999975536,,5.51651805632413,12321.0,12316.0,ok,,,,0.00036669999826699495,0.0003671000013127923,0.0011525999871082604,0.03078620001906529,0.00039400000241585076,0.24632,0.0,C0,0.0
20260505_175038_precompute_only_pcmc1_q0_N100000_rep2,2026-05-05T17:50:41.123340,precompute_only,0,100000,1e-05,2,5,c1,0.07254860000102781,,0.07254860000102781,,5.51651805632413,12321.0,12316.0,ok,,,,0.00046549999387934804,0.00046629999997094274,0.0018272000015713274,0.06817559999763034,0.0006503000040538609,0.73896,0.0,C1,0.0
20260505_175038_precompute_only_pcmoriginal_q0_N100000_rep3,2026-05-05T17:50:41.833780,precompute_only,0,100000,1e-05,3,5,original,0.0635642999841366,0.0635642999841366,,,,,,ok,,,0.0635642999841366,,,,,,,,nan,
20260505_175038_precompute_only_pcmc0_q0_N100000_rep3,2026-05-05T17:50:41.833780,precompute_only,0,100000,1e-05,3,5,c0,0.03605799999786541,,0.03605799999786541,,5.516517891438353,12321.0,12321.0,ok,,,,0.0004042999935336411,0.00040550000267103314,0.0015619999903719872,0.032159099995624274,0.0004275999963283539,0.24642,0.0,C0,0.0
20260505_175038_precompute_only_pcmc1_q0_N100000_rep3,2026-05-05T17:50:41.833780,precompute_only,0,100000,1e-05,3,5,c1,0.06699989998014644,,0.06699989998014644,,5.516517891438353,12321.0,12321.0,ok,,,,0.0004062000080011785,0.0004065999819431454,0.0013128999853506684,0.06320649999543093,0.0006406999891623855,0.73926,0.0,C1,0.0
20260505_175038_precompute_only_pcmoriginal_q0_N100000_rep4,2026-05-05T17:50:42.481862,precompute_only,0,100000,1e-05,4,5,original,0.06432679999852553,0.06432679999852553,,,,,,ok,,,0.06432679999852553,,,,,,,,nan,
20260505_175038_precompute_only_pcmc0_q0_N100000_rep4,2026-05-05T17:50:42.481862,precompute_only,0,100000,1e-05,4,5,c0,0.034015300014289096,,0.034015300014289096,,5.516505438915954,12321.0,12315.0,ok,,,,0.000365100015187636,0.0003656999906525016,0.001209399983054027,0.03015959999174811,0.0007088999846018851,0.2463,0.0,C0,0.0
20260505_175038_precompute_only_pcmc1_q0_N100000_rep4,2026-05-05T17:50:42.481862,precompute_only,0,100000,1e-05,4,5,c1,0.07171079999534413,,0.07171079999534413,,5.516505438915954,12321.0,12315.0,ok,,,,0.0004008999967481941,0.00040190000436268747,0.001508099987404421,0.06769279998843558,0.0006394000083673745,0.7389,0.0,C1,0.0
