dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1336.0,1336.0,1337.0,1337.0,,0.0326081030000295,,,1.4012328590001744,0.0124430849998589,1.4338414360001934,0.1489405052038269,0.1495681369351534,9.100243387504076e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,plain_cg,cg_baseline,original/default,,1488.0,1488.0,1489.0,1489.0,,0.0337560899999971,,,1.5642273060000207,0.0121926990000247,1.5979839049998643,0.0351715243433718,0.0357788363067326,9.917988720216429e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,173.0,173.0,174.0,174.0,173.0,0.0181910300000254,0.2995856509999157,0.0002939979999609,0.244781562000071,0.0124545070000294,0.5628522409999732,0.1488845434504401,0.1495137008970647,8.226327642946539e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,368.0,368.0,369.0,369.0,368.0,0.030628267000111,0.4727241069999763,0.0002966500001093,0.6842481629998929,0.0124531359999764,1.1878971870000896,0.0349152160918255,0.0355270877213638,9.824034563292484e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,25.0,25.0,26.0,26.0,25.0,0.0185165590000906,0.5674742629998946,0.0002912209999976,0.0356648530000711,0.0123617379999814,0.621946896000054,0.1488846217513869,0.1495140194419655,6.481745556362472e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,189.0,189.0,190.0,190.0,189.0,0.0303385370000341,1.0332020060000104,0.0003282350000972,0.4413646240000162,0.0126247169998805,1.505233402000158,0.0349153338409589,0.0355272512067052,9.413652119271716e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,3318.0,3318.0,3319.0,3319.0,,0.2578805670000292,,,3.459354641999994,0.0925330510000321,3.7172356910000417,0.1371601006131739,0.1372449483723857,8.433672712805335e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,3536.0,3536.0,3537.0,3537.0,,0.2564142270000502,,,3.745547589000012,0.0920574399999623,4.001962509000009,0.0285096646140808,0.0286473414043126,9.189569844573112e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,413.0,413.0,414.0,414.0,413.0,0.0590140719999681,0.2961922540000614,0.0003210969999827,0.580732545999922,0.0928651730000638,0.9362599689999342,0.1370929034615603,0.1371783749845543,9.877841543602723e-07,ok
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,865.0,865.0,866.0,866.0,865.0,0.1036009379999995,0.4739819630000284,0.0003227459999379,1.6129258750000872,0.0920313179999539,2.190831522000053,0.0284789015690164,0.0286166528276459,9.386397699368628e-07,ok
