dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source,selection_note
synthetic_true_func_2d_n30000000,30000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_2048_q128,Box-EigenPro,35721.0,189.0,2048.0,128.0,2048.0,2601.0,128.0,169.0,0.546466574999954,0.7437174929999628,0.0003531334826223,0.0200005870241666,2.5769275148676027,ok,btab_group_a_se_matern_20260627_161839,selected by min time_total under 1.1x EFGP-CG RMSE
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225.0,35.0,,,,,,484.0,0.503941167999983,0.5364591889999701,0.00037978037054,0.0200038804518617,1.0,ok,btab_group_a_se_matern_20260627_161839,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n1000000,1000000,SE,,SE,,0.1,1e-05,0.1,--,EigenPro-PCG,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n1000000,1000000,SE,,SE,,0.1,1e-05,0.1,--,Active inverse,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n1000000,1000000,SE,,SE,,0.1,1e-05,0.1,--,Box-EigenPro,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n3000000,3000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225.0,35.0,,,,,,495.0,0.5171132919999764,0.5998466659999622,0.0002380950323657,0.0199992319585196,1.0,ok,btab_group_a_se_matern_20260627_161839,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n3000000,3000000,SE,,SE,,0.1,1e-05,0.1,--,EigenPro-PCG,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n3000000,3000000,SE,,SE,,0.1,1e-05,0.1,--,Active inverse,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n3000000,3000000,SE,,SE,,0.1,1e-05,0.1,--,Box-EigenPro,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n10000000,10000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225.0,35.0,,,,,,553.0,0.5986923140000044,0.856238714999904,0.0001750970907629,0.0200054395294123,1.0,ok,btab_group_a_se_matern_20260627_161839,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n10000000,10000000,SE,,SE,,0.1,1e-05,0.1,--,EigenPro-PCG,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n10000000,10000000,SE,,SE,,0.1,1e-05,0.1,--,Active inverse,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n10000000,10000000,SE,,SE,,0.1,1e-05,0.1,--,Box-EigenPro,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n30000000,30000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225.0,35.0,,,,,,528.0,2.3548304900000403,5.318034200000056,0.000148195725423,0.0200041780375998,1.0,ok,btab_group_a_se_matern_20260627_161839,EFGP-CG baseline; speedup uses time_total
synthetic_true_func_2d_n30000000,30000000,SE,,SE,,0.1,1e-05,0.1,--,EigenPro-PCG,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n30000000,30000000,SE,,SE,,0.1,1e-05,0.1,--,Active inverse,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
synthetic_true_func_2d_n30000000,30000000,SE,,SE,,0.1,1e-05,0.1,--,Box-EigenPro,,,,,,,,,,,,,,,,no candidate with rmse_test <= 1.10 * EFGP-CG
