mode,top_q,precompute_method,N,eps,wall_s_total_median,wall_s_total_mean,wall_s_total_std,wall_s_total_p10,wall_s_total_p90,time_train_median,time_train_mean,time_train_std,time_train_p10,time_train_p90,time_precompute_median,time_precompute_mean,time_precompute_std,time_precompute_p10,time_precompute_p90,time_precompute_NUFFT_median,time_precompute_NUFFT_mean,time_precompute_NUFFT_std,time_precompute_NUFFT_p10,time_precompute_NUFFT_p90,time_precompute_binned_median,time_precompute_binned_mean,time_precompute_binned_std,time_precompute_binned_p10,time_precompute_binned_p90,t_original_exact_gpu_precompute_v1_s_median,t_original_exact_gpu_precompute_v1_s_mean,t_original_exact_gpu_precompute_v1_s_std,t_original_exact_gpu_precompute_v1_s_p10,t_original_exact_gpu_precompute_v1_s_p90,t_original_efgp_solver_precompute_s_median,t_original_efgp_solver_precompute_s_mean,t_original_efgp_solver_precompute_s_std,t_original_efgp_solver_precompute_s_p10,t_original_efgp_solver_precompute_s_p90,t_h2d_xy_s_median,t_h2d_xy_s_mean,t_h2d_xy_s_std,t_h2d_xy_s_p10,t_h2d_xy_s_p90,t_gpu_fused_bin_moments_s_median,t_gpu_fused_bin_moments_s_mean,t_gpu_fused_bin_moments_s_std,t_gpu_fused_bin_moments_s_p10,t_gpu_fused_bin_moments_s_p90,t_compact_occupied_s_median,t_compact_occupied_s_mean,t_compact_occupied_s_std,t_compact_occupied_s_p10,t_compact_occupied_s_p90,t_binned_cufinufft_on_centers_s_median,t_binned_cufinufft_on_centers_s_mean,t_binned_cufinufft_on_centers_s_std,t_binned_cufinufft_on_centers_s_p10,t_binned_cufinufft_on_centers_s_p90,t_rhs_D_multiply_s_median,t_rhs_D_multiply_s_mean,t_rhs_D_multiply_s_std,t_rhs_D_multiply_s_p10,t_rhs_D_multiply_s_p90,t_exact_dense_point_dual_nufft_s_median,t_exact_dense_point_dual_nufft_s_mean,t_exact_dense_point_dual_nufft_s_std,t_exact_dense_point_dual_nufft_s_p10,t_exact_dense_point_dual_nufft_s_p90,t_gpu_to_cpu_copy_s_median,t_gpu_to_cpu_copy_s_mean,t_gpu_to_cpu_copy_s_std,t_gpu_to_cpu_copy_s_p10,t_gpu_to_cpu_copy_s_p90,effective_work_ratio_median,effective_work_ratio_mean,effective_work_ratio_std,effective_work_ratio_p10,effective_work_ratio_p90,binned_used_exact_dense_point_nufft_median,binned_used_exact_dense_point_nufft_mean,binned_used_exact_dense_point_nufft_std,binned_used_exact_dense_point_nufft_p10,binned_used_exact_dense_point_nufft_p90,time_eigenspace_median,time_eigenspace_mean,time_eigenspace_std,time_eigenspace_p10,time_eigenspace_p90,time_precond_build_median,time_precond_build_mean,time_precond_build_std,time_precond_build_p10,time_precond_build_p90,time_solve_median,time_solve_mean,time_solve_std,time_solve_p10,time_solve_p90,time_predict_median,time_predict_mean,time_predict_std,time_predict_p10,time_predict_p90,cg_iters_median,cg_iters_mean,cg_iters_std,cg_iters_p10,cg_iters_p90,t_matvec_total_median,t_matvec_total_mean,t_matvec_total_std,t_matvec_total_p10,t_matvec_total_p90,t_precond_total_median,t_precond_total_mean,t_precond_total_std,t_precond_total_p10,t_precond_total_p90,rmse_test_median,rmse_test_mean,rmse_test_std,rmse_test_p10,rmse_test_p90,peak_mem_gb_median,peak_mem_gb_mean,peak_mem_gb_std,peak_mem_gb_p10,peak_mem_gb_p90,repeat_count,fail_count,logN,logT,local_alpha
gpu_v1_topq0,0,c1,100000,1e-07,19.322484600008465,19.322484600008465,,19.322484600008465,19.322484600008465,19.307707400002982,19.307707400002982,,19.307707400002982,19.307707400002982,0.18942989999777637,0.18942989999777637,,0.18942989999777637,0.18942989999777637,,,,,,0.18942989999777637,0.18942989999777637,,0.18942989999777637,0.18942989999777637,,,,,,,,,,,0.00019809999503195286,0.00019809999503195286,,0.00019809999503195286,0.00019809999503195286,0.00019859999883919954,0.00019859999883919954,,0.00019859999883919954,0.00019859999883919954,0.0012943000183440745,0.0012943000183440745,,0.0012943000183440745,0.0012943000183440745,0.16672720000497065,0.16672720000497065,,0.16672720000497065,0.16672720000497065,0.0011888999724760652,0.0011888999724760652,,0.0011888999724760652,0.0011888999724760652,,,,,,,,,,,0.7392,0.7392,,0.7392,0.7392,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,19.118277500005206,19.118277500005206,,19.118277500005206,19.118277500005206,0.014777200005482882,0.014777200005482882,,0.014777200005482882,0.014777200005482882,424.0,424.0,,424.0,424.0,18.401094199885847,18.401094199885847,,18.401094199885847,18.401094199885847,,,,,,0.002870362941327602,0.002870362941327602,,0.002870362941327602,0.002870362941327602,1.2344726556912065,1.2344726556912065,,1.2344726556912065,1.2344726556912065,1,0,11.512925464970229,2.9605043633434027,
gpu_v1_topq0,0,c1,300000,1e-07,28.755999299988616,28.755999299988616,,28.755999299988616,28.755999299988616,28.739893299993128,28.739893299993128,,28.739893299993128,28.739893299993128,0.2005957999790553,0.2005957999790553,,0.2005957999790553,0.2005957999790553,,,,,,0.2005957999790553,0.2005957999790553,,0.2005957999790553,0.2005957999790553,,,,,,,,,,,0.0008242999901995063,0.0008242999901995063,,0.0008242999901995063,0.0008242999901995063,0.000824799994006753,0.000824799994006753,,0.000824799994006753,0.000824799994006753,0.0021212999999988824,0.0021212999999988824,,0.0021212999999988824,0.0021212999999988824,0.17630049999570474,0.17630049999570474,,0.17630049999570474,0.17630049999570474,0.001177600002847612,0.001177600002847612,,0.001177600002847612,0.001177600002847612,,,,,,,,,,,0.74486,0.74486,,0.74486,0.74486,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,28.539297500014072,28.539297500014072,,28.539297500014072,28.539297500014072,0.016105999995488673,0.016105999995488673,,0.016105999995488673,0.016105999995488673,628.0,628.0,,628.0,628.0,27.468180300318636,27.468180300318636,,27.468180300318636,27.468180300318636,,,,,,0.001883970492323311,0.001883970492323311,,0.001883970492323311,0.001883970492323311,1.2872070306912065,1.2872070306912065,,1.2872070306912065,1.2872070306912065,1,0,12.611537753638338,3.3582861680480627,0.3620766022805975
gpu_v1_topq0,0,original,100000,1e-07,19.22877809999045,19.22877809999045,,19.22877809999045,19.22877809999045,19.216085499996552,19.216085499996552,,19.216085499996552,19.216085499996552,0.10371850000228733,0.10371850000228733,,0.10371850000228733,0.10371850000228733,0.10371850000228733,0.10371850000228733,,0.10371850000228733,0.10371850000228733,,,,,,0.10371850000228733,0.10371850000228733,,0.10371850000228733,0.10371850000228733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,19.112366999994265,19.112366999994265,,19.112366999994265,19.112366999994265,0.012692599993897602,0.012692599993897602,,0.012692599993897602,0.012692599993897602,417.0,417.0,,417.0,417.0,18.392453699663747,18.392453699663747,,18.392453699663747,18.392453699663747,,,,,,0.002597332343185177,0.002597332343185177,,0.002597332343185177,0.002597332343185177,1.1856445306912065,1.1856445306912065,,1.1856445306912065,1.1856445306912065,1,0,11.512925464970229,2.955747714744702,
gpu_v1_topq0,0,original,300000,1e-07,27.380398899986176,27.380398899986176,,27.380398899986176,27.380398899986176,27.363918599992758,27.363918599992758,,27.363918599992758,27.363918599992758,0.11562430000049062,0.11562430000049062,,0.11562430000049062,0.11562430000049062,0.11562430000049062,0.11562430000049062,,0.11562430000049062,0.11562430000049062,,,,,,0.11562430000049062,0.11562430000049062,,0.11562430000049062,0.11562430000049062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,27.248294299992267,27.248294299992267,,27.248294299992267,27.248294299992267,0.016480299993418157,0.016480299993418157,,0.016480299993418157,0.016480299993418157,604.0,604.0,,604.0,604.0,26.229422799689928,26.229422799689928,,26.229422799689928,26.229422799689928,,,,,,0.0018168273444373092,0.0018168273444373092,,0.0018168273444373092,0.0018168273444373092,1.2461914056912065,1.2461914056912065,,1.2461914056912065,1.2461914056912065,1,0,12.611537753638338,3.309225306182763,0.32174916946049764
gpu_v3_topq_eigenpro_nystrom,360,c1,100000,1e-07,3.895528099994408,3.895528099994408,,3.895528099994408,3.895528099994408,3.882717100001173,3.882717100001173,,3.882717100001173,3.882717100001173,0.15716910001356155,0.15716910001356155,,0.15716910001356155,0.15716910001356155,,,,,,0.15716910001356155,0.15716910001356155,,0.15716910001356155,0.15716910001356155,,,,,,,,,,,0.00022610000451095402,0.00022610000451095402,,0.00022610000451095402,0.00022610000451095402,0.0002266000083182007,0.0002266000083182007,,0.0002266000083182007,0.0002266000083182007,0.0013871999981347471,0.0013871999981347471,,0.0013871999981347471,0.0013871999981347471,0.13380049998522736,0.13380049998522736,,0.13380049998522736,0.13380049998522736,0.0011600999860092998,0.0011600999860092998,,0.0011600999860092998,0.0011600999860092998,,,,,,,,,,,0.7392,0.7392,,0.7392,0.7392,0.0,0.0,,0.0,0.0,1.089704799989704,1.089704799989704,,1.089704799989704,1.089704799989704,0.0003558000025805086,0.0003558000025805086,,0.0003558000025805086,0.0003558000025805086,2.635487399995327,2.635487399995327,,2.635487399995327,2.635487399995327,0.012810999993234873,0.012810999993234873,,0.012810999993234873,0.012810999993234873,56.0,56.0,,56.0,56.0,2.4895821001846343,2.4895821001846343,,2.4895821001846343,2.4895821001846343,0.03162800008431077,0.03162800008431077,,0.03162800008431077,0.03162800008431077,0.0028711791656964207,0.0028711791656964207,,0.0028711791656964207,0.0028711791656964207,1.6211914056912065,1.6211914056912065,,1.6211914056912065,1.6211914056912065,1,0,11.512925464970229,1.3565351920565574,
gpu_v3_topq_eigenpro_nystrom,360,c1,300000,1e-07,4.692243199999211,4.692243199999211,,4.692243199999211,4.692243199999211,4.675782000005711,4.675782000005711,,4.675782000005711,4.675782000005711,0.17843560001347214,0.17843560001347214,,0.17843560001347214,0.17843560001347214,,,,,,0.17843560001347214,0.17843560001347214,,0.17843560001347214,0.17843560001347214,,,,,,,,,,,0.0008318000182043761,0.0008318000182043761,,0.0008318000182043761,0.0008318000182043761,0.0008327000250574201,0.0008327000250574201,,0.0008327000250574201,0.0008327000250574201,0.0013275000092107803,0.0013275000092107803,,0.0013275000092107803,0.0013275000092107803,0.15495690001989715,0.15495690001989715,,0.15495690001989715,0.15495690001989715,0.0011588000052142888,0.0011588000052142888,,0.0011588000052142888,0.0011588000052142888,,,,,,,,,,,0.74486,0.74486,,0.74486,0.74486,0.0,0.0,,0.0,0.0,1.0923302999872249,1.0923302999872249,,1.0923302999872249,1.0923302999872249,0.0003581999917514622,0.0003581999917514622,,0.0003581999917514622,0.0003581999917514622,3.4046579000132624,3.4046579000132624,,3.4046579000132624,3.4046579000132624,0.016461199993500486,0.016461199993500486,,0.016461199993500486,0.016461199993500486,73.0,73.0,,73.0,73.0,3.2169173999864142,3.2169173999864142,,3.2169173999864142,3.2169173999864142,0.04092279996257275,0.04092279996257275,,0.04092279996257275,0.04092279996257275,0.0018822662757575742,0.0018822662757575742,,0.0018822662757575742,0.0018822662757575742,1.6661132806912065,1.6661132806912065,,1.6661132806912065,1.6661132806912065,1,0,12.611537753638338,1.5423964214806216,0.1691781817308735
gpu_v3_topq_eigenpro_nystrom,360,original,100000,1e-07,3.871329700021306,3.871329700021306,,3.871329700021306,3.871329700021306,3.857574800029397,3.857574800029397,,3.857574800029397,3.857574800029397,0.09785630000988021,0.09785630000988021,,0.09785630000988021,0.09785630000988021,0.09785630000988021,0.09785630000988021,,0.09785630000988021,0.09785630000988021,,,,,,0.09785630000988021,0.09785630000988021,,0.09785630000988021,0.09785630000988021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1201875999977347,1.1201875999977347,,1.1201875999977347,1.1201875999977347,0.00048210000386461616,0.00048210000386461616,,0.00048210000386461616,0.00048210000386461616,2.6390488000179175,2.6390488000179175,,2.6390488000179175,2.6390488000179175,0.013754899991909042,0.013754899991909042,,0.013754899991909042,0.013754899991909042,56.0,56.0,,56.0,56.0,2.4912803000188433,2.4912803000188433,,2.4912803000188433,2.4912803000188433,0.032169300044188276,0.032169300044188276,,0.032169300044188276,0.032169300044188276,0.0025977846651823806,0.0025977846651823806,,0.0025977846651823806,0.0025977846651823806,1.5020507806912065,1.5020507806912065,,1.5020507806912065,1.5020507806912065,1,0,11.512925464970229,1.3500386958719488,
gpu_v3_topq_eigenpro_nystrom,360,original,300000,1e-07,4.611089400015771,4.611089400015771,,4.611089400015771,4.611089400015771,4.594707200012635,4.594707200012635,,4.594707200012635,4.594707200012635,0.11380819999612868,0.11380819999612868,,0.11380819999612868,0.11380819999612868,0.11380819999612868,0.11380819999612868,,0.11380819999612868,0.11380819999612868,,,,,,0.11380819999612868,0.11380819999612868,,0.11380819999612868,0.11380819999612868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0862267000193242,1.0862267000193242,,1.0862267000193242,1.0862267000193242,0.00038049998693168163,0.00038049998693168163,,0.00038049998693168163,0.00038049998693168163,3.394291800010251,3.394291800010251,,3.394291800010251,3.394291800010251,0.01638220000313595,0.01638220000313595,,0.01638220000313595,0.01638220000313595,73.0,73.0,,73.0,73.0,3.20559160009725,3.20559160009725,,3.20559160009725,3.20559160009725,0.0420700999093242,0.0420700999093242,,0.0420700999093242,0.0420700999093242,0.0018164568599356233,0.0018164568599356233,,0.0018164568599356233,0.0018164568599356233,1.5625976556912065,1.5625976556912065,,1.5625976556912065,1.5625976556912065,1,0,12.611537753638338,1.5249050323437596,0.1591701988731695
