dataset_family,n_train,eps,selected_topk,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,728.0,5.392818147000071,3500.0,3500.0,3500.0,0.1232542487117738,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,728.0,5.420569864000072,3500.0,3500.0,3500.0,0.11814864759311,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,728.0,5.408728569000004,3500.0,3500.0,3500.0,0.1151767205211014,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,728.0,5.515356509999947,3500.0,3500.0,3500.0,0.1137688081438009,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,2048.0,6.394745795999825,3500.0,3500.0,3500.0,0.1185128906947848,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,2048.0,7.426229669999884,3500.0,3500.0,3500.0,0.1475172546209333,,
synthetic_true_func_2d,1000000,1e-05,1024.0,0.1698149510000348,67.5,67.5,67.5,0.01192061194021705,,
synthetic_true_func_2d,3000000,1e-05,1024.0,0.23965513250004727,96.5,96.5,96.5,0.00801558078300685,,
synthetic_true_func_2d,10000000,1e-05,1024.0,0.3680939700000181,163.5,163.5,163.5,0.0049916003951163005,,
synthetic_true_func_2d,30000000,1e-05,1024.0,0.5469701024999267,219.0,219.0,219.0,0.0031663873998519503,,
synthetic_true_func_2d,100000000,1e-05,1024.0,0.5566667530001723,3.0,3.0,3.0,0.0006876167031276,,
synthetic_true_func_2d,300000000,1e-05,1024.0,1.5474840090000723,3.0,3.0,3.0,0.000564988381739,,
