dataset_family,n_train,eps,selected_topk,selected_q,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,768.0,128.0,0.2660886449998543,5.0,5.0,5.0,0.3951969478468138,1.0228095830168176,2.09761502249643e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,768.0,128.0,0.2740679359999376,5.0,5.0,5.0,0.389662837394802,1.0684933963897965,1.7741508156958332e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,768.0,128.0,0.3173718560001362,7.0,7.0,7.0,0.3821210026366372,1.2286006528275906,1.5645237411899372e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,768.0,128.0,0.4175978110001779,9.0,9.0,9.0,0.3742906418627785,1.6864976836912156,5.3977648328348865e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,768.0,128.0,0.7751948889999767,14.0,14.0,14.0,0.3645633460580676,3.2878426374372918,6.435703995059858e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,768.0,128.0,2.0529811369999607,26.0,26.0,26.0,0.3561590499062086,7.863207293735853,1.9710306756498824e-08
synthetic_true_func_2d,1000000,1e-05,768.0,128.0,0.5504503189999923,70.0,70.0,70.0,0.004906237195022,709.2674565565882,2.9925465328078493e-13
synthetic_true_func_2d,3000000,1e-05,768.0,128.0,0.4574059650001345,98.0,98.0,98.0,0.0029089439365792,2125.710994786746,2.3422490084974177e-13
synthetic_true_func_2d,10000000,1e-05,768.0,128.0,0.5599029669999709,142.0,142.0,142.0,0.0017023350975711,7086.5568905742775,3.1104015973856173e-13
synthetic_true_func_2d,30000000,1e-05,768.0,128.0,0.7358296879999671,196.0,196.0,196.0,0.0010715311102368,21268.16726934573,2.927709574404977e-13
synthetic_true_func_2d,100000000,1e-05,768.0,128.0,1.2375012800000604,266.0,266.0,266.0,0.0006881732755555,70883.30065609592,1.2862544747810448e-13
synthetic_true_func_2d,300000000,1e-05,768.0,128.0,2.3982512809998298,360.0,360.0,360.0,0.0005656124342513,212674.057570858,2.005553056082856e-13
