dataset_family,n_train,eps,selected_topk,selected_q,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,768.0,128.0,0.2601240859999052,5.0,5.0,5.0,0.3951969478468213,1.022809583017573,2.840351472680604e-10
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,768.0,128.0,0.5348352339997291,5.0,5.0,5.0,0.3896628373948037,1.068493396395612,1.2791291890525203e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,768.0,128.0,0.3127516680001463,7.0,7.0,7.0,0.3821210026366388,1.228600652815343,7.284325560073008e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,768.0,128.0,0.4142821720001848,9.0,9.0,9.0,0.3742906418626801,1.6864976836921797,1.3081117903037309e-08
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,768.0,128.0,0.7725045649999629,14.0,14.0,14.0,0.3645633460567483,3.287842637549104,7.505428491627155e-09
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,768.0,128.0,2.048234420999961,26.0,26.0,26.0,0.3561590499111717,7.863207293679446,8.699716735461492e-09
synthetic_true_func_2d,1000000,1e-05,512.0,128.0,0.4484417820003727,93.0,93.0,93.0,0.0049064725580128,709.255418581084,2.205477991385865e-13
synthetic_true_func_2d,3000000,1e-05,768.0,128.0,0.4471353529997941,98.0,98.0,98.0,0.0029089132323697,2125.710994786747,3.0719078504591065e-13
synthetic_true_func_2d,10000000,1e-05,768.0,128.0,0.5544127620000836,143.0,143.0,143.0,0.0017023307080784,7086.5568905742575,2.1518133749851759e-13
synthetic_true_func_2d,30000000,1e-05,768.0,128.0,0.760208946000148,203.0,203.0,203.0,0.0010718414188791,21268.16726934584,2.837087475755455e-13
synthetic_true_func_2d,100000000,1e-05,768.0,128.0,1.2024749299998805,266.0,266.0,266.0,0.0006881557930403,70883.30065609596,9.979264566094059e-14
synthetic_true_func_2d,300000000,1e-05,768.0,128.0,2.384701874000257,353.0,353.0,353.0,0.0005664602092707,212674.05757085828,1.1074210160266717e-13
