dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source,selection_note
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,1804.0,1.9298098630001728,1.946904028000063,0.1240139547624912,0.1239068077072897,1.0,ok,group_a,EFGP-CG baseline; speedup uses time_total
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q128,EigenPro-PCG,35721.0,189.0,,128.0,,,,131.0,0.1936454869999124,0.629654341000105,0.1232028812050627,0.123075056892336,3.0920203375517397,ok,group_a,selected by min time_total under 1.1x EFGP-CG train RMSE
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_auto_topk_512,Active inverse,35721.0,189.0,512.0,,512.0,625.0,,3000.0,4.498725499000102,4.517381305000072,0.1232418600768793,0.1231076865312251,0.4309806714445665,ok,group_a,selected by min time_total under 1.1x EFGP-CG train RMSE
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_16384_q192,Box-EigenPro,35721.0,189.0,16384.0,192.0,16384.0,21025.0,192.0,197.0,0.6999992879998445,0.720740479999904,0.1232029060744898,0.1230750854585283,2.7012552812356567,ok,group_a,selected by min time_total under 1.1x EFGP-CG train RMSE
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225.0,35.0,,,,,,718.0,0.7605905760001406,0.7800583070002176,0.3953175208564571,0.3957754080392472,1.0,ok,group_b,EFGP-CG baseline; speedup uses time_total
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q64,EigenPro-PCG,1225.0,35.0,,64.0,,,,27.0,0.0392729380000673,0.2770844080000643,0.3951969462566644,0.3956502889909672,2.8152371063767565,ok,group_b,selected by min time_total under 1.1x EFGP-CG train RMSE
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_512,Active inverse,1225.0,35.0,512.0,,512.0,625.0,,3000.0,5.226118284000222,5.244846380000126,0.3951230441887908,0.3955906643979583,0.14872853282696125,ok,group_b,selected by min time_total under 1.1x EFGP-CG train RMSE
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_boxeig_topk_768_q128,Box-EigenPro,1225.0,35.0,768.0,128.0,768.0,961.0,128.0,5.0,0.2410671050001838,0.2601240859999052,0.3951969478468213,0.3956503074773207,2.998793072166727,ok,group_b,selected by min time_total under 1.1x EFGP-CG train RMSE
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,35721.0,189.0,,,,,,4914.0,5.177469687999974,5.309201038000083,0.1151403080236164,0.1152301380483505,1.0,ok,group_a,EFGP-CG baseline; speedup uses time_total
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,eigenpro_pcg_q128,EigenPro-PCG,35721.0,189.0,,128.0,,,,341.0,0.5015622500000063,0.9794133220000276,0.115057223726344,0.1151476126950367,5.42079724539415,ok,group_a,selected by min time_total under 1.1x EFGP-CG train RMSE
