dataset_family,n_train,eps,selected_topk,time_total,iterations,cg_iters,outer_iters,rmse_test,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,728.0,4.593454761999965,3000.0,3000.0,3000.0,0.1232791548882835,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,728.0,4.597861213999977,3000.0,3000.0,3000.0,0.1181661695322198,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,728.0,4.596675448000042,3000.0,3000.0,3000.0,0.1152485260422434,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,30000000,1e-05,728.0,4.7220477990001655,3000.0,3000.0,3000.0,0.1138385931145547,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,100000000,1e-05,512.0,5.74297369299984,3000.0,3000.0,3000.0,0.3672406754550228,,
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,300000000,1e-05,512.0,6.917495409999901,3000.0,3000.0,3000.0,0.3593946583512412,,
synthetic_true_func_2d,1000000,1e-05,1024.0,0.16824658599989553,67.5,67.5,67.5,0.011920611940212399,,
synthetic_true_func_2d,3000000,1e-05,1024.0,0.23572227399984055,96.5,96.5,96.5,0.00801558078300855,,
synthetic_true_func_2d,10000000,1e-05,1024.0,0.3630099635000761,164.5,164.5,164.5,0.004991595954610801,,
synthetic_true_func_2d,30000000,1e-05,1024.0,0.5470271264997564,219.0,219.0,219.0,0.0031663894930645,,
synthetic_true_func_2d,100000000,1e-05,1024.0,0.5544974130002629,3.0,3.0,3.0,0.000687616703133,,
synthetic_true_func_2d,300000000,1e-05,1024.0,1.5461132549999093,3.0,3.0,3.0,0.0005649883817288,,
