dataset_stem,eps,method,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q32,topk_1024,32.0,1024,1369,1369.0,34352.0,240.15196295326257,159243.74207636682,7992.934928974987,79929.34928974987,79929.34928974987,2.645355227956652e-15,8.702924759585845e-16,701440.0,98.0,98.0,98.0,cupy,1461,1461,0.1059651999967172,0.1104842000058852,4.80048479999823,4.8927481999999145,0.0225798999890685,4.915328099988983,0.0351716303368731,0.0357789655987184
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q64,topk_1024,64.0,1024,1369,1369.0,34352.0,240.15196295326257,159243.74207636682,2562.246249466841,25622.46249466841,25622.46249466841,5.0308124750143176e-15,1.0107536552596645e-15,1402880.0,162.0,162.0,162.0,cupy,813,813,0.1817442000028677,0.1868591000093147,2.767686899998808,2.8648472000058973,0.0427633000072091,2.9076105000131065,0.0351716418939351,0.0357790151195151
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_1024_q128,topk_1024,128.0,1024,1369,1369.0,34352.0,240.15196295326257,159243.74207636682,654.9683255956375,6549.683255956375,6549.683255956375,1.027108493237213e-14,1.7233112149285992e-15,2805760.0,290.0,290.0,290.0,cupy,438,438,0.3523297999927308,0.3567590000020573,1.8226965999929237,1.9156971999909729,0.0828820000024279,1.9985791999934008,0.0351715173228211,0.0357788873810141
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q32,topk_512,32.0,512,625,625.0,35096.0,1313.5187774166911,462890.8004705599,7975.026770600125,79750.26770600125,79750.26770600125,2.090373549275908e-15,8.071550647533093e-16,320512.0,98.0,98.0,98.0,cupy,1230,1230,0.1133577000000514,0.1183036000002175,4.016894300002605,4.109218700003112,0.0217322999960742,4.130950999999186,0.0351713005488185,0.0357787066089745
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q64,topk_512,64.0,512,625,625.0,35096.0,1313.5187774166911,462890.8004705599,2552.4245524172143,25524.24552417214,25524.24552417214,3.56265300362985e-15,1.0459709141356569e-15,641024.0,162.0,162.0,162.0,cupy,736,736,0.179795500007458,0.1839264000009279,2.506902400011313,2.5997795000002952,0.0426818999985698,2.642461399998865,0.0351712424622682,0.0357786570179114
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_boxeig_topk_512_q128,topk_512,128.0,512,625,625.0,35096.0,1313.5187774166911,462890.8004705599,621.3456214114307,6213.456214114306,6213.456214114306,1.6062030521701936e-14,1.6771085270292453e-15,1282048.0,290.0,290.0,290.0,cupy,413,413,0.3372259000025224,0.3416640999930678,1.6657314999902155,1.7613232999865431,0.0835013000032631,1.8448245999898063,0.0351713680734743,0.0357787597666874
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q32,topk_1024,32.0,1024,1369,1369.0,34352.0,720.4558888597658,477731.2262290859,23948.07141481718,239480.71414817177,239480.71414817177,2.2900756245433145e-15,9.116403577860858e-16,701440.0,98.0,98.0,98.0,cupy,1907,1907,0.109538100005011,0.1140982000069925,6.1956249000068055,6.460953800007701,0.0201358000049367,6.481089600012638,0.030730949904136,0.0311740845648131
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q64,topk_1024,64.0,1024,1369,1369.0,34352.0,720.4558888597658,477731.2262290859,7691.005477276674,76910.05477276674,76910.05477276674,3.554111390713195e-15,9.859110667542698e-16,1402880.0,162.0,162.0,162.0,cupy,1121,1121,0.1785620000009657,0.182749400002649,3.747537400005968,4.002143499994418,0.0413284000096609,4.043471900004079,0.0307309622560335,0.031174135286803
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_1024_q128,topk_1024,128.0,1024,1369,1369.0,34352.0,720.4558888597658,477731.2262290859,1959.6926949697176,19596.926949697176,19596.926949697176,9.790605975674376e-15,1.7111826045459909e-15,2805760.0,290.0,290.0,290.0,cupy,607,607,0.3993496000039158,0.4035604999953648,2.3319416000013007,2.5937956999987364,0.0842253000009805,2.678020999999717,0.0307309996587248,0.0311741297845338
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_boxeig_topk_512_q32,topk_512,32.0,512,625,625.0,35096.0,3940.556332249953,1388672.4014116372,23895.36723188796,238953.6723188796,238953.6723188796,1.94640504730248e-15,9.210056494763093e-16,320512.0,98.0,98.0,98.0,cupy,1580,1580,0.112554799998179,0.1167404000007081,5.131526900004246,5.397661700000754,0.0358367000008001,5.433498400001554,0.0307312267267604,0.0311743698270441
