dataset_stem,eps,method,selector_tag,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_1024,topk_1024,1024,1369,34352,240.15196295326257,159243.74207636682,148,148,0.1069330999889643,0.7351395000005141,0.8282862000050955,0.0001532999885967,0.8284394999936922,0.0351713739359559,0.0357787819396507
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain1000000,1e-05,btab_auto_topk_512,topk_512,512,625,35096,1313.5187774166911,462890.8004705599,300,300,0.0242545000073732,1.0255604999983916,1.1251092000020435,0.0002125000028172,1.1253217000048608,0.0351713605588316,0.0357787975163156
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_1024,topk_1024,1024,1369,34352,720.4558888597658,477731.2262290859,246,246,0.1039562000078149,1.1717981999972835,1.426335399999516,0.0001508999994257,1.4264862999989418,0.030730960315175,0.0311741449238641
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_512,topk_512,512,625,35096,3940.556332249953,1388672.4014116372,501,501,0.0246071000001393,1.6624263999983668,1.916808599999058,0.0001539999939268,1.916962599992985,0.030730960456232,0.0311741293402196
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_1024,topk_1024,1024,1369,34352,240.15142962489767,159243.36646229576,91,91,0.1023860999994212,0.4947854000056395,0.5873886000044877,0.0001907000114442,0.587579300015932,0.0199366338612447,0.0012487603215515
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_512,topk_512,512,625,35096,1313.5162514396102,462889.7870762957,186,186,0.1327526999957626,0.7504063000087626,0.843322700005956,0.008032900004764,0.8513556000107201,0.0199366262479041,0.0012488743518179
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_1024,topk_1024,1024,1369,34352,720.4550297587765,477730.621178876,134,134,0.1134757999971043,0.7567721999948844,1.011888099994394,0.0002239000023109,1.012111999996705,0.0199709016495912,0.0008808311987469
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_512,topk_512,512,625,35096,3940.552263332442,1388670.7690064183,256,256,0.0235710999986622,0.8644698999996763,1.119697100002668,0.0002179000002797,1.1199150000029476,0.019970915103097,0.0008811440166237
