dataset_stem,eps,method,route,selector_tag,S_kind,btab_active_size_raw,btab_box_size,active_size,box_size,tail_size,rho_max_T,tail_energy,btab_diagnostic_mode,time_post_diagnostics,time_total_with_diagnostics,diagnostic_n_matvec,diagnostic_n_A_matvec,diagnostic_n_ASS_matvec,diagnostic_n_precond,diagnostic_n_eig_matvec,diagnostic_n_power_iter
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q128,boxeig,topk_512,expanded_box,512,625,512,625,35096,1313.5162514396102,462889.7870762957,cheap,0.0781973999983165,1.2431834999879356,128,0,128,0,128,0
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_512,inverse,topk_512,expanded_box,512,625,512,625,35096,1313.5162514396102,462889.7870762957,cheap,0.008032900004764,0.8513556000107201,0,0,0,0,0,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_1024_q32,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4550297587765,477730.621178876,cheap,0.0250280999898677,1.8958408999897076,32,0,32,0,32,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_1024_q64,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4550297587765,477730.621178876,cheap,0.0397808999987319,1.309438800002681,64,0,64,0,64,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_1024_q128,boxeig,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4550297587765,477730.621178876,cheap,0.0814802999957464,1.2273299999942535,128,0,128,0,128,0
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_1024,inverse,topk_1024,expanded_box,1024,1369,1024,1369,34352,720.4550297587765,477730.621178876,cheap,0.0002239000023109,1.012111999996705,0,0,0,0,0,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_512_q32,boxeig,topk_512,expanded_box,512,625,512,625,35096,3940.552263332442,1388670.7690064183,cheap,0.0205025999894132,2.150720799996634,32,0,32,0,32,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_512_q64,boxeig,topk_512,expanded_box,512,625,512,625,35096,3940.552263332442,1388670.7690064183,cheap,0.0432088000088697,1.3602921000128845,64,0,64,0,64,0
synthetic_true_func_2d_n3000000,1e-05,btab_boxeig_topk_512_q128,boxeig,topk_512,expanded_box,512,625,512,625,35096,3940.552263332442,1388670.7690064183,cheap,0.0780407999991439,1.413383300008718,128,0,128,0,128,0
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_512,inverse,topk_512,expanded_box,512,625,512,625,35096,3940.552263332442,1388670.7690064183,cheap,0.0002179000002797,1.1199150000029476,0,0,0,0,0,0
