x,cdf,density_sigmafac_0.002,density_sigmafac_0.005,density_sigmafac_0.01
-13.318142722356466,0.0,2.4645291964033205e-91,8.266412374932932e-16,2.9145037120927463e-05
-12.623095423703445,0.0,3.253468983493739e-82,2.380806395797349e-14,6.752514049125883e-05
-11.928048125050424,0.0,1.4059995360441042e-73,5.73506482941818e-13,0.0001496130852736861
-11.233000826397403,0.0,1.989071919649495e-65,1.1554742660461462e-11,0.0003170130032182544
-10.537953527744381,0.0,9.211784446727881e-58,1.9471098171049656e-10,0.0006423744129333962
-9.84290622909136,0.0,1.3965818616074997e-50,2.744286509352008e-09,0.0012448107479629753
-9.147858930438339,0.0,6.931384877656273e-44,3.235027728507968e-08,0.0023068676676633896
-8.45281163178532,0.0,1.1261768217197173e-37,3.1896054494548857e-07,0.004088336731854476
-7.757764333132298,0.0,5.990023095323335e-32,2.630312414223766e-06,0.006929081744849548
-7.0627170344792765,0.0,1.0430105374584216e-26,1.814221634936972e-05,0.01123078871300429
-6.367669735826255,0.0,5.94553412199565e-22,0.00010466162787290905,0.017408083410380464
-5.672622437173234,0.0,1.1095318278485466e-17,0.0005050107599412429,0.02580468038074369
-4.977575138520214,0.0,6.778624384241323e-14,0.0020381312236491594,0.03658083904670625
-4.282527839867193,0.0,1.3558282885021094e-10,0.006879946635300888,0.04959267076317402
-3.5874805412141715,0.0,8.878527535115613e-08,0.019425108298036,0.06429707481615941
-2.8924332425611503,0.0,1.9035653678560343e-05,0.04587464989951068,0.07972165991798053
-2.197385943908129,0.0,0.0013363270713079645,0.09061930012189531,0.09453110830162599
-1.502338645255108,0.0,0.030720146017928336,0.1497333265668874,0.10719854196839887
-0.8072913466020868,0.0,0.23130867869199295,0.20695843234505776,0.11625772736541948
-0.11224404794906562,1.127024517762572e-14,0.5707379885709492,0.23929962924661122,0.12058066540637824
0.5828032507039556,0.991943551552957,0.4622156073944299,0.23149514503329846,0.11960844760252037
1.2778505493569767,0.9944278785963844,0.12383274012435802,0.18739953125159114,0.11347018088535861
1.972897848009998,0.9953504147090805,0.011833338394846075,0.12699697856673478,0.10295503767215397
2.667945146663019,0.9958838985950453,0.0010432370986698256,0.07210984599142864,0.08934575966111295
3.3629924453160385,0.9962859147953178,0.0005023050927864597,0.03437959063634576,0.07416207429672823
4.058039743969061,0.9965435782628518,0.0003700493418335446,0.013844323080959063,0.058884739175617255
4.753087042622081,0.9967749951226664,0.0002908253351074471,0.004794768072009032,0.044728523325623944
5.448134341275104,0.9969338212639621,0.00024052795895722147,0.0015147320181151912,0.0325089237830385
6.143181639928123,0.9970921803540043,0.00020284127150502847,0.0005167383370521909,0.022614060444231674
6.838228938581146,0.9972106373833782,0.00017345568770792702,0.0002484101892369813,0.015063119229552996
7.5332762372341655,0.9973244932226863,0.00015098427586705566,0.00017385083292098302,0.009615205316262856
8.228323535887188,0.9974236723495977,0.00013587815572685454,0.00014466084566396573,0.005890072431034166
8.923370834540208,0.9975103285608795,0.00012417202860728159,0.00012668798441690813,0.0034714033612904547
9.618418133193227,0.9976144604983386,0.00010370402943017113,0.00011288331586338548,0.001977619258903035
