N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,250,0.401020707999919,0.4303388149999136,0.0199360444325479,0.9999715577706154,3.265163798901757
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_728,728.0,961.0,,175,0.3379117529999575,0.3681352179999066,0.0199360457168408,0.9999716221894313,3.816876656447346
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_1024,1024.0,1369.0,,129,0.334785399999987,0.3640545239999255,0.0199360450326985,0.9999715878735544,3.8596600986073337
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,72,0.8372449539999707,0.8658244149999064,0.0199360461715014,0.9999716449947408,1.62287722043522
1000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,35,4.774176856000054,4.802645369000061,0.0199360438925939,0.9999715306870761,0.2925734906578276
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q64,1024.0,1369.0,64.0,592,1.1408833460000096,1.169634833000032,0.0199360456016564,0.9999716164118997,1.2013379563910098
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_1024_q128,1024.0,1369.0,128.0,287,0.7345384980000063,0.7643248660000381,0.0199360478864529,0.9999717310149505,1.8383893845472878
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q64,2048.0,2601.0,64.0,567,1.0811126600000307,1.109956927999974,0.0199360455334554,0.9999716129910075,1.2659290505370235
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q128,2048.0,2601.0,128.0,284,0.7343528650000053,0.7628958560000001,0.0199360476510569,0.9999717192077285,1.8418329434469993
1000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_2048_q192,2048.0,2601.0,192.0,188,0.6995235200000707,0.7292054130000452,0.0199360476047921,0.9999717168871335,1.9269285374872984
