method,time_s,rhs_rel_err,note,rhs_direct_sum_s,t_original_exact_gpu_precompute_v1_s,theta_actual,G,num_occupied_bins,t_h2d_xy_s,t_gpu_fused_bin_moments_s,t_compact_occupied_s,t_binned_cufinufft_on_centers_s,t_rhs_D_multiply_s,effective_work_ratio,binned_used_exact_dense_point_nufft,binned_order_bins_final,binned_allow_exact_nufft_fallback
original,0.27118029998382553,,gpu_precompute_v1 exact GPU NUFFT (independent path),,0.27118029998382553,,,,,,,,,,,,
C1,0.043008900014683604,,GPU fused binning kernel + compaction + batched strengths cuFINUFFT on occupied centers; or exact dual type-1 on all training points when route selects it.,,,5.578037990535942,1225.0,1225.0,0.0014729000395163894,0.0014742999919690192,0.019014400022570044,0.020304499950725585,0.00022870005341246724,0.735,0.0,C1,0.0
