case_tag,N,mode,top_q,combo_name,slq_operator,seed,size,wall_s,lambda_hat_min,lambda_hat_max,q01,q99,m_final,health,dominant_issue,out_dir
N100000_gpu_v1_topq0_q0_combo_none_seed99174,100000,gpu_v1_topq0,0,,A,99174,35721,43.087760599999456,0.10060524786892787,5551.331658062725,0.10060524786892787,7.024250246167784,400,stable,upper_spikes,outputs\weak_gpu_complexity_20260505_164435\slq_diagnostics\N100000_gpu_v1_topq0_q0_combo_none_seed99174
N100000_gpu_v3_topq_q64_combo_none_seed99175,100000,gpu_v3_topq,64,,M_inv_A,99175,35721,55.41189610000583,-0.26153165509778586,344.2352491192083,0.0907596516361153,6.885750429960704,400,caution,upper_spikes,outputs\weak_gpu_complexity_20260505_164435\slq_diagnostics\N100000_gpu_v3_topq_q64_combo_none_seed99175
