dataset_family,n_train,eps,selected_topk,time_total,iterations,cg_iters,outer_iters,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,1000000,1e-05,1024.0,1.087593400006881,154.0,154.0,154.0,0.0355266724709682
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,3000000,1e-05,1024.0,1.6962334999989253,247.0,247.0,247.0,0.031097462257787
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression,10000000,1e-05,1024.0,2.418885599996429,365.0,365.0,365.0,0.0286149998767198
synthetic_true_func_2d,1000000,1e-05,1024.0,0.9462146000005304,91.0,91.0,91.0,0.0012661960952073
synthetic_true_func_2d,3000000,1e-05,1024.0,1.362653100019088,134.0,134.0,134.0,0.0008850994567807
synthetic_true_func_2d,10000000,1e-05,1024.0,1.8006330999778584,187.0,187.0,187.0,0.0005597136677496
