dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,4096.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.6411880953076405,3.10890124917504,69,69.0,42.527597500011325,46.69175850000465,47.26851130000432,1.959531100001186,49.22804240000551,0.031097437529383
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,350,,0.0008681000035721,1.0423586000106295,1.907777000014903,,,0.0012667395696796
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,212,,0.0004504999960772,0.8029992000083439,2.504093700001249,,,0.0012678139411734
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,832,,,2.3809993999893777,3.07661439999356,,,0.0012504944021168
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,1024.0,1369.0,34352.0,240.1514296249552,159243.36646233394,2.839405002211028,1.806385927953581,91,91.0,0.3921552000101655,0.6867659999988973,0.9462146000005304,0.1898401999787893,1.1360547999793198,0.0012661960952073
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,2048.0,2601.0,33120.0,54.54761652132973,63020.96672492494,2.731338618741146,1.7168587239733035,57,57.0,2.0667849999736063,2.288735900016036,2.5132916000147816,0.1881323999841697,2.7014239999989518,0.0012655525452141
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,4096.0,5329.0,30392.0,9.83852065960661,21241.346961770272,2.42968049875064,1.4648089798621786,26,26.0,40.58087700000033,42.739958299993305,42.9586144000059,2.5380474999838043,45.4966618999897,0.0012665877503902
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,519,,0.0003921000170521,1.772192400007043,3.583707800018601,,,0.000561504803066
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,268,,0.0004201999981887,0.8974527000100352,3.4278147000004537,,,0.0005603431403024
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,1140,,,2.6231666000094265,6.391033000021707,,,0.0005582857179146
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248777,1.8639041178357008,187,187.0,0.3652476000133902,0.921324700000696,1.8006330999778584,0.1675147000059951,1.9681477999838533,0.0005597136677496
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,2048.0,2601.0,33120.0,545.477332504985,630211.0596413197,2.7283613937574773,1.837633394222078,120,120.0,1.9771397999720648,2.393886100006057,3.289655300002778,0.1824161999975331,3.472071500000311,0.0005607667029937
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.6745073500654577,1.754575546258368,56,56.0,30.54684399999678,35.72474400000647,36.60759040000266,2.745533899986185,39.35312429998885,0.0005597028508358
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,448,,0.001386200019624,1.4249992999830283,2.602654899994377,,,0.0008886736310418
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,244,,0.0005504000000655,0.924642900004983,3.1495334999926854,,,0.0008895165518131
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,998,,,2.279965599998832,3.4223571000038646,,,0.0008834661631503
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,1024.0,1369.0,34352.0,720.4550297588038,477730.6211788942,2.790658341840177,1.8362630681785008,134,134.0,0.3786722000222653,0.8110536000167485,1.362653100019088,0.1698028999962844,1.5324560000153724,0.0008850994567807
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,2048.0,2601.0,33120.0,163.6430282154797,189063.11327739028,2.742519728549873,1.782318481386716,86,86.0,2.049773799983086,2.366904499998782,2.9221483999863267,0.2095050000061746,3.1316533999925014,0.0008843257865724
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,4096.0,5329.0,30392.0,29.51559534762896,63724.11403807059,2.606656490560049,1.6312583912726704,38,38.0,37.23658369999612,39.61401199997636,40.1685055999842,1.9748220999899784,42.14332769997418,0.000883459866397
