dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_128_q16,c1,topk_128,16.0,128.0,169.0,169.0,1056.0,6198.49268544521,232201.1852476976,22617.623620507453,226176.23620507453,226176.23620507453,9.202680103345938e-16,6.982848671640171e-16,43520.0,66.0,66.0,66.0,cupy,1050.0,1050.0,0.0494727130001138,0.0512582840001414,1.7527529239998785,1.7705344769999556,0.0070788010000342,1.7776132779999898,0.0200051145626972,0.0004201329241903
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_128_q32,c1,topk_128,32.0,128.0,169.0,169.0,1056.0,6198.492685445211,232201.1852476976,8844.283583472119,88442.83583472119,88442.83583472119,1.995417469618909e-15,8.958717375522076e-16,87040.0,98.0,98.0,98.0,cupy,786.0,786.0,0.0735762080000768,0.0753303250000954,1.3506048639999335,1.3687448419998418,0.0132535069999448,1.381998348999787,0.0200051142559663,0.0004200162731769
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_128_q64,c1,topk_128,64.0,128.0,169.0,169.0,1056.0,6198.49268544521,232201.1852476976,1390.1863362356207,13901.863362356207,13901.863362356207,8.333284687084515e-15,1.264869681768387e-15,174080.0,162.0,162.0,162.0,cupy,387.0,387.0,0.1224695870000687,0.1242936940000163,0.7728910060000089,0.7910907279999719,0.0256030880000253,0.8166938159999972,0.0200051161216694,0.0004197724415756
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_256_q32,c1,topk_256,32.0,256.0,361.0,361.0,864.0,139.96381743671242,4566.5864435256,8854.301629519694,88543.01629519694,88543.01629519694,1.4681058775906078e-15,8.042570334298016e-16,185344.0,98.0,98.0,98.0,cupy,759.0,759.0,0.0750164319999839,0.0767620950000491,1.3353568929999255,1.3534293889999844,0.0133643449998999,1.3667937339998844,0.0200051144441643,0.0004193725787491
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_256_q64,c1,topk_256,64.0,256.0,361.0,361.0,864.0,139.96381743671242,4566.5864435256,1508.992308666477,15089.923086664769,15089.923086664769,9.333670743394522e-15,1.2685898641111504e-15,370688.0,162.0,162.0,162.0,cupy,377.0,377.0,0.1250199739999971,0.1268645690001903,0.7656635649998407,0.7841170449999026,0.0255003689999284,0.8096174139998311,0.0200051138424864,0.0004195298305333
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_256_q128,c1,topk_256,128.0,256.0,361.0,361.0,864.0,139.96381743671242,4566.5864435256,70.72625574116212,707.2625574116212,707.2625574116212,1.91762164625091e-13,5.30997877391929e-15,741376.0,290.0,290.0,290.0,cupy,115.0,115.0,0.2346671479999713,0.2365206720000969,0.4474670069998865,0.4655517109999891,0.050972553000065,0.5165242640000542,0.0200051198564945,0.0004199948335047
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q64,c1,topk_512,64.0,512.0,625.0,625.0,600.0,0.829294688485552,24.837041279880182,1509.284456698696,15092.84456698696,15092.84456698696,1.267578840356616e-14,1.1319316718027179e-15,641024.0,162.0,162.0,162.0,cupy,258.0,258.0,0.1245745749999969,0.1264777320000121,0.5725454890000492,0.5906360059998406,0.0255913529999816,0.6162273589998222,0.0200051043396633,0.0004191478305007
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q128,c1,topk_512,128.0,512.0,625.0,625.0,600.0,0.829294688485552,24.837041279880182,70.92553974654133,709.2553974654132,709.2553974654132,1.0124953008991977e-13,3.997856756206104e-15,1282048.0,290.0,290.0,290.0,cupy,77.0,77.0,0.2354130080000231,0.2371977840000454,0.3840997779998361,0.4024267779998354,0.050256064999985,0.4526828429998204,0.0200051103459944,0.0004195254617839
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_512_q256,c1,topk_512,256.0,512.0,625.0,625.0,600.0,0.829294688485552,24.837041279880182,0.2843990607128772,2.8439906071287715,2.8439906071287715,5.0760996386641726e-11,4.68759704903444e-14,2564096.0,546.0,546.0,546.0,cupy,10.0,10.0,0.4636120890002075,0.4655351950000295,0.4868101370000204,0.5045974010001828,0.1133702839999841,0.617967685000167,0.0200051188949215,0.0004199369531219
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_64_q16,c1,topk_64,16.0,64.0,81.0,81.0,1144.0,36897.890262738125,1551387.9664721382,22446.662044067827,224466.62044067823,224466.62044067823,1.0132962694593122e-15,6.7442372739415315e-16,20992.0,66.0,66.0,66.0,cupy,1112.0,1112.0,0.0503098540000337,0.0520517859999927,1.8724490179999973,1.8903912840000885,0.0071220540000922,1.8975133380001807,0.0200051193330614,0.000420170268514
synthetic_true_func_2d_n1000000,1e-05,btab_boxeig_topk_64_q32,c1,topk_64,32.0,64.0,81.0,81.0,1144.0,36897.890262738125,1551387.9664721382,6569.137151289249,65691.37151289248,65691.37151289248,2.562588094709814e-15,7.70240358385816e-16,41984.0,80.0,80.0,80.0,cupy,736.0,736.0,0.0601087630000165,0.0618588190000082,1.2719471039999917,1.289863098000069,0.0133153760000368,1.3031784740001058,0.0200051187325942,0.000420164789837
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_128_q16,c1,topk_128,16.0,128.0,169.0,169.0,1056.0,61985.223253621865,2322027.011071484,226467.71176574868,2264677.117657487,2264677.117657487,9.371397065236296e-16,7.014561303320588e-16,43520.0,66.0,66.0,66.0,cupy,1983.0,1983.0,0.0491147200000341,0.0508091780000086,3.266054231999988,3.324217673000021,0.0071716649999871,3.331389338000008,0.0200081254063271,0.0003525392005077
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_128_q32,c1,topk_128,32.0,128.0,169.0,169.0,1056.0,61985.223253621865,2322027.011071484,88464.42311756598,884644.2311756598,884644.2311756598,2.09720467882004e-15,8.334527505369701e-16,87040.0,98.0,98.0,98.0,cupy,1315.0,1315.0,0.0737577149998287,0.0756639250000716,2.198798631000045,2.2575499839999797,0.0133185950001006,2.27086857900008,0.0200081288575875,0.0003532102443378
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_128_q64,c1,topk_128,64.0,128.0,169.0,169.0,1056.0,61985.223253621865,2322027.011071484,13870.05553940299,138700.55539402989,138700.55539402989,9.447539784121168e-15,1.3327361473025573e-15,174080.0,162.0,162.0,162.0,cupy,603.0,603.0,0.126745425000081,0.1284442490000401,1.12041906200011,1.1786078879999875,0.025789369999984,1.2043972579999718,0.0200081574237574,0.0003547252696287
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_256_q32,c1,topk_256,32.0,256.0,361.0,361.0,864.0,1399.6544697638838,45666.4695708712,88559.63303812673,885596.3303812672,885596.3303812672,2.704327322315253e-15,9.995539336159545e-16,185344.0,98.0,98.0,98.0,cupy,1482.0,1482.0,0.0744331550001788,0.0762980449999304,2.5160502620001357,2.5745402800000647,0.0136264939999364,2.588166774000001,0.0200081408015518,0.0003519774243757
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_256_q64,c1,topk_256,64.0,256.0,361.0,361.0,864.0,1399.6544697638838,45666.4695708712,15045.77552576946,150457.7552576946,150457.7552576946,8.146396954498224e-15,1.3348708860481178e-15,370688.0,162.0,162.0,162.0,cupy,707.0,707.0,0.1238536920000115,0.1256696090001696,1.3048944580000352,1.3632885500001066,0.0257833260000097,1.3890718760001164,0.0200081410503521,0.0003517396022902
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_256_q128,c1,topk_256,128.0,256.0,361.0,361.0,864.0,1399.6544697638838,45666.4695708712,706.3570332232307,7063.570332232307,7063.570332232307,1.9204077348269034e-13,3.0490631026343538e-15,741376.0,290.0,290.0,290.0,cupy,247.0,247.0,0.2347537210000609,0.2366006369998103,0.6601396149999346,0.7187716620001083,0.050123400999837,0.7688950629999454,0.020008165875809,0.0003544776639173
